Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,1:44.81,,Abubaker KAKI,21 JUN 1989,SUD,1,,"Velódromo Luis Puig, Valencia (ESP) (i)",09 MAR 2008,1237
2,1:44.91,,Mbulaeni MULAUDZI,08 SEP 1980,RSA,2,,"Velódromo Luis Puig, Valencia (ESP) (i)",09 MAR 2008,1234
3,1:45.26,,Yusuf Saad KAMEL,29 MAR 1983,BRN,3,,"Velódromo Luis Puig, Valencia (ESP) (i)",09 MAR 2008,1223
4,1:45.58,,Yuriy BORZAKOVSKIY,12 APR 1981,RUS,1,,"Schleyer Halle, Stuttgart (GER) (i)",02 FEB 2008,1213
5,1:45.72,,Dmitrijs MIĻKEVIČS,06 DEC 1981,LAT,4,,"Velódromo Luis Puig, Valencia (ESP) (i)",09 MAR 2008,1209
6,1:45.76,,Dmitriy BOGDANOV,11 APR 1979,RUS,5,,"Velódromo Luis Puig, Valencia (ESP) (i)",09 MAR 2008,1208
7,1:46.33,,Richard KIPLAGAT,03 MAY 1984,KEN,1,,"National Indoor Arena, Birmingham (GBR) (i)",16 FEB 2008,1190
8,1:46.36,,Yuriy KOLDIN,01 NOV 1983,RUS,2,,Moskva (RUS) (i),08 FEB 2008,1189
9,1:46.38,,Wilfred BUNGEI,24 JUL 1980,KEN,2,,"Schleyer Halle, Stuttgart (GER) (i)",02 FEB 2008,1189
10,1:46.48,,Nick SYMMONDS,30 DEC 1983,USA,6,,"Velódromo Luis Puig, Valencia (ESP) (i)",09 MAR 2008,1186
11,1:46.95,,Khadevis ROBINSON,19 JUL 1976,USA,1,,"Boston, MA (USA) (i)",24 FEB 2008,1171
12,1:47.06,,Jozef REPČÍK,03 AUG 1986,SVK,2,,"National Indoor Arena, Birmingham (GBR) (i)",16 FEB 2008,1168
13,1:47.20,,Abraham CHEPKIRWOK,18 NOV 1988,UGA,5,,"Schleyer Halle, Stuttgart (GER) (i)",02 FEB 2008,1164
14,1:47.32,,Damien MOSS,02 SEP 1982,GBR,3,,"National Indoor Arena, Birmingham (GBR) (i)",16 FEB 2008,1160
