Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,7:57.38,,Saif Saaeed SHAHEEN,15 OCT 1982,QAT,1,,"Stade Louis II, Monaco (MON)",14 SEP 2003,1270
2,7:57.42,,Paul Kipsiele KOECH,10 NOV 1981,KEN,2,,"Stade Louis II, Monaco (MON)",14 SEP 2003,1270
3,8:02.49,,Ezekiel KEMBOI,25 MAY 1982,KEN,2,,Zürich (SUI),15 AUG 2003,1246
4,8:06.91,,Bouabdellah TAHRI,20 DEC 1978,FRA,3,,Paris (FRA),04 JUL 2003,1226
5,8:07.74,,Kipkurui MISOI,23 OCT 1978,KEN,4,,Paris (FRA),04 JUL 2003,1222
6,8:09.06,,Julius NYAMU,01 DEC 1977,KEN,1,,Heusden-Zolder (BEL),02 AUG 2003,1216
7,8:09.09,,Eliseo MARTÍN,05 NOV 1973,ESP,3,,"Stade de France, Paris-St-Denis (FRA)",26 AUG 2003,1216
8,8:09.16,,Wilson Boit KIPKETER,06 OCT 1973,KEN,3,,Ostrava (CZE),12 JUN 2003,1216
9,8:09.18,,Simon VROEMEN,11 MAY 1969,NED,3,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2003,1216
10,8:09.37,,Abel YAGUT,26 DEC 1984,KEN,2,,Heusden-Zolder (BEL),02 AUG 2003,1215
11,8:09.65,,Reuben KOSGEI,12 AUG 1979,KEN,2,,"FBK Stadium, Hengelo (NED)",01 JUN 2003,1213
12,8:10.33,,Abraham CHERONO,21 JUL 1980,KEN,6,,Ostrava (CZE),12 JUN 2003,1210
13,8:13.02,,Michael KIPYEGO,02 OCT 1983,KEN,3,,"FBK Stadium, Hengelo (NED)",01 JUN 2003,1198
14,8:13.31,,Ali EZZINE,03 SEP 1978,MAR,6,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2003,1197
15,8:13.52,,Luis Miguel MARTÍN,11 JAN 1972,ESP,6,,"Stade de France, Paris-St-Denis (FRA)",26 AUG 2003,1196
16,8:13.86,,José Luis BLANCO,03 JUN 1975,ESP,3,,San Sebastián (ESP),10 AUG 2003,1194
17,8:14.14,,David Biwott CHEMWENO,18 DEC 1981,KEN,4,,Sevilla (ESP),07 JUN 2003,1193
18,8:14.81,,Zouhair EL OUARDI,15 FEB 1977,MAR,8,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2003,1190
19,8:15.33,,Abdelkader HACHLAF,03 JUL 1979,MAR,6,,Paris (FRA),04 JUL 2003,1188
20,8:15.54,,Pavel POTAPOVICH,26 NOV 1980,RUS,7,,Paris (FRA),04 JUL 2003,1187
21,8:15.82,,Antonio David JIMÉNEZ,18 FEB 1977,ESP,5,,Sevilla (ESP),07 JUN 2003,1185
22,8:16.96,,Boštjan BUČ,13 APR 1980,SLO,7,,Ostrava (CZE),12 JUN 2003,1180
23,8:17.48,,Vincent LE DAUPHIN,28 JUN 1976,FRA,9,,Paris (FRA),04 JUL 2003,1178
24,8:17.72,,Jukka KESKISALO,27 MAR 1981,FIN,9,,"Stade de France, Paris-St-Denis (FRA)",26 AUG 2003,1177
25,8:17.90,,Günther WEIDLINGER,05 APR 1978,AUT,8,,Ostrava (CZE),12 JUN 2003,1176
26,8:18.27,,John LANGAT,27 NOV 1974,KEN,4,,Heusden-Zolder (BEL),02 AUG 2003,1174
27,8:18.51,,Khamis Abdullah SAIFELDIN,01 DEC 1976,QAT,1,,Zagreb (CRO),07 JUL 2003,1173
28,8:18.79,,Lotfi TURKI,06 MAR 1975,TUN,5,,Heusden-Zolder (BEL),02 AUG 2003,1172
29,8:18.93,,Yoshitaka IWAMIZU,20 JUN 1979,JPN,4h1,,"Stade de France, Paris-St-Denis (FRA)",23 AUG 2003,1171
30,8:19.26,,Linus Kipwambok CHUMBA,09 FEB 1980,KEN,2,,Zagreb (CRO),07 JUL 2003,1170
31,8:19.31,,Martin PRÖLL,21 MAR 1981,AUT,9,,Ostrava (CZE),12 JUN 2003,1170
32,8:19.35,,Antonio Manuel MARTÍNEZ,20 DEC 1978,ESP,7,,Sevilla (ESP),07 JUN 2003,1169
