Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,7:52.11,,Lamecha GIRMA,26 NOV 2000,ETH,1,,"Stade Charléty, Paris (FRA)",09 JUN 2023,1295
2,7:56.68,,Soufiane EL BAKKALI,07 JAN 1996,MAR,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28 MAY 2023,1274
3,8:04.19,,Simon Kiprop KOECH,10 JUN 2003,KEN,1,,"Stade Louis II, Monaco (MON)",21 JUL 2023,1239
4,8:05.15,,Getnet WALE,16 JUL 2000,ETH,2,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28 MAY 2023,1234
5,8:05.51,,Abraham KIBIWOT,06 APR 1996,KEN,3,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28 MAY 2023,1232
6,8:09.45,,Leonard Kipkemoi BETT,03 NOV 2000,KEN,3,,"Stadion Śląski, Chorzów (POL)",16 JUL 2023,1214
7,8:09.91,,Ryuji MIURA,11 FEB 2002,JPN,2,,"Stade Charléty, Paris (FRA)",09 JUN 2023,1212
8,8:10.56,,Abrham SIME,07 NOV 2001,ETH,3,,"Stade Louis II, Monaco (MON)",21 JUL 2023,1209
9,8:10.57,,Samuel FIREWU,03 MAY 2004,ETH,4,,"Stade Louis II, Monaco (MON)",21 JUL 2023,1209
10,8:10.63,,Daniel ARCE,22 APR 1992,ESP,3,,"Stade Charléty, Paris (FRA)",09 JUN 2023,1209
11,8:11.12,,Benjamin KIGEN,05 JUL 1993,KEN,5,,"Stadion Śląski, Chorzów (POL)",16 JUL 2023,1207
12,8:11.28,,Hillary BOR,22 NOV 1989,USA,4,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28 MAY 2023,1206
13,8:11.63,,Avinash Mukund SABLE,13 SEP 1994,IND,6,,"Stadion Śląski, Chorzów (POL)",16 JUL 2023,1204
14,8:12.19,,Mohamed Amin JHINAOUI,02 APR 1997,TUN,5,,"Stade Charléty, Paris (FRA)",09 JUN 2023,1202
15,8:13.26,,Geordie BEAMISH,24 OCT 1996,NZL,5,,"Stade Louis II, Monaco (MON)",21 JUL 2023,1197
16,8:13.74,,Anthony ROTICH,20 OCT 1990,USA,6,,"Stade Louis II, Monaco (MON)",21 JUL 2023,1195
17,8:13.89,,Víctor RUIZ,24 JUN 1993,ESP,7,,"Stade Charléty, Paris (FRA)",09 JUN 2023,1194
18,8:14.41,,Amos SEREM,28 AUG 2002,KEN,3,,"Egret Stadium, Xiamen (CHN)",02 SEP 2023,1192
19,8:14.58,,Osama ZOGHLAMI,19 JUN 1994,ITA,6,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28 MAY 2023,1191
20,8:14.93,,Ahmed JAZIRI,16 DEC 1997,TUN,1,,"Sports Park Mladost, Zagreb (CRO)",10 SEP 2023,1189
21,8:15.02,,Mohamed TINDOUFT,12 MAR 1993,MAR,8,,"Stadion Śląski, Chorzów (POL)",16 JUL 2023,1189
22,8:15.58,,Jean-Simon DESGAGNÉS,26 JUL 1998,CAN,8,,"Nemzeti Atlétikai Központ, Budapest (HUN)",22 AUG 2023,1186
23,8:16.03,,Mason FERLIC,05 AUG 1993,USA,8,,"Stade Louis II, Monaco (MON)",21 JUL 2023,1184
24,8:16.18,,Mohammed MSAAD,04 MAR 2004,MAR,8,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",28 MAY 2023,1184
25,8:16.23,,Duncan HAMILTON,14 JUL 2000,USA,1h2,,"Hornet Stadium - Sac St., Sacramento, CA (USA)",26 MAY 2023,1184
26,8:16.78,,Kenneth ROOKS,21 OCT 1999,USA,1,,"Hayward Field, Eugene, OR (USA)",08 JUL 2023,1181
26,8:16.78,,Ibrahim EZZAYDOUNI,28 APR 1991,ESP,2,,"Sports Park Mladost, Zagreb (CRO)",10 SEP 2023,1181
28,8:16.81,,Djilali BEDRANI,01 OCT 1993,FRA,9,,"Stade Louis II, Monaco (MON)",21 JUL 2023,1181
29,8:17.06,,Fernando CARRO,01 APR 1992,ESP,11,,"Stade Charléty, Paris (FRA)",09 JUN 2023,1180
