Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,8:01.63,,Lamecha GIRMA,26 NOV 2000,ETH,1,,"Olympiastadion, Stockholm (SWE)",02 JUN 2024,1250
2,8:05.78,,Samuel FIREWU,03 MAY 2004,ETH,2,,"Olympiastadion, Stockholm (SWE)",02 JUN 2024,1231
3,8:07.38,,Abraham KIBIWOT,06 APR 1996,KEN,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2024,1224
4,8:09.40,,Soufiane EL BAKKALI,07 JAN 1996,MAR,1,,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1215
5,8:09.69,,Getnet WALE,16 JUL 2000,ETH,3,,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2024,1213
6,8:10.41,,Mohamed Amin JHINAOUI,02 APR 1997,TUN,3,,"Olympiastadion, Stockholm (SWE)",02 JUN 2024,1210
7,8:10.82,,Amos SEREM,28 AUG 2002,KEN,3,,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1208
8,8:12.28,,Daniel ARCE,22 APR 1992,ESP,5,,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1201
9,8:12.44,,Samuel DUGUNA,20 SEP 2003,ETH,1,,"Stade Delort, Marseille (FRA)",22 MAY 2024,1201
10,8:13.30,,Hillary BOR,22 NOV 1989,USA,6,,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1197
11,8:13.47,,Louis GILAVERT,01 JAN 1998,FRA,2,,"Stade Delort, Marseille (FRA)",22 MAY 2024,1196
12,8:13.73,,Djilali BEDRANI,01 OCT 1993,FRA,7,,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1195
13,8:13.96,,Ryuji MIURA,11 FEB 2002,JPN,5,,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2024,1194
14,8:14.15,,Mohamed TINDOUFT,12 MAR 1993,MAR,5,,"Olympiastadion, Stockholm (SWE)",02 JUN 2024,1193
15,8:14.71,,Alexis MIELLET,05 MAY 1995,FRA,3,,"Stade Delort, Marseille (FRA)",22 MAY 2024,1190
15,8:14.71,,Geordie BEAMISH,24 OCT 1996,NZL,6,,"Olympiastadion, Stockholm (SWE)",02 JUN 2024,1190
17,8:15.08,,Kenneth ROOKS,21 OCT 1999,USA,1,,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1189
18,8:15.14,,Hailemariyam AMARE,22 FEB 1997,ETH,4,,"Stade Delort, Marseille (FRA)",22 MAY 2024,1188
19,8:15.95,,Jean-Simon DESGAGNÉS,26 JUL 1998,CAN,8,,"Olympiastadion, Stockholm (SWE)",02 JUN 2024,1185
20,8:16.04,,Nahuel CARABAÑA,10 NOV 1999,AND,5,,"Stade Delort, Marseille (FRA)",22 MAY 2024,1184
21,8:16.36,,Nicolas-Marie DARU,21 OCT 1988,FRA,2,,"Stadion Śląski, Chorzów (POL)",18 MAY 2024,1183
22,8:16.59,,Matthew WILKINSON,27 DEC 1998,USA,2,,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1182
23,8:16.84,,Karl BEBENDORF,07 MAY 1996,GER,3,,"Stadion Śląski, Chorzów (POL)",18 MAY 2024,1181
24,8:16.94,,Emil BLOMBERG,09 APR 1992,SWE,9,,"Olympiastadion, Stockholm (SWE)",02 JUN 2024,1180
25,8:17.15,,Simon SUNDSTRÖM,04 FEB 1998,SWE,10,,"Olympiastadion, Stockholm (SWE)",02 JUN 2024,1179
26,8:17.41,,Frederik RUPPERT,19 FEB 1997,GER,1,,"Estadio Iberoamericano, Huelva (ESP)",30 APR 2024,1178
27,8:18.30,,Fernando CARRO,01 APR 1992,ESP,6,,"Stade Delort, Marseille (FRA)",22 MAY 2024,1174
28,8:18.37,,Yassin BOUIH,24 NOV 1996,ITA,4,,"Stadion Śląski, Chorzów (POL)",18 MAY 2024,1174
29,8:18.45,,Simon Kiprop KOECH,10 JUN 2003,KEN,1f2,,"Nyayo National Stadium, Nairobi (KEN)",22 MAY 2024,1174
30,8:18.68,,Tim VAN DE VELDE,01 FEB 2000,BEL,2,,"Estadio Iberoamericano, Huelva (ESP)",30 APR 2024,1172
31,8:18.95,,Rémi SCHYNS,26 JAN 1999,BEL,3,,"Estadio Iberoamericano, Huelva (ESP)",30 APR 2024,1171
32,8:19.54,,Osama ZOGHLAMI,19 JUN 1994,ITA,11,,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1169
33,8:19.96,,Alec BASTEN,26 FEB 1998,USA,3,,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1167
34,8:20.05,,Edmund SEREM,27 DEC 2007,KEN,1f1,,"Nyayo National Stadium, Nairobi (KEN)",22 MAY 2024,1166
35,8:20.06,,Salaheddine BEN YAZIDE,06 MAY 2003,MAR,12,,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1166
36,8:20.48,,Mason FERLIC,05 AUG 1993,USA,1f1,,"Dean A. Hayes Track and Soccer Stadium, Murfreesboro, TN (USA)",31 MAY 2024,1164
37,8:20.49,,Ahmed JAZIRI,16 DEC 1997,TUN,13,,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1164
38,8:20.68,,Nathan MOUNTAIN,,USA,2,,"UVA Lanningan Field, Charlottesville, VA (USA)",19 APR 2024,1163
39,8:20.71,,Faid EL MOSTAFA,13 JAN 2000,MAR,1f1,,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",22 MAY 2024,1163
40,8:20.77,,Zak SEDDON,28 JUN 1994,GBR,4,,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1163
41,8:20.83,,Mark PEARCE,19 JAN 1996,GBR,1f1,,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1163
42,8:20.86,,Isaac UPDIKE,21 MAR 1992,USA,9,,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2024,1163
43,8:20.87,,Vidar JOHANSSON,08 OCT 1996,SWE,7,,"Stade Delort, Marseille (FRA)",22 MAY 2024,1163
44,8:20.90,,Derek JOHNSON,11 OCT 1999,USA,5,,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1163
45,8:20.91,,Travis MAHONEY,25 JUL 1990,USA,3,,"UVA Lanningan Field, Charlottesville, VA (USA)",19 APR 2024,1162
46,8:20.94,,Velten SCHNEIDER,21 AUG 1999,GER,2f1,,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1162
47,8:21.00,,Topi RAITANEN,07 FEB 1996,FIN,2f3,,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",11 MAY 2024,1162
48,8:21.09,,Phil NORMAN,20 OCT 1989,GBR,3f3,,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",11 MAY 2024,1162
49,8:21.25,,Milkesa FIKADU,20 FEB 2005,ETH,4,,"Estadio Iberoamericano, Huelva (ESP)",30 APR 2024,1161
50,8:21.45,,Hichem BOUCHICHA,19 MAY 1989,ALG,3f1,,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1160
51,8:21.91,,Baptiste FOURMONT,19 MAY 1999,FRA,4f1,,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1158
52,8:21.98,,Joey BERRIATUA,16 JUN 1995,USA,6,,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1158
53,8:22.26,,Benjamin KIGEN,05 JUL 1993,KEN,11,,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2024,1156
54,8:22.68,,Tomáš HABARTA,10 JUL 2003,CZE,5,,"Stadion Śląski, Chorzów (POL)",18 MAY 2024,1155
55,8:22.94,,Jacob BOUTERA,29 APR 1996,NOR,4f3,,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",11 MAY 2024,1153
56,8:23.00,,Anthony ROTICH,20 OCT 1990,USA,2,,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1153
57,8:23.02,,Duncan HAMILTON,14 JUL 2000,USA,3,,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1153
58,8:23.05,,Brian BARRAZA,16 MAY 1995,USA,4,,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1153
59,8:23.27,,Niklas BUCHHOLZ,04 MAR 1998,GER,5f3,,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",11 MAY 2024,1152
60,8:23.28,,Luc LE BARON,05 FEB 2002,FRA,9,,"Stade Delort, Marseille (FRA)",22 MAY 2024,1152
61,8:23.32,,Bilal TABTI,07 JUN 1993,ALG,3,,"Bungertstadion, Rehlingen (GER)",19 MAY 2024,1152
62,8:23.35,,Philemon Kiplagat RUTO,20 SEP 2001,KEN,2,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2024,1152
63,8:23.70,,Ala ZOGHLAMI,19 JUN 1994,ITA,6,,"Stadion Śląski, Chorzów (POL)",18 MAY 2024,1150
64,8:23.74,,Abrham SIME,07 NOV 2001,ETH,15,,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1150
65,8:23.84,,Matthew KOSGEI,,KEN,3,,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1149
66,8:24.25,,Etson BARROS,16 MAR 2001,POR,5,,"Estadio Iberoamericano, Huelva (ESP)",30 APR 2024,1148
67,8:24.37,,Matthew CLARKE,29 APR 1995,AUS,8,,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1147
68,8:24.38,,Alejandro QUIJADA,07 MAR 2001,ESP,6,,"Estadio Iberoamericano, Huelva (ESP)",30 APR 2024,1147
69,8:24.86,,Benard KETER,25 MAY 1992,USA,1f3,,"Cougar Athletic Stadium, Azusa, CA (USA)",11 APR 2024,1145
