Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
51,8:27.14,,Xiangqian LIN,27 JAN 1987,CHN,2,,Jinan (CHN),21 OCT 2009,1135
52,8:27.20,,Ildar MINSHIN,05 FEB 1985,RUS,2,,Moskva (RUS),01 JUL 2009,1134
53,8:27.53,,Alexandre GENEST,30 JUN 1986,CAN,4,,Beograd (SRB),11 JUL 2009,1133
54,8:28.1h,,Jonathan Muia NDIKU,18 SEP 1991,KEN,1,,Nairobi (KEN),16 JUN 2009,1130
55,8:28.43,,Filmon GHIRMAI,25 JAN 1979,GER,13,,Barcelona (ESP),25 JUL 2009,1129
56,8:28.49,,Bjørnar Ustad KRISTENSEN,26 JAN 1982,NOR,5h3,,"Olympiastadion, Berlin (GER)",16 AUG 2009,1129
57,8:28.67,,Mario BAZÁN,01 SEP 1987,PER,8h1,,"Olympiastadion, Berlin (GER)",16 AUG 2009,1128
58,8:29.07,,Vincent Kipsegechi YATOR,11 JUL 1989,KEN,10,,"FBK Stadium, Hengelo (NED)",01 JUN 2009,1126
59,8:29.12,,Enrique SÁNCHEZ,14 OCT 1983,ESP,5,,Huelva (ESP),10 JUN 2009,1126
60,8:29.24,,Kyle PERRY,01 DEC 1983,USA,1,,"Fayetteville, AR (USA)",12 JUN 2009,1125
61,8:29.45,,Jakub NOWAK,18 NOV 1989,POL,1,,Warszawa (POL),18 JUL 2009,1125
62,8:29.48,,Nahom Mesfin TARIKU,03 JUN 1989,ETH,1,,Sapporo (JPN),06 JUN 2009,1124
63,8:29.86,,Alberto Casimiro PAULO,03 OCT 1985,POR,6,,Beograd (SRB),11 JUL 2009,1123
64,8:29.88,,Abdelghani AIT BAHMED,28 JUL 1989,MAR,4,,Tanger (MAR),12 JUL 2009,1123
65,8:30.48,,Andrey FARNOSOV,09 JUL 1980,RUS,2f2,,Cheboksary (RUS),23 JUL 2009,1120
66,8:30.76,,Youcef ABDI,07 DEC 1977,AUS,1,,Sydney (AUS),28 FEB 2009,1119
67,8:31.1h,,Patrick NTHIWA,30 JUN 1983,KEN,2,,Nairobi (KEN),23 MAY 2009,1117
68,8:31.18,,Pyotr IVANENKO,11 JAN 1986,RUS,5,,"Stadion Juliska, Praha (CZE)",08 JUN 2009,1117
69,8:31.29,,Per JACOBSEN,30 DEC 1977,SWE,6,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",10 JUN 2009,1116
70,8:31.5h,,Stephen KIPROTICH,25 NOV 1990,KEN,2,,Nairobi (KEN),16 JUN 2009,1115
71,8:31.52,,Øystein SYLTA,03 MAR 1978,NOR,5,,Moskva (RUS),01 JUL 2009,1115
72,8:31.75,,Collins NGENO,14 APR 1983,KEN,11,,Heusden-Zolder (BEL),18 JUL 2009,1114
73,8:31.77,,Assefa Tola NIGUSSE,,ETH,5,,Metz (FRA),03 JUL 2009,1114
74,8:31.81,,Marcin CHABOWSKI,28 JUN 1986,POL,2,,Bydgoszcz (POL),02 AUG 2009,1114
75,8:31.82,,Albert MINCZÉR,01 OCT 1986,HUN,6,,"Stadion Juliska, Praha (CZE)",08 JUN 2009,1114
76,8:31.97,,Joseph MCKENZIE,30 MAR 1986,RSA,2,,Stellenbosch (RSA),14 MAR 2009,1113
77,8:31.99,,Matteo VILLANI,28 AUG 1982,ITA,6,,Huelva (ESP),10 JUN 2009,1113
78,8:32.12,,Rubén PALOMEQUE,14 AUG 1980,ESP,4,,Barcelona (ESP),01 AUG 2009,1113
79,8:32.21,,Boštjan BUČ,13 APR 1980,SLO,1,,Maribor (SLO),02 AUG 2009,1112
80,8:32.23,,Abdelhamid ZERRIFI,20 JUN 1986,ALG,6,,Metz (FRA),03 JUL 2009,1112
81,8:32.30,,Vadim SLOBODENYUK,17 MAR 1981,UKR,1,,Yalta (UKR),04 JUN 2009,1112
82,8:32.88,,Francisco Javier LARA,24 JUN 1976,ESP,17,,Barcelona (ESP),25 JUL 2009,1109
83,8:33.22,,Illya SUKHAREV,17 JUN 1986,UKR,6,,Moskva (RUS),01 JUL 2009,1108
84,8:33.36,,Vincent LE DAUPHIN,28 JUN 1976,FRA,9,,Stockholm (SWE),31 JUL 2009,1107
85,8:33.90,,Mário TEIXEIRA,20 SEP 1974,POR,1,,Lisboa (POR),30 JUL 2009,1105
86,8:34.02,,Kyle ALCORN,18 MAR 1985,USA,6,,"Eugene, OR (USA)",07 JUN 2009,1104
87,8:34.12,,Aleksandr PAVELYEV,30 JUL 1987,RUS,1,,Kazan (RUS),17 JUN 2009,1104
88,8:34.15,,Mateusz DEMCZYSZAK,18 JAN 1986,POL,3,,Bydgoszcz (POL),02 AUG 2009,1104
89,8:34.36,,Pedro Miguel RIBEIRO,25 MAR 1981,POR,1,,Seixal (POR),26 JUL 2009,1103
90,8:34.57,,Jake MORSE,17 APR 1985,USA,5f1,,"Palo Alto, CA (USA)",02 MAY 2009,1102
91,8:34.60,,Yuri FLORIANI,25 DEC 1981,ITA,4,,Pescara (ITA),02 JUL 2009,1102
