Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,7:53.64,,Brimin Kiprop KIPRUTO,31 JUL 1985,KEN,1,,"Stade Louis II, Monaco (MON)",22 JUL 2011,1288
2,7:55.76,,Ezekiel KEMBOI,25 MAY 1982,KEN,2,,"Stade Louis II, Monaco (MON)",22 JUL 2011,1278
3,7:57.32,,Paul Kipsiele KOECH,10 NOV 1981,KEN,3,,"Stade Louis II, Monaco (MON)",22 JUL 2011,1271
4,8:02.09,,Mahiedine MEKHISSI,15 MAR 1985,FRA,1,,"Stade de France, Paris-St-Denis (FRA)",08 JUL 2011,1248
5,8:05.72,,Bouabdellah TAHRI,20 DEC 1978,FRA,4,,"Stade Louis II, Monaco (MON)",22 JUL 2011,1232
6,8:05.88,,Bernard NGANGA,17 JAN 1985,KEN,2,,"Olympiastadion, Berlin (GER)",11 SEP 2011,1231
7,8:07.41,,Richard Kipkemboi MATEELONG,14 OCT 1983,KEN,5,,"Stade Louis II, Monaco (MON)",22 JUL 2011,1224
8,8:07.71,,Hillary Kipsang YEGO,02 APR 1992,KEN,3,,"Shanghai Stadium, Shanghai (CHN)",15 MAY 2011,1222
9,8:07.75,,Jonathan Muia NDIKU,18 SEP 1991,KEN,6,,"Stade Louis II, Monaco (MON)",22 JUL 2011,1222
10,8:08.43,,Benjamin KIPLAGAT,04 MAR 1989,UGA,3,,"Stade de France, Paris-St-Denis (FRA)",08 JUL 2011,1219
11,8:08.59,,Tarik Langat AKDAG,16 JUN 1988,KEN,4,,"Shanghai Stadium, Shanghai (CHN)",15 MAY 2011,1218
12,8:10.03,,Roba GARI,12 APR 1982,ETH,4,,"Stade de France, Paris-St-Denis (FRA)",08 JUL 2011,1212
13,8:11.31,,Jairus Kipchoge BIRECH,14 DEC 1992,KEN,5,,"Stade de France, Paris-St-Denis (FRA)",08 JUL 2011,1206
14,8:11.50,,Ruben RAMOLEFI,17 JUL 1978,RSA,2h2,,"DS, Daegu (KOR)",29 AUG 2011,1205
15,8:11.81,,Hamid EZZINE,05 OCT 1983,MAR,3h2,,"DS, Daegu (KOR)",29 AUG 2011,1204
16,8:12.04,,Nahom Mesfin TARIKU,03 JUN 1989,ETH,4h2,,"DS, Daegu (KOR)",29 AUG 2011,1203
17,8:12.17,,Silas Kosgei KITUM,25 MAY 1990,KEN,3,,"DS, Daegu (KOR)",12 MAY 2011,1202
18,8:12.25,,Nordine GEZZAR,17 FEB 1980,FRA,9,,"Stade Louis II, Monaco (MON)",22 JUL 2011,1202
19,8:13.04,,Abdelkader HACHLAF,03 JUL 1979,MAR,1,,Rabat (MAR),05 JUN 2011,1198
20,8:14.22,,Elijah CHELIMO,20 APR 1987,KEN,2,,"Sports Park Mladost, Zagreb (CRO)",13 SEP 2011,1193
21,8:14.28,,Elias KEMBOI,10 MAY 1984,KEN,3,,"Olympiastadion, Berlin (GER)",11 SEP 2011,1192
22,8:15.47,,Łukasz PARSZCZYŃSKI,04 MAY 1985,POL,8,,"Stade de France, Paris-St-Denis (FRA)",08 JUL 2011,1187
23,8:15.72,,Jacob ARAPTANY,11 FEB 1992,UGA,1,,Kampala (UGA),23 JUL 2011,1186
24,8:15.80,,Haron LAGAT,15 AUG 1983,KEN,3,,"Sports Park Mladost, Zagreb (CRO)",13 SEP 2011,1185
25,8:16.41,,Youcef ABDI,07 DEC 1977,AUS,1,,Lapinlahti (FIN),24 JUL 2011,1183
26,8:16.47,,Ángel MULLERA,20 APR 1984,ESP,2,,Barcelona (ESP),22 JUL 2011,1182
27,8:17.27,,William NELSON,11 SEP 1984,USA,11,,"Stade Louis II, Monaco (MON)",22 JUL 2011,1179
28,8:17.36,,Birhan GETAHUN,05 SEP 1991,ETH,1,,Maputo (MOZ),11 SEP 2011,1178
29,8:17.84,,Vincent ZOUAOUI DANDRIEUX,12 OCT 1980,FRA,12,,"Stade Louis II, Monaco (MON)",22 JUL 2011,1176
30,8:17.87,,Mohamed-Khaled BELABBAS,04 JUL 1981,FRA,3,,Barcelona (ESP),22 JUL 2011,1176
31,8:19.00,,Tomas TAJADURA JUEZ,25 JUN 1985,ESP,4,,Barcelona (ESP),22 JUL 2011,1171
32,8:19.10,,Ben BRUCE,10 SEP 1982,USA,5,,Barcelona (ESP),22 JUL 2011,1171
33,8:19.31,,Patrick Kipyegon TERER,06 JUL 1989,KEN,6,,Barcelona (ESP),22 JUL 2011,1170
34,8:19.33,,Alexandre GENEST,30 JUN 1986,CAN,7,,Barcelona (ESP),22 JUL 2011,1170
35,8:19.69,,Ivan LUKYANOV,31 JAN 1981,MDA,8,,"DS, Daegu (KOR)",01 SEP 2011,1168
36,8:20.72,,Sisay KORME,09 JAN 1985,ETH,3,,Maputo (MOZ),11 SEP 2011,1163
37,8:21.02,,Abel Kiprop MUTAI,02 OCT 1988,KEN,1,,Cottbus (GER),25 JUN 2011,1162
38,8:21.40,,Willy Rutto KOMEN,22 DEC 1987,KEN,1,,"Crystal Palace, London (GBR)",05 AUG 2011,1160
39,8:21.77,,Antonio David JIMÉNEZ,18 FEB 1977,ESP,8,,"Olympiastadion, Berlin (GER)",11 SEP 2011,1159
40,8:21.95,,Andrey FARNOSOV,09 JUL 1980,RUS,4,,"Meteor, Zhukovskiy (RUS)",03 JUL 2011,1158
41,8:22.00,,Abdelaziz MERZOUGUI,30 AUG 1991,ESP,1,,Huelva (ESP),02 JUN 2011,1158
42,8:22.34,,Abraham CHIRCHIR,01 AUG 1980,KEN,3,,Nairobi (KEN),16 JUL 2011,1156
43,8:22.41,,Alberto Casimiro PAULO,03 OCT 1985,POR,4h3,,"DS, Daegu (KOR)",29 AUG 2011,1156
44,8:22.61,,Víctor GARCÍA,13 MAR 1985,ESP,2,,Huelva (ESP),02 JUN 2011,1155
