Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,7:58.15,,Soufiane EL BAKKALI,07 JAN 1996,MAR,1,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1267
2,8:01.02,,Evan JAGER,08 MAR 1989,USA,2,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1253
3,8:06.19,,Benjamin KIGEN,05 JUL 1993,KEN,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1229
4,8:07.27,,Chala BEYO,18 JAN 1996,ETH,2,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1224
5,8:08.40,,Conseslus KIPRUTO,08 DEC 1994,KEN,1,,"Stadio Olimpico, Roma (ITA)",31 MAY 2018,1219
6,8:10.62,,Abraham KIBIWOT,06 APR 1996,KEN,2,,Gold Coast (AUS),13 APR 2018,1209
7,8:12.20,,Hillary BOR,22 NOV 1989,USA,4,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1202
8,8:12.24,,Amos KIRUI,09 FEB 1998,KEN,3,,Gold Coast (AUS),13 APR 2018,1202
9,8:12.33,,Matthew HUGHES,03 AUG 1989,CAN,4,,Gold Coast (AUS),13 APR 2018,1201
10,8:13.18,,Nicholas Kiptonui BETT,20 DEC 1996,KEN,1,,Dessau (GER),08 JUN 2018,1197
11,8:14.62,,Ibrahim EZZAYDOUNI,28 APR 1991,ESP,7,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1191
12,8:15.07,,Lawrence Kemboi KIPSANG,15 JUN 1993,KEN,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1189
13,8:16.24,,Emmanuel KIPRONO,14 JUL 1995,KEN,3,,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1183
14,8:16.97,,Mahiedine MEKHISSI,15 MAR 1985,FRA,5,,"Stadio Olimpico, Roma (ITA)",31 MAY 2018,1180
14,8:16.97,,Leonard Kipkemoi BETT,03 NOV 2000,KEN,4,,"Alexander Stadium, Birmingham (GBR)",18 AUG 2018,1180
16,8:17.08,,Barnabas KIPYEGO,12 JUN 1995,KEN,1,,"Stade Raymond Petit, Tomblaine (FRA)",27 JUN 2018,1180
17,8:17.17,,Albert CHEMUTAI,01 JUN 1995,UGA,6,,"Stadio Olimpico, Roma (ITA)",31 MAY 2018,1179
18,8:17.51,,Tesfaye DERIBA,11 SEP 1998,ETH,5,,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1178
19,8:18.04,,Kennedy NJIRU,1987,KEN,7,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1175
20,8:18.76,,Jairus Kipchoge BIRECH,14 DEC 1992,KEN,6,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1172
21,8:19.30,,Fernando CARRO,01 APR 1992,ESP,9,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1170
22,8:19.51,,Hicham SIGUENI,30 JAN 1993,MAR,3,,"Stade Raymond Petit, Tomblaine (FRA)",27 JUN 2018,1169
22,8:19.51,,Justus LAGAT,20 MAY 1996,KEN,4,,"Stade Raymond Petit, Tomblaine (FRA)",27 JUN 2018,1169
24,8:19.61,,Yemane HAILESELASSIE,21 FEB 1998,ERI,2,,Huelva (ESP),08 JUN 2018,1168
25,8:20.30,,Mohamed TINDOUFT,12 MAR 1993,MAR,7,,"Stadio Olimpico, Roma (ITA)",31 MAY 2018,1165
26,8:20.55,,Djilali BEDRANI,01 OCT 1993,FRA,5,,"Stade Raymond Petit, Tomblaine (FRA)",27 JUN 2018,1164
27,8:21.08,,Abdelkarim BEN ZAHRA,27 OCT 1998,MAR,3,,Huelva (ESP),08 JUN 2018,1162
28,8:21.21,,Hailemariyam AMARE,22 FEB 1997,ETH,7,,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1161
29,8:21.34,,Tafese SOBOKA,29 SEP 1993,ETH,1f1,,Montbéliard (FRA),01 JUN 2018,1161
30,8:22.00,,John KOECH,23 AUG 1995,BRN,8,,"Stadio Olimpico, Roma (ITA)",31 MAY 2018,1158
31,8:22.40,,Maksim YAKUSHEV,15 MAR 1992,RUS,1,,Kazan (RUS),20 JUL 2018,1156
32,8:22.55,,Wilberforce Chemiat KONES,19 SEP 1993,KEN,2,,Liège (BEL),18 JUL 2018,1155
33,8:22.68,,Getnet WALE,16 JUL 2000,ETH,9,,"Stade Louis II, Monaco (MON)",20 JUL 2018,1155
34,8:22.79,,Hosein KEYHANI,26 APR 1990,IRI,1,,Jakarta (INA),27 AUG 2018,1154
35,8:23.22,,Paul Kipsiele KOECH,10 NOV 1981,KEN,8,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1152
36,8:23.54,,Napoleon SOLOMON,14 FEB 1994,SWE,11,,"Stadio Olimpico, Roma (ITA)",31 MAY 2018,1151
37,8:23.65,,Mohamed ISMAIL,01 JAN 1997,DJI,8,,"Stade Raymond Petit, Tomblaine (FRA)",27 JUN 2018,1150
38,8:23.79,,Tolosa NURGI,29 MAR 1990,ETH,4f1,,Montbéliard (FRA),01 JUN 2018,1150
39,8:24.66,,Andrew BAYER,03 FEB 1990,USA,3,,"Drake Stadium, Des Moines, IA (USA)",24 JUN 2018,1146
40,8:25.30,,Hillary Kipsang YEGO,02 APR 1992,TUR,2,,Sollentuna (SWE),28 JUN 2018,1143
41,8:25.35,,Takele NIGATE,02 OCT 1999,ETH,1,,"Ratinan Stadion, Tampere (FIN)",15 JUL 2018,1143
42,8:25.38,,Isaac UPDIKE,21 MAR 1992,USA,1f1,,Kortrijk (BEL),14 JUL 2018,1143
43,8:25.49,,Clement Kimutai KEMBOI,10 FEB 1992,KEN,7,,Huelva (ESP),08 JUN 2018,1142
44,8:26.02,,Ahmed ABDELWAHED,26 MAY 1996,ITA,2f1,,Kortrijk (BEL),14 JUL 2018,1140
45,8:26.14,,Amor BEN YAHIA,01 JUL 1985,TUN,2,,Tarragona (ESP),27 JUN 2018,1139
46,8:26.18,,Martin GRAU,26 MAR 1992,GER,5,,Dessau (GER),08 JUN 2018,1139
47,8:26.24,,Joash KIPLIMO,21 MAY 1991,KEN,8,,Huelva (ESP),08 JUN 2018,1139
48,8:26.51,,Zak SEDDON,28 JUN 1994,GBR,2,,Rehlingen (GER),20 MAY 2018,1138
49,8:26.52,,Philemon Kiplagat RUTO,20 SEP 2001,KEN,2,,Nairobi (KEN),11 JUN 2018,1137
50,8:26.91,,Sebastián MARTOS,20 JUN 1989,ESP,9,,Huelva (ESP),08 JUN 2018,1136
51,8:27.08,,Yoann KOWAL,28 MAY 1987,FRA,5f1,,Montbéliard (FRA),01 JUN 2018,1135
52,8:27.2h,,Mounaime SASSIOUI,20 MAR 1995,MAR,1,,Rabat (MAR),23 MAY 2018,1134
53,8:27.25,,Jonathan ROMEO,13 AUG 1994,ESP,9,,"Stade Raymond Petit, Tomblaine (FRA)",27 JUN 2018,1134
54,8:27.46,,Hichem BOUCHICHA,19 MAY 1989,ALG,3,,Rehlingen (GER),20 MAY 2018,1133
55,8:27.57,,Cleophas Kandie MEYAN,14 AUG 2000,KEN,13,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",13 JUL 2018,1133
56,8:27.71,,Daniel ARCE,22 APR 1992,ESP,1f1,,Oordegem (BEL),26 MAY 2018,1132
57,8:27.72,,Krystian ZALEWSKI,11 APR 1989,POL,10,,"Stade Raymond Petit, Tomblaine (FRA)",27 JUN 2018,1132
