Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,7:59.03,,Ezekiel KEMBOI,25 MAY 1982,KEN,1,,"Stade de France, Paris-St-Denis (FRA)",06 JUL 2013,1263
2,8:00.09,,Mahiedine MEKHISSI,15 MAR 1985,FRA,2,,"Stade de France, Paris-St-Denis (FRA)",06 JUL 2013,1258
3,8:01.16,,Conseslus KIPRUTO,08 DEC 1994,KEN,1,,"Shanghai Stadium, Shanghai (CHN)",18 MAY 2013,1253
4,8:02.63,,Paul Kipsiele KOECH,10 NOV 1981,KEN,2,,"Shanghai Stadium, Shanghai (CHN)",18 MAY 2013,1246
5,8:03.57,,Hillary Kipsang YEGO,02 APR 1992,KEN,3,,"Shanghai Stadium, Shanghai (CHN)",18 MAY 2013,1241
6,8:06.86,,Brimin Kiprop KIPRUTO,31 JUL 1985,KEN,1,,"Olympic Stadium, London (GBR)",27 JUL 2013,1226
7,8:06.96,,Gilbert KIRUI,22 JAN 1994,KEN,2,,"Olympic Stadium, London (GBR)",27 JUL 2013,1226
8,8:08.60,,Evan JAGER,08 MAR 1989,USA,4,,"Hayward Field, Eugene, OR (USA)",01 JUN 2013,1218
9,8:08.72,,Jairus Kipchoge BIRECH,14 DEC 1992,KEN,2,,"Letzigrund, Zürich (SUI)",29 AUG 2013,1218
10,8:08.83,,Abel Kiprop MUTAI,02 OCT 1988,KEN,4,,"Shanghai Stadium, Shanghai (CHN)",18 MAY 2013,1217
11,8:11.64,,Matthew HUGHES,03 AUG 1989,CAN,6,,"Luzhniki Stadion, Moskva (RUS)",15 AUG 2013,1204
12,8:12.22,,Roba GARI,12 APR 1982,ETH,4,,"Stade de France, Paris-St-Denis (FRA)",06 JUL 2013,1202
13,8:12.53,,Yoann KOWAL,28 MAY 1987,FRA,1,,Rabat (MAR),09 JUN 2013,1200
14,8:13.07,,Benjamin KIPLAGAT,04 MAR 1989,UGA,5,,"Stade de France, Paris-St-Denis (FRA)",06 JUL 2013,1198
15,8:13.27,,Hamid EZZINE,05 OCT 1983,MAR,2,,Rabat (MAR),09 JUN 2013,1197
16,8:14.05,,Amor BEN YAHIA,01 JUL 1985,TUN,1,,Mersin (TUR),28 JUN 2013,1193
17,8:15.89,,Noureddine SMAÏL,06 FEB 1987,FRA,6,,"Stade de France, Paris-St-Denis (FRA)",06 JUL 2013,1185
18,8:15.93,,Abdelmadjed TOUIL,11 FEB 1989,ALG,4,,Rabat (MAR),09 JUN 2013,1185
19,8:16.43,,Jacob ARAPTANY,11 FEB 1992,UGA,1,,"Puskás Ferenc Stadion, Budapest (HUN)",10 JUL 2013,1183
20,8:16.96,,John KOECH,23 AUG 1995,KEN,6,,"Olympiastadion, Stockholm (SWE)",22 AUG 2013,1180
21,8:17.18,,Clement Kimutai KEMBOI,10 FEB 1992,KEN,2,,"Puskás Ferenc Stadion, Budapest (HUN)",10 JUL 2013,1179
22,8:18.78,,Jonathan Muia NDIKU,18 SEP 1991,KEN,5,,Rabat (MAR),09 JUN 2013,1172
23,8:19.07,,Elijah CHELIMO,20 APR 1987,KEN,3,,"Puskás Ferenc Stadion, Budapest (HUN)",10 JUL 2013,1171
24,8:19.14,,Bernard NGANGA,17 JAN 1985,KEN,4,,Beijing (CHN),21 MAY 2013,1170
25,8:19.22,,Jaouad CHEMLAL,11 APR 1994,MAR,6,,Rabat (MAR),09 JUN 2013,1170
26,8:19.26,,Ángel MULLERA,20 APR 1984,ESP,4h1,,"Luzhniki Stadion, Moskva (RUS)",12 AUG 2013,1170
27,8:19.64,,Ivan LUKYANOV,31 JAN 1981,MDA,5h1,,"Luzhniki Stadion, Moskva (RUS)",12 AUG 2013,1168
28,8:20.08,,Cory LESLIE,24 OCT 1989,USA,4,,Tokyo (JPN),05 MAY 2013,1166
28,8:20.08,,Tarik Langat AKDAG,16 JUN 1988,TUR,2,,Mersin (TUR),28 JUN 2013,1166
30,8:20.11,,Hichem BOUCHICHA,19 MAY 1989,ALG,2,,Rabat (MAR),01 JUN 2013,1166
31,8:20.87,,José Gregorio PEÑA,12 JAN 1987,VEN,7,,"Olympiastadion, Berlin (GER)",01 SEP 2013,1163
32,8:21.19,,Anthony ROTICH,20 OCT 1990,USA,1,,"Eugene, OR (USA)",07 JUN 2013,1161
33,8:21.62,,Mohammed BOULAMA,31 DEC 1993,MAR,3,,Rabat (MAR),01 JUN 2013,1159
34,8:21.92,,Daniel HULING,16 JUL 1983,USA,7,,"Olympiastadion, Stockholm (SWE)",22 AUG 2013,1158
35,8:22.68,,Abdelaziz MERZOUGUI,30 AUG 1991,ESP,1,,Huelva (ESP),12 JUN 2013,1155
