Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,8:07.12,,Benjamin KIGEN,05 JUL 1993,KEN,1,,"Stade Charléty, Paris (FRA)",28 AUG 2021,1225
2,8:07.75,,Lamecha GIRMA,26 NOV 2000,ETH,1,,"Stade Louis II, Monaco (MON)",09 JUL 2021,1222
3,8:07.81,,Abraham KIBIWOT,06 APR 1996,KEN,2,,"Stade Louis II, Monaco (MON)",09 JUL 2021,1222
4,8:08.54,,Soufiane EL BAKKALI,07 JAN 1996,MAR,1,,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1219
5,8:09.37,,Tadese TAKELE,03 AUG 2002,ETH,1,,"FBK Stadium, Hengelo (NED)",08 JUN 2021,1215
6,8:09.47,,Getnet WALE,16 JUL 2000,ETH,1,,"Mestský Stadion, Ostrava (CZE)",19 MAY 2021,1214
7,8:09.92,,Ryuji MIURA,11 FEB 2002,JPN,2h1,,"National Stadium, Tokyo (JPN)",30 JUL 2021,1212
8,8:10.21,,Leonard Kipkemoi BETT,03 NOV 2000,KEN,3,,"Stade Charléty, Paris (FRA)",28 AUG 2021,1211
9,8:11.17,,Djilali BEDRANI,01 OCT 1993,FRA,3,,"Stade Louis II, Monaco (MON)",09 JUL 2021,1207
10,8:11.65,,Mohamed TINDOUFT,12 MAR 1993,MAR,3,,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1204
11,8:12.04,,Ahmed ABDELWAHED,26 MAY 1996,ITA,4,,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1203
12,8:12.11,,Abrham SIME,07 NOV 2001,ETH,2,,"FBK Stadium, Hengelo (NED)",08 JUN 2021,1202
13,8:12.35,,Chala BEYO,18 JAN 1996,ETH,5,,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1201
14,8:12.43,,Mehdi BELHADJ,10 JUN 1995,FRA,4,,"Stade Louis II, Monaco (MON)",09 JUL 2021,1201
15,8:13.56,,Matthew HUGHES,03 AUG 1989,CAN,4h2,,"National Stadium, Tokyo (JPN)",30 JUL 2021,1196
16,8:14.06,,Ala ZOGHLAMI,19 JUN 1994,ITA,4h1,,"National Stadium, Tokyo (JPN)",30 JUL 2021,1193
17,8:14.29,,Osama ZOGHLAMI,19 JUN 1994,ITA,6,,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1192
18,8:14.63,,Yemane HAILESELASSIE,21 FEB 1998,ERI,5h2,,"National Stadium, Tokyo (JPN)",30 JUL 2021,1191
19,8:14.69,,Hillary BOR,22 NOV 1989,USA,5,,"Stade Louis II, Monaco (MON)",09 JUL 2021,1191
20,8:14.86,,Ibrahim EZZAYDOUNI,28 APR 1991,ESP,3,,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021,1190
21,8:15.88,,Hichem BOUCHICHA,19 MAY 1989,ALG,1,,"Nevin Yanıt Atletizm Pisti, Mersin (TUR)",02 MAY 2021,1185
22,8:16.99,,John GAY,07 NOV 1996,CAN,6h1,,"National Stadium, Tokyo (JPN)",30 JUL 2021,1180
23,8:17.31,,Benard KETER,25 MAY 1992,USA,6h2,,"National Stadium, Tokyo (JPN)",30 JUL 2021,1179
24,8:17.44,,Topi RAITANEN,07 FEB 1996,FIN,8,,"National Stadium, Tokyo (JPN)",02 AUG 2021,1178
25,8:17.59,,Daniel ARCE,22 APR 1992,ESP,1,,Castellón (ESP),29 JUN 2021,1177
26,8:17.74,,Isaac UPDIKE,21 MAR 1992,USA,1,,"Hayward Field, Eugene, OR (USA)",24 APR 2021,1177
27,8:18.12,,Avinash Mukund SABLE,13 SEP 1994,IND,7h2,,"National Stadium, Tokyo (JPN)",30 JUL 2021,1175
28,8:18.31,,Vidar JOHANSSON,08 OCT 1996,SWE,2,,Castellón (ESP),29 JUN 2021,1174
29,8:18.43,,Simon Kiprop KOECH,10 JUN 2003,KEN,1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",03 JUL 2021,1174
30,8:18.49,,Mason FERLIC,05 AUG 1993,USA,2,,"Hayward Field, Eugene, OR (USA)",24 APR 2021,1173
31,8:18.67,,Alexis PHELUT,03 MAR 1998,FRA,1f1,,"Putbosstadion, Oordegem (BEL)",29 MAY 2021,1173
32,8:19.60,,Edward TRIPPAS,22 SEP 1998,AUS,3,,Castellón (ESP),29 JUN 2021,1168
33,8:19.79,,Louis GILAVERT,01 JAN 1998,FRA,9,,"Stadio Luigi Ridolfi, Firenze (ITA)",10 JUN 2021,1167
34,8:19.96,,Kosei YAMAGUCHI,19 AUG 1991,JPN,2,,"Yanmar Stadium Nagai, Osaka (JPN)",26 JUN 2021,1167
35,8:20.12,,Phil NORMAN,20 OCT 1989,GBR,2,,"Mestský Stadion, Ostrava (CZE)",19 MAY 2021,1166
36,8:20.26,,Amos SEREM,28 AUG 2002,KEN,2,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",03 JUL 2021,1165
37,8:20.27,,Samuel FIREWU,03 MAY 2004,ETH,1,,"Olympiastadion, Stockholm (SWE)",04 JUL 2021,1165
38,8:20.42,,Ole HESSELBJERG,23 APR 1990,DEN,2,,"Paavo Nurmen Stadion, Turku (FIN)",08 JUN 2021,1165
39,8:20.55,,Emil BLOMBERG,09 APR 1992,SWE,2f1,,"Putbosstadion, Oordegem (BEL)",29 MAY 2021,1164
40,8:20.70,,Ryoma AOKI,16 JUN 1997,JPN,3,,"Yanmar Stadium Nagai, Osaka (JPN)",26 JUN 2021,1163
41,8:20.77,,Sean MCGORTY,08 MAR 1995,USA,1,,"Hilmer Lodge Stadium, Walnut, CA (USA)",09 MAY 2021,1163
42,8:20.94,,Obsa ALI,17 FEB 1996,USA,1,,"Icahn Stadium, New York, NY (USA)",09 JUL 2021,1162
43,8:20.95,,Ben BUCKINGHAM,08 NOV 1991,AUS,7h3,,"National Stadium, Tokyo (JPN)",30 JUL 2021,1162
44,8:20.96,,Daniel MICHALSKI,10 SEP 1995,USA,2,,"Cougar Athletic Stadium, Azusa, CA (USA)",25 JUL 2021,1162
45,8:21.04,,Konstantin PLOKHOTNIKOV,24 MAR 1997,RUS,1,,"Olympic Stadium, Cheboksary (RUS)",24 JUN 2021,1162
46,8:21.10,,Philemon Kiplagat RUTO,20 SEP 2001,KEN,2,,"National Stadium, Tokyo (JPN)",09 MAY 2021,1162
47,8:21.15,,Hailemariyam AMARE,22 FEB 1997,ETH,3,,"FBK Stadium, Hengelo (NED)",08 JUN 2021,1161
48,8:21.42,,Wilberforce Chemiat KONES,19 SEP 1993,KEN,3,,"Estadio Iberoamericano, Huelva (ESP)",03 JUN 2021,1160
49,8:21.50,,Simon SUNDSTRÖM,04 FEB 1998,SWE,4,,"Estadio Iberoamericano, Huelva (ESP)",03 JUN 2021,1160
50,8:21.72,,Sebastián MARTOS,20 JUN 1989,ESP,5,,"Estadio Iberoamericano, Huelva (ESP)",03 JUN 2021,1159
51,8:22.13,,Matthew CLARKE,29 APR 1995,AUS,1,,"Performance Centre, Gold Coast (AUS)",25 JUN 2021,1157
52,8:22.17,,Mohamed ISMAIL,01 JAN 1997,DJI,2,,"Parc des Sports C. Ehrmann, Nice (FRA)",12 JUN 2021,1157
53,8:22.22,,Alec BASTEN,26 FEB 1998,USA,4h1,,"Hayward Field, Eugene, OR (USA)",21 JUN 2021,1157
54,8:23.07,,Mohamed Amin JHINAOUI,02 APR 1997,TUN,4f1,,"Putbosstadion, Oordegem (BEL)",29 MAY 2021,1153
55,8:23.22,,Zak SEDDON,28 JUN 1994,GBR,2,,"Olympiastadion, Stockholm (SWE)",04 JUL 2021,1152
56,8:23.28,,Karl BEBENDORF,07 MAY 1996,GER,1,,"Eintracht-Stadion, Braunschweig (GER)",06 JUN 2021,1152
57,8:23.65,,Albert CHEMUTAI,01 JUN 1995,UGA,2,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",30 JUN 2021,1150
58,8:23.93,,Ryohei SAKAGUCHI,05 APR 1997,JPN,4,,"National Stadium, Tokyo (JPN)",09 MAY 2021,1149
59,8:24.05,,Travis MAHONEY,25 JUL 1990,USA,5h1,,"Hayward Field, Eugene, OR (USA)",21 JUN 2021,1148
60,8:24.14,,Donald CABRAL,12 DEC 1989,USA,6h1,,"Hayward Field, Eugene, OR (USA)",21 JUN 2021,1148
61,8:24.16,,Amos KIRUI,09 FEB 1998,KEN,1,,"Nyayo National Stadium, Nairobi (KEN)",29 MAY 2021,1148
62,8:24.39,,Brian BARRAZA,16 MAY 1995,USA,5f1,,"Griswold Stadium, Portland, OR (USA)",28 MAY 2021,1147
63,8:24.40,,Jean-Simon DESGAGNÉS,26 JUL 1998,CAN,6f1,,"Griswold Stadium, Portland, OR (USA)",28 MAY 2021,1147
64,8:24.77,,Barnabas KIPYEGO,12 JUN 1995,KEN,6,,"Estadio Iberoamericano, Huelva (ESP)",03 JUN 2021,1145
65,8:24.83,,Mark PEARCE,19 JAN 1996,GBR,1,,"Sportcity Regional Arena, Manchester (GBR)",27 JUN 2021,1145
66,8:25.27,,Frederik RUPPERT,19 FEB 1997,GER,2,,"Eintracht-Stadion, Braunschweig (GER)",06 JUN 2021,1143
67,8:25.32,,Yohanes CHIAPPINELLI,18 AUG 1997,ITA,2,,"Stadio Quercia, Rovereto (ITA)",27 JUN 2021,1143
