Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,7:55.51,,Saif Saaeed SHAHEEN,15 OCT 1982,QAT,1,,"Boudewijnstadion, Bruxelles (BEL)",26 AUG 2005,1279
2,7:56.37,,Paul Kipsiele KOECH,10 NOV 1981,KEN,2,,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1275
3,8:04.22,,Brimin Kiprop KIPRUTO,31 JUL 1985,KEN,3,,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1238
4,8:04.92,,Brahim BOULAMI,20 APR 1972,MAR,4,,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1235
5,8:04.95,,Simon VROEMEN,11 MAY 1969,NED,2,,"Boudewijnstadion, Bruxelles (BEL)",26 AUG 2005,1235
6,8:08.15,,Kipkurui MISOI,23 OCT 1978,KEN,1,,Heusden-Zolder (BEL),23 JUL 2005,1220
7,8:09.04,,Ezekiel KEMBOI,25 MAY 1982,KEN,2,,"Stade Louis II, Monaco (MON)",09 SEP 2005,1216
8,8:09.09,,David Biwott CHEMWENO,18 DEC 1981,KEN,2,,Heusden-Zolder (BEL),23 JUL 2005,1216
9,8:09.32,,Wilson Boit KIPKETER,06 OCT 1973,KEN,2,,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1215
10,8:09.43,,Wesley KIPROTICH,01 AUG 1979,KEN,4,,"Stade Louis II, Monaco (MON)",09 SEP 2005,1214
11,8:09.58,,Bouabdellah TAHRI,20 DEC 1978,FRA,5,,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1214
12,8:10.66,,Michael KIPYEGO,02 OCT 1983,KEN,6,,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1209
13,8:10.97,,Richard Kipkemboi MATEELONG,14 OCT 1983,KEN,6,,"Boudewijnstadion, Bruxelles (BEL)",26 AUG 2005,1207
14,8:11.67,,Jamal Bilal SALEM,12 SEP 1978,QAT,3,,"FBK Stadium, Hengelo (NED)",29 MAY 2005,1204
15,8:11.75,,Musa Amer OBAID,18 APR 1985,QAT,7,,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1204
16,8:11.98,,Linus Kipwambok CHUMBA,09 FEB 1980,KEN,8,,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1203
17,8:12.26,,Günther WEIDLINGER,05 APR 1978,AUT,4,,"Stade de France, Paris-St-Denis (FRA)",01 JUL 2005,1202
18,8:12.57,,Reuben KOSGEI,12 AUG 1979,KEN,1,,"AC Gianni Brera, Milano (ITA)",01 JUN 2005,1200
19,8:12.65,,Daniel LINCOLN,22 OCT 1980,USA,10,,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1200
20,8:13.74,,Martin PRÖLL,21 MAR 1981,AUT,3,,Heusden-Zolder (BEL),23 JUL 2005,1195
21,8:14.05,,Antonio David JIMÉNEZ,18 FEB 1977,ESP,6,,Sevilla (ESP),04 JUN 2005,1193
22,8:14.68,,César PÉREZ,04 JUL 1975,ESP,5,,"Stade de France, Paris-St-Denis (FRA)",01 JUL 2005,1191
23,8:15.29,,Julius NYAMU,01 DEC 1977,KEN,6,,"Stade de France, Paris-St-Denis (FRA)",01 JUL 2005,1188
24,8:15.51,,Mustafa MOHAMED,01 MAR 1979,SWE,7,,"Stade de France, Paris-St-Denis (FRA)",01 JUL 2005,1187
25,8:16.11,,Eliseo MARTÍN,05 NOV 1973,ESP,9,,Sevilla (ESP),04 JUN 2005,1184
26,8:16.26,,Tareq Mubarak TAHER,01 DEC 1986,BRN,6,,Heusden-Zolder (BEL),23 JUL 2005,1183
27,8:16.69,,Ronald Kipchumba RUTTO,08 OCT 1987,KEN,4,,"FBK Stadium, Hengelo (NED)",29 MAY 2005,1181
28,8:17.11,,Krijn VAN KOOLWIJK,30 AUG 1981,BEL,9,,Heusden-Zolder (BEL),23 JUL 2005,1180
29,8:17.32,,Vincent LE DAUPHIN,28 JUN 1976,FRA,5,,"FBK Stadium, Hengelo (NED)",29 MAY 2005,1179
30,8:17.47,,Luis Miguel MARTÍN,11 JAN 1972,ESP,5h1,,"Olympiastadion, Helsinki (FIN)",07 AUG 2005,1178
31,8:17.49,,Jakub CZAJA,12 SEP 1980,POL,8,,"Stade de France, Paris-St-Denis (FRA)",01 JUL 2005,1178
32,8:17.87,,Radosław POPŁAWSKI,16 JAN 1983,POL,1,,Bydgoszcz (POL),05 JUN 2005,1176
32,8:17.87,,Steve SLATTERY,14 AUG 1980,USA,10,,Heusden-Zolder (BEL),23 JUL 2005,1176
34,8:18.18,,Gaël PENCRÉACH,05 AUG 1977,FRA,1,,Strasbourg (FRA),23 JUN 2005,1175
35,8:19.46,,Anthony FAMIGLIETTI,08 NOV 1978,USA,2,,Rieti (ITA),28 AUG 2005,1169
36,8:19.56,,Brian OLINGER,02 JUN 1983,USA,11,,Heusden-Zolder (BEL),23 JUL 2005,1169
37,8:19.68,,Andrey OLSHANSKIY,24 JAN 1978,RUS,3,,Bydgoszcz (POL),05 JUN 2005,1168
38,8:20.14,,Matthew KERR,03 MAY 1976,CAN,12,,Heusden-Zolder (BEL),23 JUL 2005,1166
39,8:20.31,,Pieter DESMET,07 JUN 1983,BEL,13,,Heusden-Zolder (BEL),23 JUL 2005,1165
40,8:20.40,,Ruben RAMOLEFI,17 JUL 1978,RSA,12,,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1165
41,8:21.04,,José Luis BLANCO,03 JUN 1975,ESP,3h3,,"Olympiastadion, Helsinki (FIN)",07 AUG 2005,1162
42,8:21.38,,Hamid EZZINE,05 OCT 1983,MAR,1,,Rabat (MAR),18 JUN 2005,1160
43,8:22.00,,Halil AKKAŞ,01 JUL 1983,TUR,9,,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1158
44,8:22.37,,Filmon GHIRMAI,25 JAN 1979,GER,4,,"Stadio Luigi Ridolfi, Firenze (ITA)",17 JUN 2005,1156
45,8:22.54,,Yoshitaka IWAMIZU,20 JUN 1979,JPN,14,,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1155
46,8:22.82,,Vincent ZOUAOUI DANDRIEUX,12 OCT 1980,FRA,2,,Strasbourg (FRA),23 JUN 2005,1154
47,8:22.91,,Boštjan BUČ,13 APR 1980,SLO,1,,Maribor (SLO),24 JUL 2005,1154
48,8:23.30,,Caleb NGETICH,20 JAN 1981,KEN,10,,"Stade de France, Paris-St-Denis (FRA)",01 JUL 2005,1152
49,8:23.93,,Peter NOWILL,15 JUN 1979,AUS,4,,Osaka (JPN),07 MAY 2005,1149
50,8:24.16,,Robert GARY,05 APR 1973,USA,15,,Heusden-Zolder (BEL),23 JUL 2005,1148
51,8:25.14,,Jukka KESKISALO,27 MAR 1981,FIN,7h2,,"Olympiastadion, Helsinki (FIN)",07 AUG 2005,1144
