Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,8:00.12,,Conseslus KIPRUTO,08 DEC 1994,KEN,1,,"Alexander Stadium, Birmingham (GBR)",05 JUN 2016,1257
2,8:03.90,,Jairus Kipchoge BIRECH,14 DEC 1992,KEN,2,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",22 MAY 2016,1240
3,8:04.01,,Evan JAGER,08 MAR 1989,USA,2,,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016,1239
4,8:08.15,,Mahiedine MEKHISSI,15 MAR 1985,FRA,3,,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016,1220
5,8:08.32,,Paul Kipsiele KOECH,10 NOV 1981,KEN,2,,"Stade Louis II, Monaco (MON)",15 JUL 2016,1220
6,8:09.13,,Barnabas KIPYEGO,12 JUN 1995,KEN,3,,"Stade Louis II, Monaco (MON)",15 JUL 2016,1216
7,8:09.25,,Abraham KIBIWOT,06 APR 1996,KEN,3,,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2016,1215
8,8:09.62,,John KOECH,23 AUG 1995,BRN,4,,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2016,1214
9,8:10.07,,Nicholas Kiptonui BETT,20 DEC 1996,KEN,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",25 AUG 2016,1212
10,8:10.65,,Clement Kimutai KEMBOI,10 FEB 1992,KEN,6,,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2016,1209
11,8:13.68,,Hillary BOR,22 NOV 1989,USA,6,,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016,1195
12,8:14.19,,Ezekiel KEMBOI,25 MAY 1982,KEN,1,,"National Stadium, Beijing (CHN)",18 MAY 2016,1193
13,8:14.35,,Soufiane EL BAKKALI,07 JAN 1996,MAR,4,,"Estádio Olímpico, Rio de Janeiro (BRA)",17 AUG 2016,1192
14,8:15.10,,Hillary Kipsang YEGO,02 APR 1992,KEN,2,,Heusden-Zolder (BEL),16 JUL 2016,1189
15,8:16.11,,Andrew BAYER,03 FEB 1990,USA,7,,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016,1184
16,8:16.14,,Tesfaye GIRMA,24 JAN 1997,ETH,3,,Heusden-Zolder (BEL),16 JUL 2016,1184
17,8:16.21,,Yoann KOWAL,28 MAY 1987,FRA,8,,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016,1184
18,8:16.84,,Abel Kiprop MUTAI,02 OCT 1988,KEN,8,,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2016,1181
19,8:17.75,,Tafese SOBOKA,29 SEP 1993,ETH,2f1,,Huelva (ESP),03 JUN 2016,1177
20,8:17.79,,Lawrence Kemboi KIPSANG,15 JUN 1993,KEN,9,,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2016,1176
21,8:17.84,,Chala BEYO,18 JAN 1996,ETH,3f1,,Huelva (ESP),03 JUN 2016,1176
22,8:18.28,,Alex KIBET,20 OCT 1994,KEN,4,,Heusden-Zolder (BEL),16 JUL 2016,1174
23,8:18.52,,Stanley Kipkoech KEBENEI,06 NOV 1989,USA,5,,"Stadio Olimpico, Roma (ITA)",02 JUN 2016,1173
24,8:18.58,,Daniel HULING,16 JUL 1983,USA,2f3,,"Los Angeles, CA (USA)",20 MAY 2016,1173
25,8:18.79,,Brimin Kiprop KIPRUTO,31 JUL 1985,KEN,6,,"Estádio Olímpico, Rio de Janeiro (BRA)",17 AUG 2016,1172
26,8:19.12,,Cory LESLIE,24 OCT 1989,USA,3f3,,"Los Angeles, CA (USA)",20 MAY 2016,1170
27,8:19.31,,Hamid EZZINE,05 OCT 1983,MAR,6,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",22 MAY 2016,1170
28,8:19.33,,Sebastián MARTOS,20 JUN 1989,ESP,8,,"Stade Louis II, Monaco (MON)",15 JUL 2016,1170
29,8:19.91,,Krystian ZALEWSKI,11 APR 1989,POL,7,,"Stadio Olimpico, Roma (ITA)",02 JUN 2016,1167
30,8:20.26,,Bilal TABTI,07 JUN 1993,ALG,8,,"Stadio Olimpico, Roma (ITA)",02 JUN 2016,1165
31,8:20.35,,Benjamin KIPLAGAT,04 MAR 1989,UGA,10,,"Stade Louis II, Monaco (MON)",15 JUL 2016,1165
32,8:20.43,,Amos KIRUI,09 FEB 1998,KEN,1,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",24 JUL 2016,1165
33,8:20.53,,Hicham SIGUENI,30 JAN 1993,MAR,5,,Heusden-Zolder (BEL),16 JUL 2016,1164
34,8:20.63,,Matthew HUGHES,03 AUG 1989,CAN,4f3,,"Los Angeles, CA (USA)",20 MAY 2016,1164
35,8:20.72,,Amor BEN YAHIA,01 JUL 1985,TUN,2,,Sotteville-lès-Rouen (FRA),18 JUL 2016,1163
35,8:20.72,,Donald CABRAL,12 DEC 1989,USA,1,,"Eugene, OR (USA)",29 JUL 2016,1163
