Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,14:39.29,,Berhane ADERE,23 NOV 1973,ETH,1,,"Schleyer Halle, Stuttgart (GER) (i)",31 JAN 2004,1229
2,14:53.14,,Meseret DEFAR,19 NOV 1983,ETH,1,,"Boston, MA (USA) (i)",31 JAN 2004,1201
3,14:53.99,,Tirunesh DIBABA,01 OCT 1985,ETH,2,,"Boston, MA (USA) (i)",31 JAN 2004,1199
4,14:54.73,,Derartu TULU,21 MAR 1972,ETH,3,,"Boston, MA (USA) (i)",31 JAN 2004,1198
5,14:58.85,,Sentayehu EJIGU,28 JUN 1985,ETH,4,,"Boston, MA (USA) (i)",31 JAN 2004,1190
6,15:11.15,,Zahra OUAZIZ,20 DEC 1969,MAR,2,,"Schleyer Halle, Stuttgart (GER) (i)",31 JAN 2004,1166
7,15:14.18,,Kimberley SMITH,19 NOV 1981,NZL,1,,"Fayetteville, AR (USA) (i)",12 MAR 2004,1160
8,15:29.95,,Marie DAVENPORT-MCMAHON,24 JAN 1975,IRL,2,,"Boston, MA (USA) (i)",30 JAN 2004,1129
9,15:40.00,,Zakia Mrisho MOHAMED,19 FEB 1984,TAN,3,,"Schleyer Halle, Stuttgart (GER) (i)",31 JAN 2004,1110
10,15:40.03,,Dorcus INZIKURU,02 FEB 1982,UGA,4,,"Schleyer Halle, Stuttgart (GER) (i)",31 JAN 2004,1110
11,15:41.13,,Kathy BUTLER,22 OCT 1973,GBR,5,,"Boston, MA (USA) (i)",31 JAN 2004,1107
12,15:45.08,,Alicia CRAIG,14 JUN 1982,USA,2,,"Fayetteville, AR (USA) (i)",12 MAR 2004,1100
13,15:56.42,,Wioletta FRANKIEWICZ,09 JUN 1977,POL,5,,"Schleyer Halle, Stuttgart (GER) (i)",31 JAN 2004,1078
14,15:57.22,,Molly HUDDLE,31 AUG 1984,USA,1,,"Syracuse, NY (USA) (i)",21 FEB 2004,1077
15,15:57.90,,Sarah DUPRÉ-HEALY,29 MAR 1976,CAN,1,,"Allston, MA (USA) (i)",14 FEB 2004,1076
16,16:00.17,,Krisztina PAPP,17 DEC 1982,HUN,6,,"Schleyer Halle, Stuttgart (GER) (i)",31 JAN 2004,1071
17,16:00.62,,Vicky GILL,21 AUG 1980,GBR,4,,"Fayetteville, AR (USA) (i)",12 MAR 2004,1071
18,16:02.72,,Melissa GULLI,22 NOV 1979,USA,5,,"Fayetteville, AR (USA) (i)",12 MAR 2004,1067
19,16:06.05,,Kristin PRICE,25 NOV 1981,USA,6,,"Fayetteville, AR (USA) (i)",12 MAR 2004,1060
20,16:08.17,,Emily KROSHUS,02 FEB 1983,CAN,7,,"Fayetteville, AR (USA) (i)",12 MAR 2004,1056
21,16:09.45,,Jamie KRZYMINSKI,17 FEB 1982,USA,8,,"Fayetteville, AR (USA) (i)",12 MAR 2004,1054
22,16:13.80,,2007-12-31 LAURA,07 APR 1980,USA,9,,"Fayetteville, AR (USA) (i)",12 MAR 2004,1046
23,16:15.39,,Paige MILLER,05 JUL 1983,USA,3,,"Clemson, SC (USA) (i)",20 FEB 2004,1043
24,16:17.71,,Renee GUNNING,08 JAN 1982,USA,1,,"Gainesville, FL (USA) (i)",06 MAR 2004,1039
25,16:19.19,,Rachel EVJEN,25 DEC 1980,USA,2,,"Gainesville, FL (USA) (i)",06 MAR 2004,1036
