Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,14:49.12,,Laura MUIR,09 MAY 1993,GBR,1,,Glasgow (GBR) (i),04 JAN 2017,1209
2,15:01.64,,Molly HUDDLE,31 AUG 1984,USA,1,,"Boston, MA (USA) (i)",26 FEB 2017,1184
3,15:02.10,,Emily SISSON,12 OCT 1991,USA,2,,"Boston, MA (USA) (i)",26 FEB 2017,1183
4,15:17.31,,Karissa SCHWEIZER,04 MAY 1996,USA,1f1,,"Boston, MA (USA) (i)",02 DEC 2017,1153
5,15:19.03,,Ednah KURGAT,15 JUN 1991,USA,2f1,,"Boston, MA (USA) (i)",02 DEC 2017,1150
6,15:27.36,,Erin FINN,19 NOV 1994,USA,2,,"College Station, TX (USA) (i)",10 MAR 2017,1134
7,15:29.83,,Anna ROHRER,24 FEB 1997,USA,3,,"College Station, TX (USA) (i)",10 MAR 2017,1129
8,15:37.03,,Weini KELATI FREZGHI,01 DEC 1996,ERI,3f1,,"Boston, MA (USA) (i)",02 DEC 2017,1115
9,15:39.05,,Sharon LOKEDI,10 MAR 1994,KEN,4f1,,"Boston, MA (USA) (i)",02 DEC 2017,1111
10,15:41.69,,Allie BUCHALSKI,12 JAN 1995,USA,4,,"College Station, TX (USA) (i)",10 MAR 2017,1106
11,15:42.29,,Tess BARRETT,09 FEB 1996,USA,5,,"College Station, TX (USA) (i)",10 MAR 2017,1105
12,15:43.95,,Jordann MCDERMITT,23 APR 1996,USA,6,,"College Station, TX (USA) (i)",10 MAR 2017,1102
13,15:44.45,,Grayson MURPHY,28 JUN 1995,USA,5f1,,"Boston, MA (USA) (i)",02 DEC 2017,1101
14,15:46.13,,Brianna ILARDA,19 FEB 1996,AUS,7,,"College Station, TX (USA) (i)",10 MAR 2017,1098
15,15:46.85,,Alice WRIGHT,03 NOV 1994,GBR,6f1,,"Boston, MA (USA) (i)",02 DEC 2017,1097
16,15:48.10,,Katherine RECEVEUR,19 JAN 1996,USA,1,,"Bloomington, IN (USA) (i)",08 DEC 2017,1094
17,15:49.16,,Pippa WOOLVEN,26 JUL 1993,GBR,1f1,,"Boston, MA (USA) (i)",27 JAN 2017,1092
18,15:49.26,,Anne-Marie BLANEY,09 SEP 1993,USA,8,,"College Station, TX (USA) (i)",10 MAR 2017,1092
19,15:49.29,,Elly HENES,13 OCT 1998,USA,7f1,,"Boston, MA (USA) (i)",02 DEC 2017,1092
20,15:50.25,,Lauren LAROCCO,15 FEB 1996,USA,8f1,,"Boston, MA (USA) (i)",02 DEC 2017,1090
