Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,14:32.93,,Tirunesh DIBABA,01 OCT 1985,ETH,1,,"Boston, MA (USA) (i)",29 JAN 2005,1242
2,14:50.46,,Kimberley SMITH,19 NOV 1981,NZL,1,,"Boston, MA (USA) (i)",11 FEB 2005,1206
3,14:58.25,,Ejegayehu DIBABA,21 MAR 1982,ETH,2,,"Boston, MA (USA) (i)",29 JAN 2005,1191
4,15:35.25,,Lauren FLESHMAN,26 SEP 1981,USA,3,,"Boston, MA (USA) (i)",29 JAN 2005,1119
5,15:42.81,,Lindsey SCHERF,18 SEP 1986,USA,1,,"Cambridge, MA (USA) (i)",03 DEC 2005,1104
6,15:48.10,,Maureen MCCANDLESS,24 AUG 1983,USA,1,,"University Park, PA (USA) (i)",28 JAN 2005,1094
7,15:50.20,,Ida NILSSON,08 FEB 1981,SWE,1,,"Fayetteville, AR (USA) (i)",11 MAR 2005,1090
8,15:52.17,,Caroline BIERBAUM-LEFRAK,07 NOV 1983,USA,1,,"New York, NY (USA) (i)",04 FEB 2005,1086
9,15:56.97,,Annie BERSAGEL,30 MAR 1983,USA,3,,"Fayetteville, AR (USA) (i)",11 MAR 2005,1077
10,15:59.38,,Renee BAILLIE,25 DEC 1981,USA,1,,"Lincoln, NE (USA) (i)",25 FEB 2005,1073
11,16:00.07,,Alicia CRAIG,14 JUN 1982,USA,4,,"Fayetteville, AR (USA) (i)",11 MAR 2005,1072
12,16:06.37,,Renee GUNNING,08 JAN 1982,USA,2,,"New York, NY (USA) (i)",04 FEB 2005,1060
13,16:06.62,,Amy CRAGG,21 JAN 1984,USA,5,,"Fayetteville, AR (USA) (i)",11 MAR 2005,1059
14,16:10.85,,2007-12-31 LAURA,07 APR 1980,USA,8,,"Fayetteville, AR (USA) (i)",11 MAR 2005,1051
15,16:12.17,,Molly HUDDLE,31 AUG 1984,USA,2,,"Syracuse, NY (USA) (i)",19 FEB 2005,1049
16,16:18.95,,Kate BOYLES,18 JAN 1983,USA,1,,"Boston, MA (USA) (i)",28 JAN 2005,1036
17,16:19.59,,Janet KOGO,,USA,1,,"Boston, MA (USA) (i)",12 MAR 2005,1035
