Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,14:30.79,,Konstanze KLOSTERHALFEN,18 FEB 1997,GER,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 FEB 2020,1246
2,14:48.51,,Vanessa FRASER,27 JUL 1995,USA,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 FEB 2020,1210
3,14:51.91,,Emily INFELD,21 MAR 1990,USA,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 FEB 2020,1204
4,14:58.67,,Jenny SIMPSON,23 AUG 1986,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 FEB 2020,1190
5,15:02.91,,Courtney FRERICHS,18 JAN 1993,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 FEB 2020,1182
6,15:07.44,,Emily LIPARI,19 NOV 1992,USA,1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",01 FEB 2020,1173
7,15:10.98,,Gwen JORGENSEN,25 APR 1986,USA,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 FEB 2020,1166
8,15:12.33,,Jessica TONN,15 FEB 1992,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 FEB 2020,1163
9,15:13.04,,Sharon LOKEDI,10 MAR 1994,KEN,2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",01 FEB 2020,1162
10,15:14.76,,Erika KEMP,26 JAN 1995,USA,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 FEB 2020,1158
11,15:17.11,,Danielle JONES,21 AUG 1996,USA,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 FEB 2020,1154
12,15:19.71,,Allie OSTRANDER,24 DEC 1996,USA,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 FEB 2020,1149
13,15:20.73,,Marielle HALL,28 JAN 1992,USA,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 FEB 2020,1147
14,15:20.84,,Dominique SCOTT,24 JUN 1992,RSA,3,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",01 FEB 2020,1147
15,15:25.11,,Nicole HUTCHINSON,17 JUN 1997,CAN,4,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",01 FEB 2020,1138
16,15:25.59,,Heidi SEE,09 AUG 1989,AUS,10f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 FEB 2020,1137
17,15:26.22,,Makena MORLEY,21 NOV 1996,USA,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 FEB 2020,1136
18,15:32.72,,Amy-Eloise NEALE,05 AUG 1995,GBR,11f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 FEB 2020,1124
19,15:40.45,,Elly HENES,13 OCT 1998,USA,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 FEB 2020,1109
20,15:43.05,,Paige STONER,31 JAN 1996,USA,12f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 FEB 2020,1104
21,15:44.13,,Victoria GERLACH,02 JUN 1994,USA,2f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 FEB 2020,1102
22,15:44.99,,Katrina COOGAN,15 NOV 1993,USA,5,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",01 FEB 2020,1100
23,15:45.59,,Yekaterina ISHOVA,17 JAN 1989,RUS,1,,"LFK CSKA, Moskva (RUS) (i)",27 FEB 2020,1099
24,15:47.48,,Aisling CUFFE,12 SEP 1993,USA,3f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 FEB 2020,1095
25,15:48.32,,Natalya KOLOSKOVA,19 JUL 1988,RUS,2,,"LFK CSKA, Moskva (RUS) (i)",27 FEB 2020,1094
26,15:48.34,,Katie IZZO,22 DEC 1996,USA,1,,"Gilliam Indoor Track, College Station, TX (USA) (i)",28 FEB 2020,1094
27,15:53.97,,Mercy CHELANGAT,11 JUL 1997,KEN,2,,"Gilliam Indoor Track, College Station, TX (USA) (i)",28 FEB 2020,1083
28,15:56.02,,Sarah PAGANO,23 JUL 1991,USA,6,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",01 FEB 2020,1079
29,15:58.20,,Abby MCNULTY,25 FEB 1996,USA,4f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 FEB 2020,1075
30,15:58.46,,Natalya LEONTYEVA,05 JUL 1987,RUS,3,,"LFK CSKA, Moskva (RUS) (i)",27 FEB 2020,1075
31,15:59.09,,Devin CLARK,10 JUN 1997,USA,3,,"Gilliam Indoor Track, College Station, TX (USA) (i)",28 FEB 2020,1073
32,16:01.26,,Josette NORRIS,15 DEC 1995,USA,5f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 FEB 2020,1069
33,16:02.10,,Sofiya KAMENYEVA,03 OCT 1995,RUS,4,,"LFK CSKA, Moskva (RUS) (i)",27 FEB 2020,1068
34,16:03.09,,Emeline DELANIS,22 MAR 1997,FRA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 FEB 2020,1066
35,16:05.36,,Parley HANNAN,,USA,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 FEB 2020,1062
36,16:05.56,,Elizabeth FUNDERBURK,,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 FEB 2020,1061
37,16:05.72,,Victoria COATES,20 AUG 1991,CAN,7f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 FEB 2020,1061
38,16:07.06,,Jessica DROP,07 OCT 1998,USA,4,,"Gilliam Indoor Track, College Station, TX (USA) (i)",28 FEB 2020,1058
39,16:07.63,,Aubrey ROBERTS,30 JAN 1998,USA,8f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 FEB 2020,1057
40,16:07.65,,Alia GRAY,12 NOV 1988,USA,6f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 FEB 2020,1057
41,16:08.60,,Hannah MILLER,21 NOV 1997,NZL,1f2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",28 FEB 2020,1056
42,16:09.56,,Katelynne HART,02 NOV 2001,USA,9f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 FEB 2020,1054
43,16:11.46,,Joyce KIMELI,,KEN,5,,"Gilliam Indoor Track, College Station, TX (USA) (i)",28 FEB 2020,1050
44,16:11.80,,Ashley DRISCOLL,,USA,6,,"Gilliam Indoor Track, College Station, TX (USA) (i)",28 FEB 2020,1050
45,16:12.11,,Eglė MORENAITĖ,14 NOV 1997,LTU,7f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 FEB 2020,1049
46,16:16.25,,Samantha DROP,07 OCT 1998,USA,7,,"Gilliam Indoor Track, College Station, TX (USA) (i)",28 FEB 2020,1041
47,16:17.89,,Emily KEARNEY,10 NOV 1995,GBR,1,,"JDL Fast Track, Winston Salem, NC (USA) (i)",20 FEB 2020,1038
48,16:18.08,,Winny KOSKEI,,KEN,2f2,,"CrossPlex Athletic Facility, Birmingham, AL (USA) (i)",28 FEB 2020,1038
49,16:19.16,,Yuliya VASILYEVA,23 MAR 1987,RUS,5,,"LFK CSKA, Moskva (RUS) (i)",27 FEB 2020,1036
50,16:19.17,,Erin FINN,19 NOV 1994,USA,1,,"Michigan University U-M Indoor Track, Ann Arbor, MI (USA) (i)",31 JAN 2020,1036
51,16:19.58,,Abby GRAY,08 MAY 1998,USA,8,,"Gilliam Indoor Track, College Station, TX (USA) (i)",28 FEB 2020,1035
52,16:19.84,,Leah HANLE,15 OCT 1997,GER,9,,"Gilliam Indoor Track, College Station, TX (USA) (i)",28 FEB 2020,1035
53,16:20.20,,Gabrielle ORIE,,USA,1,,"Cornell-Barton Hall, Ithaca, NY (USA) (i)",01 MAR 2020,1034
54,16:20.52,,Suzanne DANNHEIM,,USA,1f2,,"Mackal Fieldhouse, Kingston, RI (USA) (i)",29 FEB 2020,1033
55,16:21.62,,Lauren BAILEY,,USA,1f2,,"ARC-Indianapolis, Indianapolis, IN (USA) (i)",29 FEB 2020,1031
56,16:23.59,,Maggie MONTOYA,02 MAY 1995,USA,8f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 FEB 2020,1028
57,16:26.13,,Emily BORCHERS,,USA,2f2,,"Mackal Fieldhouse, Kingston, RI (USA) (i)",29 FEB 2020,1023
58,16:28.53,,Lauren WHITE,,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",24 JAN 2020,1019
59,16:29.39,,Kelsie WARREN,,USA,2,,"Gilliam Indoor Track, College Station, TX (USA) (i)",07 FEB 2020,1017
60,16:29.53,,Ariana GARDIZY,12 MAR 2000,USA,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",14 FEB 2020,1017
61,16:29.83,,Alexandra HAYS,23 APR 1999,USA,2,,"Cornell-Barton Hall, Ithaca, NY (USA) (i)",01 MAR 2020,1016
