Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,15:28.11,Abbey COOPER,25 MAY 1992,USA,1,,"Fayetteville, AR (USA)",08 MAR 2013,1132
2,15:33.66,Betsy SAINA,30 JUN 1988,KEN,2,,"Fayetteville, AR (USA)",08 MAR 2013,1122
3,15:36.08,Olga KUNGINA,17 DEC 1986,RUS,1,,Moskva (RUS),14 FEB 2013,1117
4,15:36.65,Yelena NAGOVITSYNA,07 DEC 1982,RUS,2,,Moskva (RUS),14 FEB 2013,1116
5,15:38.00,Aliphine Chepkerker TULIAMUK,05 APR 1989,KEN,3,,"Fayetteville, AR (USA)",08 MAR 2013,1113
6,15:38.98,Natalya GORCHAKOVA,17 APR 1983,RUS,3,,Moskva (RUS),14 FEB 2013,1112
7,15:40.30,Jordan HASAY,21 SEP 1991,USA,4,,"Fayetteville, AR (USA)",08 MAR 2013,1109
8,15:41.42,Yelena ZADOROZHNAYA,03 DEC 1977,RUS,4,,Moskva (RUS),14 FEB 2013,1107
9,15:41.56,Natalya LEONTYEVA,05 JUL 1987,RUS,5,,Moskva (RUS),14 FEB 2013,1107
10,15:42.27,Katie MATTHEWS,19 NOV 1990,USA,5,,"Fayetteville, AR (USA)",08 MAR 2013,1105
11,15:44.40,Emily SISSON,12 OCT 1991,USA,1f1,,"Boston, MA (USA)",25 JAN 2013,1101
12,15:46.13,Katie MATTHEWS,19 NOV 1990,USA,2f1,,"Boston, MA (USA)",25 JAN 2013,1098
13,15:47.02,Abbey COOPER,25 MAY 1992,USA,1,,"Cambridge, MA (USA)",23 FEB 2013,1096
14,15:47.13,Alexi PAPPAS,28 MAR 1990,USA,6,,"Fayetteville, AR (USA)",08 MAR 2013,1096
15,15:47.50,Lyudmila LEBEDEVA,23 MAY 1990,RUS,,,Kazan (RUS),21 DEC 2012,1095
16,15:49.45,Juliet BOTTORFF,29 JAN 1991,USA,7,,"Fayetteville, AR (USA)",08 MAR 2013,1092
17,15:50.04,Sara SUTHERLAND,31 JAN 1992,USA,8,,"Fayetteville, AR (USA)",08 MAR 2013,1090
18,15:51.99,Tatyana SHUTOVA,06 FEB 1987,RUS,6,,Moskva (RUS),14 FEB 2013,1087
19,15:52.95,Lyudmila LEBEDEVA,23 MAY 1990,RUS,7,,Moskva (RUS),14 FEB 2013,1085
20,15:53.76,Rachel SCHILKOWSKY,15 APR 1992,USA,3f1,,"Boston, MA (USA)",25 JAN 2013,1083
21,15:53.88,Natalya KOLOSKOVA,19 JUL 1988,RUS,8,,Moskva (RUS),14 FEB 2013,1083
22,15:54.73,Emily SISSON,12 OCT 1991,USA,9,,"Fayetteville, AR (USA)",08 MAR 2013,1082
23,15:55.60,Corey CONNER,07 MAY 1990,USA,1,,"New York, NY (USA)",01 MAR 2013,1080
24,15:56.35,Jennifer BERGMAN,01 NOV 1991,USA,10,,"Fayetteville, AR (USA)",08 MAR 2013,1079
25,15:56.63,Rachel SCHILKOWSKY,15 APR 1992,USA,2,,"Cambridge, MA (USA)",23 FEB 2013,1078
26,15:58.47,Lindsay CREVOISERAT,09 FEB 1993,USA,4f1,,"Boston, MA (USA)",25 JAN 2013,1075
27,15:59.00,Allison LASNICKI,02 SEP 1992,USA,2,,"New York, NY (USA)",01 MAR 2013,1074
28,15:59.60,Rachel SCHILKOWSKY,15 APR 1992,USA,11,,"Fayetteville, AR (USA)",08 MAR 2013,1072
29,16:01.51,Katie KELLNER,04 AUG 1991,USA,3,,"New York, NY (USA)",01 MAR 2013,1069
30,16:01.59,Gulshat FAZLITDINOVA,28 AUG 1992,RUS,9,,Moskva (RUS),14 FEB 2013,1069
31,16:01.87,Natalya PUCHKOVA,28 JAN 1987,RUS,10,,Moskva (RUS),14 FEB 2013,1068
32,16:02.44,Corey CONNER,07 MAY 1990,USA,12,,"Fayetteville, AR (USA)",08 MAR 2013,1067
33,16:03.20,Natalya SOLOVYOVA,04 JUN 1982,RUS,11,,Moskva (RUS),14 FEB 2013,1066
34,16:03.75,Shauna MCNIFF,19 OCT 1990,USA,4,,"New York, NY (USA)",01 MAR 2013,1065
35,16:04.90,Gina VALGOI,30 NOV 1990,USA,13,,"Fayetteville, AR (USA)",08 MAR 2013,1062
36,16:05.71,Emily STITES,02 JUN 1994,USA,5,,"New York, NY (USA)",01 MAR 2013,1061
