Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,14:24.37,,Meseret DEFAR,19 NOV 1983,ETH,1,,Stockholm (SWE) (i),18 FEB 2009,1259
2,14:33.65,,Tirunesh DIBABA,01 OCT 1985,ETH,1,,"Crystal Palace, London (GBR)",25 JUL 2009,1215
3,14:34.17,,Meselech MELKAMU,19 APR 1985,ETH,1,,Ostrava (CZE),17 JUN 2009,1214
4,14:34.36,,Linet Chepkwemoi MASAI,05 DEC 1989,KEN,2,,Ostrava (CZE),17 JUN 2009,1213
5,14:37.01,,Vivian Jepkemei CHERUIYOT,11 SEP 1983,KEN,2,,"Bislett Stadion, Oslo (NOR)",03 JUL 2009,1208
6,14:37.77,,Sylvia Jebiwot KIBET,28 MAR 1984,KEN,4,,"Bislett Stadion, Oslo (NOR)",03 JUL 2009,1207
7,14:38.44,,Wude AYALEW,04 JUL 1987,ETH,5,,"Bislett Stadion, Oslo (NOR)",03 JUL 2009,1205
8,14:39.89,,Kimberley SMITH,19 NOV 1981,NZL,1f1,,"New York, NY (USA) (i)",27 FEB 2009,1228
9,14:40.00,,Sentayehu EJIGU,28 JUN 1985,ETH,2,,"Crystal Palace, London (GBR)",25 JUL 2009,1202
10,14:40.14,,Florence KIPLAGAT,27 FEB 1987,KEN,6,,"Bislett Stadion, Oslo (NOR)",03 JUL 2009,1202
11,14:41.62,,Ines CHENONGE,01 FEB 1982,KEN,7,,"Bislett Stadion, Oslo (NOR)",03 JUL 2009,1199
12,14:42.06,,Ejegayehu DIBABA,21 MAR 1982,ETH,8,,"Bislett Stadion, Oslo (NOR)",03 JUL 2009,1198
12,14:42.06,,Mariya KONOVALOVA,14 AUG 1974,RUS,1,,Cheboksary (RUS),24 JUL 2009,1198
14,14:44.26,,Belaynesh FIKADU,28 MAR 1987,ETH,9,,"Bislett Stadion, Oslo (NOR)",03 JUL 2009,1194
15,14:47.62,,Shalane FLANAGAN,08 JUL 1981,USA,2f1,,"Boston, MA (USA) (i)",07 FEB 2009,1212
16,14:50.08,,Pauline Chemning KORIKWIANG,01 MAR 1988,KEN,11,,"Bislett Stadion, Oslo (NOR)",03 JUL 2009,1182
17,14:50.77,,Grace MOMANYI,13 FEB 1981,KEN,12,,"Bislett Stadion, Oslo (NOR)",03 JUL 2009,1181
18,14:55.52,,Genzebe DIBABA,08 FEB 1991,ETH,13,,"Bislett Stadion, Oslo (NOR)",03 JUL 2009,1172
