Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,9.83,+1.3,Zharnel HUGHES,13 JUL 1995,GBR,1,,"Icahn Stadium, New York, NY (USA)",24 JUN 2023,1266
1,9.83,0.0,Noah LYLES,18 JUL 1997,USA,1,,"Nemzeti Atlétikai Központ, Budapest (HUN)",20 AUG 2023,1266
1,9.83,+0.4,Christian COLEMAN,06 MAR 1996,USA,1,,"Egret Stadium, Xiamen (CHN)",02 SEP 2023,1266
4,9.84,-0.5,Ferdinand OMANYALA,02 JAN 1996,KEN,1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",13 MAY 2023,1265
5,9.85,+0.4,Kishane THOMPSON,17 JUL 2001,JAM,2,,"Egret Stadium, Xiamen (CHN)",02 SEP 2023,1259
6,9.86,0.0,Oblique SEVILLE,16 MAR 2001,JAM,1h5,,"Nemzeti Atlétikai Központ, Budapest (HUN)",19 AUG 2023,1255
7,9.88,+1.5,Fred KERLEY,07 MAY 1995,USA,1h1,,"International Stadium, Yokohama (JPN)",21 MAY 2023,1248
7,9.88,0.0,Letsile TEBOGO,07 JUN 2003,BOT,2,,"Nemzeti Atlétikai Központ, Budapest (HUN)",20 AUG 2023,1248
9,9.89,+1.0,Ackeem BLAKE,21 JAN 2002,JAM,1,,"Drake Stadium, Los Angeles, CA (USA)",27 MAY 2023,1245
9,9.89,+1.3,Pjai AUSTIN,19 SEP 2000,USA,1sf1,,"Mike A. Myers Stadium, Austin, TX (USA)",07 JUN 2023,1245
9,9.89,+1.8,Courtney LINDSEY,18 NOV 1998,USA,1,,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1245
9,9.89,+0.8,Issamade ASINGA,29 DEC 2004,SUR,1,,"COTP Stadium, São Paulo (BRA)",28 JUL 2023,1245
13,9.90,+1.8,Godson Oke OGHENEBRUME,27 MAY 2003,NGR,2,,"Mike A. Myers Stadium, Austin, TX (USA)",09 JUN 2023,1241
