Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,22.13,+1.0,Shelly-Ann FRASER-PRYCE,27 DEC 1986,JAM,1,,Kingston (JAM),23 JUN 2013,1224
2,22.24,-0.5,Murielle AHOURÉ,23 AUG 1987,CIV,1,,"Stade Louis II, Monaco (MON)",19 JUL 2013,1215
3,22.26,-0.5,Tiffany TOWNSEND,14 JUN 1989,USA,2,,"Stade Louis II, Monaco (MON)",19 JUL 2013,1213
4,22.30,0.0,Allyson FELIX,18 NOV 1985,USA,1sf2,,"Luzhniki Stadion, Moskva (RUS)",15 AUG 2013,1206
5,22.31,+1.3,Blessing OKAGBARE,09 OCT 1988,NGR,1,,"Walnut, CA (USA)",20 APR 2013,1205
6,22.32,+0.9,Anthonique STRACHAN,22 AUG 1993,BAH,1,,Nassau (BAH),22 JUN 2013,1204
7,22.35,+1.3,Kimberlyn DUNCAN,02 AUG 1991,USA,1,,"Columbia, SC (USA)",12 MAY 2013,1201
8,22.40,+1.5,LaShauntea MOORE,31 JUL 1983,USA,1h3,,"Drake Stadium, Des Moines, IA (USA)",22 JUN 2013,1196
9,22.41,+1.6,Shalonda SOLOMON,19 DEC 1985,USA,1,,Edmonton (CAN),29 JUN 2013,1195
10,22.45,+0.9,Shaunae MILLER,15 APR 1994,BAH,2,,Nassau (BAH),22 JUN 2013,1191
11,22.46,+1.5,Aurieyall SCOTT,18 MAY 1992,USA,2h3,,"Drake Stadium, Des Moines, IA (USA)",22 JUN 2013,1190
12,22.51,+1.4,Patricia HALL,16 OCT 1982,JAM,1,,São Paulo (BRA),19 MAY 2013,1184
13,22.53,-1.3,Veronica CAMPBELL-BROWN,15 MAY 1982,JAM,1,,"Icahn Stadium, New York, NY (USA)",25 MAY 2013,1189
14,22.55,+1.9,Octavious FREEMAN,20 APR 1992,USA,2f1,,"Greensboro, NC (USA)",25 MAY 2013,1180
15,22.57,+1.4,Chauntae BAYNE,04 APR 1984,USA,2,,São Paulo (BRA),19 MAY 2013,1178
16,22.58,+0.1,Lauryn WILLIAMS,11 SEP 1983,USA,2f1,,"Coral Gables, FL (USA)",13 APR 2013,1177
16,22.58,+1.3,Kamaria BROWN,21 DEC 1992,USA,2,,"Columbia, SC (USA)",12 MAY 2013,1177
16,22.58,+1.0,Anneisha MCLAUGHLIN-WHILBY,06 JAN 1986,JAM,2,,Kingston (JAM),23 JUN 2013,1177
19,22.61,+1.4,Ana Claudia LEMOS,06 NOV 1988,BRA,3,,São Paulo (BRA),19 MAY 2013,1174
19,22.61,+1.4,Mariya RYEMYEN,02 AUG 1987,UKR,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2013,1174
21,22.62,+1.1,English GARDNER,22 APR 1992,USA,1,,"Los Angeles, CA (USA)",12 MAY 2013,1173
21,22.62,-0.7,Danielle WILLIAMS,14 SEP 1992,JAM,1,,"Pueblo, CO (USA)",25 MAY 2013,1177
21,22.62,-0.2,Carrie RUSSELL,18 OCT 1990,JAM,1,,"Stadio Guidobaldi, Rieti (ITA)",08 SEP 2013,1174
24,22.68,+0.4,Viktoriya KASHEYEVA,07 MAY 1989,UKR,1f2,,Yalta (UKR),06 JUN 2013,1167
25,22.70,,Ashton PURVIS,12 JUL 1992,USA,2f2,,"Fayetteville, AR (USA) (i)",24 FEB 2013,1206
25,22.70,0.0,Jeneba TARMOH,27 SEP 1989,USA,3sf1,,"Luzhniki Stadion, Moskva (RUS)",15 AUG 2013,1165
27,22.71,+0.5,Kerron STEWART,16 APR 1984,JAM,2,,"National Stadium, Kingston (JAM)",04 MAY 2013,1164
27,22.71,-0.1,Charonda WILLIAMS,27 MAR 1987,USA,2f3,,Ljubljana (SLO),13 JUL 2013,1164
29,22.72,-1.8,Yelizaveta BRYZGINA,28 NOV 1989,UKR,1,,Donetsk (UKR),26 JUL 2013,1173
30,22.73,+1.6,Paris DANIELS,25 JAN 1990,USA,1,,"Waco, TX (USA)",05 MAY 2013,1162
31,22.75,-0.7,Vashti THOMAS,21 APR 1990,USA,2,,"Pueblo, CO (USA)",25 MAY 2013,1164
32,22.76,-0.1,Franciela KRASUCKI,26 APR 1988,BRA,1,,São Paulo (BRA),09 JUN 2013,1159
33,22.77,+1.1,Phyllis FRANCIS,04 MAY 1992,USA,2,,"Los Angeles, CA (USA)",12 MAY 2013,1158
33,22.77,+1.4,Carmelita JETER,24 NOV 1979,USA,5,,"Stade Olympique de la Pontaise, Lausanne (SUI)",04 JUL 2013,1158
35,22.78,+1.2,Ivet LALOVA-COLLIO,18 MAY 1984,BUL,3,,"Stadio Olimpico, Roma (ITA)",06 JUN 2013,1157
35,22.78,+1.6,Kimberly HYACINTHE,28 MAR 1989,CAN,1,,"Central Stadium, Kazan (RUS)",10 JUL 2013,1157
37,22.79,-0.5,Anyika ONUORA,28 OCT 1984,GBR,4,,"Olympic Stadium, London (GBR)",27 JUL 2013,1159
38,22.81,,Johanna DANOIS,04 APR 1987,FRA,1,,Aubiére (FRA) (i),16 FEB 2013,1196
38,22.81,+0.1,Jessica BEARD,08 JAN 1989,USA,3f1,,"Coral Gables, FL (USA)",13 APR 2013,1154
40,22.83,+0.5,Sherone SIMPSON,12 AUG 1984,JAM,3,,"National Stadium, Kingston (JAM)",04 MAY 2013,1152
40,22.83,+0.5,Samantha HENRY-ROBINSON,25 SEP 1988,JAM,4,,"National Stadium, Kingston (JAM)",04 MAY 2013,1152
40,22.83,+0.3,Myriam SOUMARÉ,29 OCT 1986,FRA,3h6,,"Luzhniki Stadion, Moskva (RUS)",15 AUG 2013,1152
43,22.84,+1.7,Shericka JACKSON,16 JUL 1994,JAM,2,,Nassau (BAH),01 APR 2013,1151
43,22.84,+1.0,Dafne SCHIPPERS,15 JUN 1992,NED,3,,"FBK Stadium, Hengelo (NED)",08 JUN 2013,1151
45,22.85,+1.3,Candyce MCGRONE,24 MAR 1989,USA,2,,"Walnut, CA (USA)",20 APR 2013,1150
45,22.85,-1.1,DeeDee TROTTER,08 DEC 1982,USA,5sf1,,"Drake Stadium, Des Moines, IA (USA)",23 JUN 2013,1156
47,22.86,+0.4,Hrystyna STUY,03 FEB 1988,UKR,2h7,,"Luzhniki Stadion, Moskva (RUS)",15 AUG 2013,1149
48,22.87,-1.1,Dezerea BRYANT,27 APR 1993,USA,6sf1,,"Drake Stadium, Des Moines, IA (USA)",23 JUN 2013,1154
49,22.88,-0.2,Margaret ADEOYE,22 APR 1985,GBR,2,,"Stadio Guidobaldi, Rieti (ITA)",08 SEP 2013,1148
50,22.89,+1.8,Natasha HASTINGS,23 JUL 1986,USA,2f1,,"Gainesville, FL (USA)",05 APR 2013,1146
50,22.89,+1.6,Cierra WHITE,29 APR 1993,USA,2,,"Waco, TX (USA)",05 MAY 2013,1146
50,22.89,+1.6,Crystal EMMANUEL,27 NOV 1991,CAN,5,,Edmonton (CAN),29 JUN 2013,1146
53,22.91,-0.2,Andreea OGRĂZEANU,24 MAR 1990,ROU,1h1,,Bucureşti (ROU),29 JUN 2013,1145
53,22.91,-0.1,Lenora GUION FIRMIN,07 AUG 1991,FRA,3h5,,"Luzhniki Stadion, Moskva (RUS)",15 AUG 2013,1144
55,22.92,-0.5,Jodie WILLIAMS,28 SEP 1993,GBR,1,,"Ratinan Stadion, Tampere (FIN)",13 JUL 2013,1146
55,22.92,-0.1,Irene EKELUND,08 MAR 1997,SWE,1,,Donetsk (UKR),14 JUL 2013,1143
57,22.93,+1.0,Angela MOROŞANU,26 JUL 1986,ROU,1f1,,Bucureşti (ROU),07 JUN 2013,1142
