Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,1:57.52,Gudaf TSEGAY,23 JUN 1997,ETH,1,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA)",14 FEB 2021,1227
2,1:58.19,Habitam ALEMU,09 JUL 1997,ETH,1,,"Arena, Toruń (POL)",17 FEB 2021,1216
3,1:58.40,Athing MU,08 JUN 2002,USA,1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",27 FEB 2021,1212
4,1:58.94,Habitam ALEMU,09 JUL 1997,ETH,1,,"Gallur, Madrid (ESP)",24 FEB 2021,1203
5,1:59.03,Keely HODGKINSON,03 MAR 2002,GBR,1f1,,"Ferry-Dusika-Halle, Wien (AUT)",30 JAN 2021,1202
6,1:59.90,Aleksandra GULYAYEVA,30 APR 1994,RUS,1,,"LFK CSKA, Moskva (RUS)",16 FEB 2021,1187
7,2:00.42,Joanna JÓŹWIK,30 JAN 1991,POL,2,,"Arena, Toruń (POL)",17 FEB 2021,1179
8,2:00.53,Heather MACLEAN,31 AUG 1995,USA,1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",21 FEB 2021,1177
9,2:00.58,Síofra CLÉIRIGH BÜTTNER,21 JUL 1995,IRL,2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",21 FEB 2021,1176
10,2:00.64,Jemma REEKIE,06 MAR 1998,GBR,1f1,,"Arena Stade Couvert, Liévin (FRA)",09 FEB 2021,1175
11,2:00.68,Aleksandra GULYAYEVA,30 APR 1994,RUS,1,,"LFK CSKA, Moskva (RUS)",07 FEB 2021,1174
12,2:00.69,Aaliyah MILLER,28 AUG 1998,USA,1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 MAR 2021,1174
13,2:00.85,Habitam ALEMU,09 JUL 1997,ETH,1f1,,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA)",06 FEB 2021,1172
14,2:00.86,Habitam ALEMU,09 JUL 1997,ETH,2f1,,"Arena Stade Couvert, Liévin (FRA)",09 FEB 2021,1171
15,2:00.92,Hedda HYNNE,13 MAR 1990,NOR,3f1,,"Arena Stade Couvert, Liévin (FRA)",09 FEB 2021,1170
16,2:00.98,Nadia POWER,11 JAN 1998,IRL,3,,"Arena, Toruń (POL)",17 FEB 2021,1170
17,2:01.01,Noélie YARIGO,26 DEC 1985,BEN,4,,"Arena, Toruń (POL)",17 FEB 2021,1169
18,2:01.07,Athing MU,08 JUN 2002,USA,1f2,,"Gilliam Indoor Track, College Station, TX (USA)",16 JAN 2021,1168
18,2:01.07,Angelika CICHOCKA,15 MAR 1988,POL,5,,"Arena, Toruń (POL)",17 FEB 2021,1168
20,2:01.08,Natoya GOULE,30 MAR 1991,JAM,1f1,,"Clemson Indoor Track & Field Complex, Clemson, SC (USA)",30 JAN 2021,1168
21,2:01.13,Esther GUERRERO,07 FEB 1990,ESP,2,,"Gallur, Madrid (ESP)",24 FEB 2021,1167
22,2:01.21,Laurie BARTON,13 FEB 1998,USA,2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 MAR 2021,1166
23,2:01.22,Shafiqua MALONEY,27 FEB 1999,VIN,3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 MAR 2021,1166
24,2:01.44,Adelle TRACEY,27 MAY 1993,GBR,3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",21 FEB 2021,1162
25,2:01.48,Georgie HARTIGAN,01 MAR 1996,IRL,1,,"National Indoor Arena, Abbotstown, Dublin (IRL)",21 FEB 2021,1161
26,2:01.55,Nadia POWER,11 JAN 1998,IRL,3,,"Gallur, Madrid (ESP)",24 FEB 2021,1160
27,2:01.65,Maruša MIŠMAŠ ZRIMŠEK,24 OCT 1994,SLO,1f3,,"Olimpijski center, Novo Mesto (SLO)",14 FEB 2021,1159
28,2:01.67,Louise SHANAHAN,26 JAN 1997,IRL,2,,"National Indoor Arena, Abbotstown, Dublin (IRL)",21 FEB 2021,1158
29,2:01.71,Keely HODGKINSON,03 MAR 2002,GBR,4f1,,"Arena Stade Couvert, Liévin (FRA)",09 FEB 2021,1158
30,2:01.79,Ajee WILSON,08 MAY 1994,USA,1,,"Ocean Breeze Athl. Complex, New York, NY (USA)",13 FEB 2021,1156
31,2:01.85,Britt UMMELS,24 AUG 1993,NED,1,,"Omnisport, Apeldoorn (NED)",10 FEB 2021,1155
32,2:01.90,Joanna JÓŹWIK,30 JAN 1991,POL,1,,"Arena, Toruń (POL)",21 FEB 2021,1155
33,2:01.96,Lindsey BUTLER,28 AUG 2000,USA,1,,"Clemson Indoor Track & Field Complex, Clemson, SC (USA)",27 FEB 2021,1154
34,2:01.99,Lore HOFFMANN,25 JUL 1996,SUI,2f1,,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA)",06 FEB 2021,1153
34,2:01.99,Laurie BARTON,13 FEB 1998,USA,2,,"Clemson Indoor Track & Field Complex, Clemson, SC (USA)",27 FEB 2021,1153
36,2:02.07,Juliette WHITTAKER,01 DEC 2003,USA,1,,"Virginia Beach Sports Center, Virginia Beach, VA (USA)",16 JAN 2021,1152
36,2:02.07,Bianka BARTHA-KÉRI,19 APR 1994,HUN,1f2,,"BOK Csarnok, Budapest (HUN)",13 FEB 2021,1152
38,2:02.11,Adelle TRACEY,27 MAY 1993,GBR,1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",07 FEB 2021,1151
39,2:02.12,Angelika CICHOCKA,15 MAR 1988,POL,2,,"Arena, Toruń (POL)",21 FEB 2021,1151
40,2:02.15,Lore HOFFMANN,25 JUL 1996,SUI,5f1,,"Arena Stade Couvert, Liévin (FRA)",09 FEB 2021,1150
40,2:02.15,Lindsey BUTLER,28 AUG 2000,USA,4,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 MAR 2021,1150
42,2:02.17,Kaela EDWARDS,08 DEC 1993,USA,2,,"Ocean Breeze Athl. Complex, New York, NY (USA)",13 FEB 2021,1150
43,2:02.19,Joanna JÓŹWIK,30 JAN 1991,POL,3f1,,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA)",06 FEB 2021,1150
44,2:02.24,Renée EYKENS,08 JUN 1996,BEL,1,,"Complexe Sportif de Blocry, Louvain-La-Neuve (BEL)",20 FEB 2021,1149
45,2:02.25,Claire SEYMOUR,,USA,5,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 MAR 2021,1149
46,2:02.29,Iseult O’DONNELL,20 JUL 1993,IRL,3,,"National Indoor Arena, Abbotstown, Dublin (IRL)",21 FEB 2021,1148
47,2:02.33,Cinthia ANAIS,18 JAN 1988,FRA,1f1,,"Clemson Indoor Track & Field Complex, Clemson, SC (USA)",13 FEB 2021,1148
48,2:02.40,Dana MECKE,20 SEP 1987,USA,4,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",21 FEB 2021,1146
49,2:02.44,Nadia POWER,11 JAN 1998,IRL,2f1,,"Ferry-Dusika-Halle, Wien (AUT)",30 JAN 2021,1146
49,2:02.44,Sophia GORRIARAN,20 JUN 2005,USA,2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",07 FEB 2021,1146
51,2:02.45,Isabelle BOFFEY,13 APR 2000,GBR,3,,"Ocean Breeze Athl. Complex, New York, NY (USA)",13 FEB 2021,1146
51,2:02.45,Léna KANDISSOUNON,26 NOV 1998,FRA,2,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA)",14 FEB 2021,1146
53,2:02.48,Bregje SLOOT,28 JAN 2000,NED,2,,"Omnisport, Apeldoorn (NED)",10 FEB 2021,1145
54,2:02.50,Elise VANDERELST,27 JAN 1998,BEL,2,,"Complexe Sportif de Blocry, Louvain-La-Neuve (BEL)",20 FEB 2021,1145
55,2:02.51,Nikki HILTZ,23 OCT 1994,USA,3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",07 FEB 2021,1145
56,2:02.54,Sage HURTA,23 JUN 1998,USA,1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",30 JAN 2021,1144
57,2:02.57,Lovisa LINDH,09 JUL 1991,SWE,4f1,,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA)",06 FEB 2021,1144
58,2:02.71,Irene BALDESSARI,21 JAN 1993,ITA,3f1,,"Ferry-Dusika-Halle, Wien (AUT)",30 JAN 2021,1141
59,2:02.72,Angelika CICHOCKA,15 MAR 1988,POL,1,,"Arena, Toruń (POL)",12 FEB 2021,1141
60,2:02.73,Ellie BAKER,03 JUN 1998,GBR,1,,"Sportcity Indoor Track, Manchester (GBR)",13 FEB 2021,1141
61,2:02.76,Noélie YARIGO,26 DEC 1985,BEN,3,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA)",14 FEB 2021,1141
62,2:02.79,Suzanne VOORRIPS,11 OCT 1993,NED,3,,"Omnisport, Apeldoorn (NED)",10 FEB 2021,1140
62,2:02.79,Anna WIELGOSZ,09 NOV 1993,POL,1h5,,"Arena, Toruń (POL)",05 MAR 2021,1140
64,2:02.81,Amber TANNER,1998,USA,2f1,,"Clemson Indoor Track & Field Complex, Clemson, SC (USA)",13 FEB 2021,1140
65,2:02.83,Nadia POWER,11 JAN 1998,IRL,1,,"Topsporthal Vlaanderen, Gent (BEL)",13 FEB 2021,1139
66,2:02.85,Gabrielle WILKINSON,10 JUN 1999,USA,2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",27 FEB 2021,1139
67,2:02.88,Kelsey HARRIS,,USA,1,,"Gladstein Fieldhouse Indiana Un., Bloomington, IN (USA)",06 FEB 2021,1139
68,2:02.96,Nadia POWER,11 JAN 1998,IRL,5f1,,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA)",06 FEB 2021,1137
69,2:02.97,Joanna JÓŹWIK,30 JAN 1991,POL,1f2,,"Arena Stade Couvert, Liévin (FRA)",09 FEB 2021,1137
70,2:02.98,Aaliyah MILLER,28 AUG 1998,USA,1,,"Sports Performance Center, Lubbock, TX (USA)",27 FEB 2021,1137
71,2:03.00,Esther GUERRERO,07 FEB 1990,ESP,4,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA)",14 FEB 2021,1137
72,2:03.02,Hirut MESHESHA,20 JAN 2001,ETH,5,,"Stade couvert Jesse Owens, Val-de-Reuil (FRA)",14 FEB 2021,1136
73,2:03.06,Tanja SPILL,16 DEC 1995,GER,1,,"Helmut-Körnig-Halle, Dortmund (GER)",21 FEB 2021,1136
74,2:03.11,Keely HODGKINSON,03 MAR 2002,GBR,1sf1,,"Arena, Toruń (POL)",06 MAR 2021,1135
