Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,1:57.86,,Habitam ALEMU,09 JUL 1997,ETH,1,,"Arena, Toruń (POL) (i)",06 FEB 2024,1221
2,1:58.24,,Jemma REEKIE,06 MAR 1998,GBR,1,,"Arena Birmingham, Birmingham (GBR) (i)",18 FEB 2024,1215
3,1:58.35,,Tsige DUGUMA,23 FEB 2001,ETH,1sf1,,"Glasgow Arena, Glasgow (GBR) (i)",02 MAR 2024,1213
4,1:58.69,,Shafiqua MALONEY,27 FEB 1999,VIN,1f4,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",10 FEB 2024,1207
5,1:58.91,,Halimah NAKAAYI,16 OCT 1994,UGA,3sf2,,"Glasgow Arena, Glasgow (GBR) (i)",02 MAR 2024,1204
6,1:59.25,,Michaela ROSE,13 JUN 2003,USA,1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",24 FEB 2024,1198
7,1:59.45,,Noélie YARIGO,26 DEC 1985,BEN,2sf1,,"Glasgow Arena, Glasgow (GBR) (i)",02 MAR 2024,1195
8,1:59.53,,Juliette WHITTAKER,01 DEC 2003,USA,1,,"The Track at New Balance, Boston, MA (USA) (i)",09 MAR 2024,1193
9,1:59.65,,Vivian Chebet KIPROTICH,07 JAN 1996,KEN,3sf1,,"Glasgow Arena, Glasgow (GBR) (i)",02 MAR 2024,1191
10,1:59.76,,Eloisa COIRO,01 DEC 2000,ITA,2h3,,"Glasgow Arena, Glasgow (GBR) (i)",01 MAR 2024,1190
11,1:59.93,,Worknesh MESELE,11 JUN 2001,ETH,2,,"Arena, Toruń (POL) (i)",06 FEB 2024,1187
12,2:00.06,,Lore HOFFMANN,25 JUL 1996,SUI,4sf1,,"Glasgow Arena, Glasgow (GBR) (i)",02 MAR 2024,1185
13,2:00.13,,Catriona BISSET,01 MAR 1994,AUS,5sf1,,"Glasgow Arena, Glasgow (GBR) (i)",02 MAR 2024,1183
14,2:00.16,,Audrey WERRO,27 MAR 2004,SUI,5sf2,,"Glasgow Arena, Glasgow (GBR) (i)",02 MAR 2024,1183
15,2:00.21,,Tigist GIRMA,07 NOV 2002,ETH,2f2,,"Atletska dvorana, Beograd (SRB) (i)",13 FEB 2024,1182
16,2:00.27,,Isabelle BOFFEY,13 APR 2000,GBR,2,,"Arena Birmingham, Birmingham (GBR) (i)",18 FEB 2024,1181
17,2:00.56,,Lorea IBARZABAL,07 NOV 1994,ESP,3h3,,"Glasgow Arena, Glasgow (GBR) (i)",01 MAR 2024,1176
18,2:00.63,,Allie WILSON,31 MAR 1996,USA,1,,"Convention Center, Albuquerque, NM (USA) (i)",17 FEB 2024,1175
19,2:00.70,,Addison WILEY,24 OCT 2003,USA,2,,"Convention Center, Albuquerque, NM (USA) (i)",17 FEB 2024,1174
20,2:00.83,,Natoya GOULE-TOPPIN,30 MAR 1991,JAM,2h1,,"Glasgow Arena, Glasgow (GBR) (i)",01 MAR 2024,1172
21,2:00.90,,Nia AKINS,07 JUL 1998,USA,3,,"Convention Center, Albuquerque, NM (USA) (i)",17 FEB 2024,1171
22,2:00.93,,Madeleine KELLY,28 DEC 1995,CAN,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",09 FEB 2024,1170
23,2:00.94,,Samantha WATSON,10 NOV 1999,USA,4,,"Convention Center, Albuquerque, NM (USA) (i)",17 FEB 2024,1170
24,2:00.99,,Kelly-Ann BECKFORD,20 APR 2000,JAM,1,,"Sports Performance Center, Lubbock, TX (USA) (i)",24 FEB 2024,1169
25,2:01.04,,Angel PICCIRILLO,08 JAN 1994,USA,1f2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",09 FEB 2024,1169
26,2:01.07,,Gabija GALVYDYTĖ,17 JAN 2000,LTU,2,,"Sports Performance Center, Lubbock, TX (USA) (i)",24 FEB 2024,1168
27,2:01.34,,Jazz SHUKLA,24 AUG 1998,CAN,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",09 FEB 2024,1164
28,2:01.35,,Erin WALLACE,18 MAY 2000,GBR,3,,"Arena Birmingham, Birmingham (GBR) (i)",18 FEB 2024,1163
29,2:01.57,,Eveliina MÄÄTTÄNEN,01 SEP 1995,FIN,5,,"Arena, Toruń (POL) (i)",06 FEB 2024,1160
30,2:01.58,,Anna WIELGOSZ,09 NOV 1993,POL,3h4,,"Glasgow Arena, Glasgow (GBR) (i)",01 MAR 2024,1160
31,2:01.67,,McKenna KEEGAN,31 AUG 1998,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",09 FEB 2024,1158
32,2:01.68,,Sophia GORRIARAN,20 JUN 2005,USA,1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 FEB 2024,1158
33,2:01.75,,Nina VUKOVIĆ,03 JUN 2002,CRO,1,,"Ataköy Arena, Istanbul (TUR) (i)",10 FEB 2024,1157
34,2:01.76,,Caroline BREDLINGER,04 APR 2001,AUT,2,,"Ataköy Arena, Istanbul (TUR) (i)",10 FEB 2024,1157
35,2:01.77,,Hayley KITCHING,26 SEP 2004,AUS,1f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",26 JAN 2024,1157
35,2:01.77,,Sanu JALLOW,2003,USA,2f4,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",10 FEB 2024,1157
37,2:01.79,,Lucia STAFFORD,17 AUG 1998,CAN,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2024,1156
38,2:01.82,,Charline MATHIAS,23 MAY 1992,LUX,1f1,,"Coque Sport Center, Luxembourg (LUX) (i)",18 FEB 2024,1156
39,2:01.83,,Gladys CHEPNGETICH,20 MAY 2001,KEN,1,,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",10 FEB 2024,1156
40,2:01.91,,Olivia BAKER,12 JUN 1996,USA,2,,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1154
41,2:01.93,,Lorena MARTÍN,22 OCT 1996,ESP,3,,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1154
41,2:01.93,,Elena BELLÒ,18 JAN 1997,ITA,5,,"Gallur, Madrid (ESP) (i)",23 FEB 2024,1154
43,2:01.94,,Ellie BAKER,03 JUN 1998,GBR,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",09 FEB 2024,1154
44,2:01.96,,Carley THOMAS,26 DEC 2000,AUS,4,,"The Track at New Balance, Boston, MA (USA) (i)",04 FEB 2024,1154
45,2:01.98,,Valentina ROSAMILIA,27 JAN 2003,SUI,1f2,,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i)",03 FEB 2024,1153
46,2:01.99,,Roisin WILLIS,06 AUG 2004,USA,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",27 JAN 2024,1153
47,2:02.00,,Anaïs BOURGOIN,03 OCT 1996,FRA,3f2,,"Atletska dvorana, Beograd (SRB) (i)",13 FEB 2024,1153
48,2:02.02,,Olga RODIOSHKINA,10 FEB 2001,RUS,1,,"LFK CSKA, Moskva (RUS) (i)",24 FEB 2024,1153
49,2:02.05,,Stephanie BROKAW,04 MAR 1991,USA,3f4,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",10 FEB 2024,1152
50,2:02.06,,Kaela EDWARDS,08 DEC 1993,USA,4,,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1152
51,2:02.08,,Sabrina SOUTHERLAND,18 DEC 1995,USA,1f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",16 FEB 2024,1152
52,2:02.09,,Mariya PROKHORETS,24 NOV 1995,RUS,2,,"LFK CSKA, Moskva (RUS) (i)",24 FEB 2024,1151
53,2:02.15,,Meghan HUNTER,31 MAY 2001,USA,3,,"The Track at New Balance, Boston, MA (USA) (i)",09 MAR 2024,1150
54,2:02.24,,Léna KANDISSOUNON,26 NOV 1998,FRA,2,,"Stadium Miramas Métropole, Miramas (FRA) (i)",18 FEB 2024,1149
55,2:02.27,,Rachel PELLAUD,08 MAR 1995,SUI,4f2,,"Atletska dvorana, Beograd (SRB) (i)",13 FEB 2024,1148
56,2:02.33,,Wilma NIELSEN,02 JUN 2001,SWE,6,,"The Track at New Balance, Boston, MA (USA) (i)",09 MAR 2024,1148
57,2:02.39,,Lindsey BUTLER,28 AUG 2000,USA,7,,"The Track at New Balance, Boston, MA (USA) (i)",09 MAR 2024,1147
58,2:02.43,,Susan Lokayo EJORE,09 NOV 1995,KEN,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",03 FEB 2024,1146
59,2:02.46,,Angelika SARNA,01 OCT 1997,POL,7,,"Arena, Toruń (POL) (i)",06 FEB 2024,1145
59,2:02.46,,Ainsley ERZEN,2003,USA,4f4,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",10 FEB 2024,1145
59,2:02.46,,Dilek KOÇAK,15 AUG 2005,TUR,1f3,,"Ataköy Arena, Istanbul (TUR) (i)",18 FEB 2024,1145
59,2:02.46,,Nigina TUKHTAYEVA,19 JAN 1993,RUS,3,,"LFK CSKA, Moskva (RUS) (i)",24 FEB 2024,1145
63,2:02.49,,Raevyn ROGERS,07 SEP 1996,USA,6,,"Armory Track&Field Center, New York, NY (USA) (i)",11 FEB 2024,1145
64,2:02.64,,Maggi CONGDON,,USA,4h1,,"The Track at New Balance, Boston, MA (USA) (i)",08 MAR 2024,1143
65,2:02.75,,Helen SCHLACHTENHAUFEN,14 MAR 1995,USA,2,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",16 FEB 2024,1141
66,2:02.79,,Naomi KORIR,01 SEP 1998,KEN,1,,"Coque Sport Center, Luxembourg (LUX) (i)",21 JAN 2024,1140
67,2:02.84,,Rachel GEARING,18 DEC 1999,USA,2f1,,"Ashenfelter Indoor Track, State College, PA (USA) (i)",16 FEB 2024,1139
68,2:02.87,,Judy Jepkoech KOSGEI,12 APR 2001,KEN,3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA) (i)",24 FEB 2024,1139
69,2:02.98,,Bailey GOGGANS,30 MAR 2003,USA,2,,"Clemson Indoor Track & Field Complex, Clemson, SC (USA) (i)",10 FEB 2024,1137
70,2:03.03,,Joceline WIND,12 SEP 2000,SUI,2f1,,"Halle End der Welt, Magglingen (SUI) (i)",27 JAN 2024,1136
71,2:03.04,,Vera HOFFMANN,02 NOV 1996,LUX,2f1,,"Coque Sport Center, Luxembourg (LUX) (i)",18 FEB 2024,1136
72,2:03.07,,Clara LIBERMAN,05 APR 2000,FRA,3,,"Stadium Miramas Métropole, Miramas (FRA) (i)",18 FEB 2024,1136
73,2:03.09,,Louise SHANAHAN,26 JAN 1997,IRL,4f1,,"Halle Stéphane Diagana, Lyon (FRA) (i)",09 FEB 2024,1135
