Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,9:17.15,,Wioletta FRANKIEWICZ,09 JUN 1977,POL,1,,"Olympic Stadium, Athina (GRE)",03 JUL 2006,1201
2,9:19.51,,Dorcus INZIKURU,02 FEB 1982,UGA,1,,Melbourne (AUS),22 MAR 2006,1195
3,9:20.16,,Alesia TURAVA,06 DEC 1979,BLR,1,,"Stade Louis II, Monaco (MON)",20 AUG 2006,1193
4,9:21.94,,Lyubov KHARLAMOVA,02 MAR 1981,RUS,2,,"Olympic Stadium, Athina (GRE)",03 JUL 2006,1189
5,9:22.82,,Tatyana PETROVA,08 APR 1983,RUS,1,,Birmingham (GBR),19 AUG 2006,1186
6,9:23.35,,Jeruto KIPTUM,12 DEC 1981,KEN,2,,Rieti (ITA),27 AUG 2006,1185
7,9:24.29,,Melissa ROLLISON,13 APR 1983,AUS,2,,Melbourne (AUS),22 MAR 2006,1183
8,9:25.05,,Donna MACFARLANE,18 JUN 1977,AUS,3,,Melbourne (AUS),22 MAR 2006,1181
9,9:26.07,,Salome CHEPCHUMBA,29 SEP 1982,KEN,3,,Rieti (ITA),27 AUG 2006,1178
10,9:27.35,,Yelena ORLOVA,30 MAY 1980,RUS,2,,Tula (RUS),12 JUN 2006,1175
11,9:30.84,,Victoria MITCHELL,25 APR 1982,AUS,4,,"Olympic Stadium, Athina (GRE)",03 JUL 2006,1166
12,9:31.50,,Lívia TÓTH,07 JAN 1980,HUN,5,,"Olympic Stadium, Athina (GRE)",03 JUL 2006,1165
13,9:32.04,,Róisín MCGETTIGAN,23 AUG 1980,IRL,3,,Heusden-Zolder (BEL),22 JUL 2006,1163
14,9:32.54,,Kate MCILROY,26 AUG 1981,NZL,5,,Heusden-Zolder (BEL),22 JUL 2006,1162
15,9:32.68,,Gladys Jerotich KIPKEMOI,15 OCT 1986,KEN,6,,Heusden-Zolder (BEL),22 JUL 2006,1162
16,9:32.69,,Veerle DEJAEGHERE,01 AUG 1973,BEL,7,,Heusden-Zolder (BEL),22 JUL 2006,1162
17,9:38.48,,Svetlana IVANOVA,18 AUG 1983,RUS,2,,Ostrava (CZE),30 MAY 2006,1148
18,9:38.82,,Cristina CASANDRA,01 FEB 1977,ROU,1,,Bucureşti (ROU),10 JUN 2006,1147
19,9:39.24,,Ida NILSSON,08 FEB 1981,SWE,7,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 2006,1146
20,9:40.28,,Johanna RISKU-LEHTINEN,21 FEB 1979,FIN,8,,"Olympic Stadium, Athina (GRE)",03 JUL 2006,1143
21,9:40.36,,Zulema FUENTES-PILA,25 MAY 1977,ESP,8,,"Ullevi Stadium, Göteborg (SWE)",12 AUG 2006,1143
22,9:40.90,,Christin JOHANSSON,26 JAN 1978,SWE,8,,Heusden-Zolder (BEL),22 JUL 2006,1142
23,9:40.95,,Caroline TUIGONG,12 MAR 1990,KEN,1,,"Chaoyang Sport Center, Beijing (CHN)",17 AUG 2006,1141
24,9:41.01,,Korene HINDS,18 JAN 1976,JAM,10,,"Stade Louis II, Monaco (MON)",20 AUG 2006,1141
25,9:41.25,,Élodie OLIVARÈS,22 MAY 1976,FRA,6h2,,"Ullevi Stadium, Göteborg (SWE)",10 AUG 2006,1141
26,9:41.55,,Carrie MESSNER-VICKERS,07 JUN 1977,USA,1,,"Mangueirão, Belém (BRA)",21 MAY 2006,1140
27,9:42.50,,Katarzyna KOWALSKA,07 APR 1985,POL,3h1,,"Ullevi Stadium, Göteborg (SWE)",10 AUG 2006,1138
28,9:42.51,,Rosa María MORATÓ,19 JUN 1979,ESP,1,,Valencia (ESP),17 JUN 2006,1138
29,9:45.77,,Minori HAYAKARI,29 NOV 1972,JPN,5,,Shanghai (CHN),23 SEP 2006,1130
30,9:45.87,,Miranda BOONSTRA,29 AUG 1972,NED,8h2,,"Ullevi Stadium, Göteborg (SWE)",10 AUG 2006,1129
31,9:46.19,,Ancuţa BOBOCEL,03 OCT 1987,ROU,2,,"Chaoyang Sport Center, Beijing (CHN)",17 AUG 2006,1129
32,9:46.67,,Mekdes BEKELE,20 JAN 1987,ETH,1h1,,"Chaoyang Sport Center, Beijing (CHN)",15 AUG 2006,1127
33,9:46.87,,Lisa AGUILERA,30 NOV 1979,USA,1,,"Palo Alto, CA (USA)",30 APR 2006,1127
34,9:47.52,,Diana MARTÍN,01 APR 1981,ESP,9h2,,"Ullevi Stadium, Göteborg (SWE)",10 AUG 2006,1125
35,9:47.82,,Natalya IZMODENOVA,1981,RUS,1,,Sochi (RUS),27 MAY 2006,1125
36,9:48.51,,Elizabeth HALL,28 APR 1985,GBR,1,,Watford (GBR),10 JUN 2006,1123
37,9:48.63,,Zhenzhu LI,13 DEC 1985,CHN,1,,Changsha (CHN),28 OCT 2006,1123
38,9:48.90,,Kelly MACDONALD-STRONG,27 SEP 1978,USA,1,,"Seattle, WA (USA)",06 MAY 2006,1122
38,9:48.90,,Verena DREIER,15 JAN 1985,GER,10h2,,"Ullevi Stadium, Göteborg (SWE)",10 AUG 2006,1122
40,9:49.20,,Fionnula BRITTON,24 SEP 1984,IRL,11h2,,"Ullevi Stadium, Göteborg (SWE)",10 AUG 2006,1121
41,9:50.80,,Yamina BOUCHAOUANTE,31 JUL 1980,FRA,8,,Ostrava (CZE),30 MAY 2006,1117
42,9:50.88,,Tatyana VILISOVA,27 NOV 1979,RUS,5,,Tula (RUS),12 JUN 2006,1117
43,9:51.05,,Tamara SANFABIO,14 MAR 1978,ESP,1,,Ninove (BEL),29 JUL 2006,1117
44,9:51.12,,Hatti DEAN,02 FEB 1982,GBR,10,,"Olympic Stadium, Athina (GRE)",03 JUL 2006,1117
45,9:52.11,,Valentyna HORPYNYCH,12 MAR 1983,UKR,1,,Yalta (UKR),27 MAY 2006,1114
46,9:52.38,,Elena ROMAGNOLO,05 OCT 1982,ITA,12h2,,"Ullevi Stadium, Göteborg (SWE)",10 AUG 2006,1114
47,9:53.04,,Jenny SIMPSON,23 AUG 1986,USA,1,,"Sacramento, CA (USA)",09 JUN 2006,1112
48,9:53.07,,Irene KOKKINARIOU,14 FEB 1981,GRE,13h2,,"Ullevi Stadium, Göteborg (SWE)",10 AUG 2006,1112
49,9:53.12,,Joanna ANKIER,05 AUG 1982,GBR,7,,Melbourne (AUS),22 MAR 2006,1112
50,9:53.14,,Rasa MICHNIOVAITĖ-TROUP,01 MAR 1977,LTU,9h1,,"Ullevi Stadium, Göteborg (SWE)",10 AUG 2006,1112
51,9:53.32,,Xiaofang CHEN,28 OCT 1981,CHN,2,,Shijiazhuang (CHN),06 AUG 2006,1111
52,9:53.40,,Zenaide VIEIRA,25 JUN 1985,BRA,1,,São Paulo (BRA),07 APR 2006,1111
53,9:53.50,,Natalya CHEREPANOVA,09 MAR 1967,RUS,1,,Tula (RUS),15 JUL 2006,1111
54,9:53.51,,Ebba STENBÄCK,29 AUG 1981,SWE,2,,Ninove (BEL),29 JUL 2006,1111
55,9:53.83,,Gulnara SAMITOVA-GALKINA,09 JUL 1978,RUS,6,,Tula (RUS),12 JUN 2006,1110
56,9:53.99,,Inês MONTEIRO,18 MAY 1980,POR,1,,Thessaloniki (GRE),17 JUN 2006,1110
57,9:54.00,,Michelle BARRETO DA COSTA,23 JAN 1979,BRA,3,,"Mangueirão, Belém (BRA)",21 MAY 2006,1110
58,9:54.14,,Irene PELAYO,16 FEB 1980,ESP,2,,Santander (ESP),23 JUN 2006,1109
59,9:54.25,,Andrea DEELTSTRA,06 MAR 1985,NED,14,,Heusden-Zolder (BEL),22 JUL 2006,1109
60,9:54.71,,Marzena MICHALSKA,20 OCT 1975,ITA,1,,Kaunas (LTU),01 JUL 2006,1108
61,9:55.24,,María Teresa URBINA,20 MAR 1985,ESP,1,,Barakaldo (ESP),24 JUN 2006,1107
62,9:55.75,,Cassie HUNT,06 MAR 1985,USA,2,,"Sacramento, CA (USA)",09 JUN 2006,1105
63,9:55.91,,Ann GAFFIGAN,05 OCT 1981,USA,2,,"Palo Alto, CA (USA)",30 APR 2006,1105
64,9:55.95,,Karoline Bjerkeli GRØVDAL,14 JUN 1990,NOR,1,,Oslo (NOR),29 JUL 2006,1105
65,9:56.50,,Shannon WOMMACK,09 APR 1983,USA,3,,"Sacramento, CA (USA)",09 JUN 2006,1104
66,9:56.54,,Madeleine HEINER,15 MAY 1987,AUS,3,,Sydney (AUS),19 JAN 2006,1103
67,9:56.62,,Emily BROWN,06 JUL 1984,USA,4,,"Sacramento, CA (USA)",09 JUN 2006,1103
68,9:56.79,,Tina BROWN,22 AUG 1976,GBR,2,,Bordeaux (FRA),17 JUN 2006,1103
69,9:56.88,,Bouchra CHAABI,22 SEP 1980,MAR,8,,Doha (QAT),12 MAY 2006,1103
70,9:57.17,,Justyna BĄK,01 AUG 1974,POL,1,,Kozienice (POL),10 JUN 2006,1102
71,9:57.34,,Wang HUAN,12 JAN 1989,CHN,3,,Shijiazhuang (CHN),06 AUG 2006,1101
72,9:57.74,,Rebecca FORLONG,13 JUL 1986,NZL,4,,Sydney (AUS),19 JAN 2006,1101
73,9:57.98,,Kristin SWISHER,16 JUN 1983,USA,2,,"Indianapolis, IN (USA)",24 JUN 2006,1100
74,9:58.13,,Cătălina OPREA,11 APR 1986,ROU,3,,Bucureşti (ROU),10 JUN 2006,1100
75,9:58.44,,Agnes TSCHURTSCHENTHALER,12 JAN 1982,ITA,2,,Kaunas (LTU),01 JUL 2006,1099
76,9:58.54,,Hanane OUHADDOU,01 JAN 1982,MAR,1,,Rabat (MAR),25 JUN 2006,1099
77,9:58.76,,Poļina JEĻIZAROVA,01 MAY 1989,LAT,4,,"Chaoyang Sport Center, Beijing (CHN)",17 AUG 2006,1098
78,9:59.05,,Andrea MAYR,15 OCT 1979,AUT,1,,Königs Wusterhausen (GER),01 SEP 2006,1097
79,9:59.16,,Fiona CROMBIE,15 AUG 1982,NZL,2,,Christchurch (NZL),28 JAN 2006,1097
80,9:59.48,,Delilah DICRESCENZO,09 FEB 1983,USA,2,,"Nashville, TN (USA)",03 JUN 2006,1096
81,9:59.83,,Yuliya IGNATOVA,30 JUL 1983,UKR,2,,Yalta (UKR),27 MAY 2006,1095
82,9:59.97,,Dobrinka SHALAMANOVA,01 MAY 1983,BUL,1,,Novi Sad (SRB),22 JUL 2006,1095
83,10:00.08,,Olesya TYURINA,03 SEP 1980,RUS,7,,Tula (RUS),12 JUN 2006,1095
84,10:00.16,,Fatiha BAHI AZZOUHOUM,08 MAR 1983,ALG,2,,Königs Wusterhausen (GER),01 SEP 2006,1095
85,10:00.57,,Stephanie DE CROOCK,04 MAR 1979,BEL,16,,Heusden-Zolder (BEL),22 JUL 2006,1094
86,10:01.04,,Nicole BUSH,04 APR 1986,USA,5,,"Sacramento, CA (USA)",09 JUN 2006,1093
87,10:01.14,,Tebogo MASEHLA,06 OCT 1979,RSA,1,,Bellville (RSA),17 FEB 2006,1092
88,10:01.23,,Netsanet ACHAMO,14 DEC 1987,ETH,2,,Barakaldo (ESP),24 JUN 2006,1092
89,10:01.93,,Yanmei ZHU,16 OCT 1986,CHN,2,,Changsha (CHN),28 OCT 2006,1090
90,10:02.55,,Azucena DÍAZ,19 DEC 1982,ESP,3,,Barakaldo (ESP),24 JUN 2006,1089
