Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,8:53.02,,Norah JERUTO,02 OCT 1995,KAZ,1,,"Hayward Field, Eugene, OR (USA)",20 JUL 2022,1262
2,8:54.61,,Werkuha GETACHEW,07 DEC 1995,ETH,2,,"Hayward Field, Eugene, OR (USA)",20 JUL 2022,1258
3,8:56.08,,Mekides ABEBE,29 JAN 2001,ETH,3,,"Hayward Field, Eugene, OR (USA)",20 JUL 2022,1254
4,8:56.55,,Winfred Mutile YAVI,31 DEC 1999,BRN,1,,"Stade Charléty, Paris (FRA)",18 JUN 2022,1253
5,9:02.43,,Jackline CHEPKOECH,03 OCT 2003,KEN,1,,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022,1238
6,9:05.54,,Peruth CHEMUTAI,10 JUL 1999,UGA,4,,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1230
7,9:06.14,,Faith CHEROTICH,13 JUL 2004,KEN,3,,"Letzigrund, Zürich (SUI)",08 SEP 2022,1229
8,9:06.37,,Zerfe WONDEMAGEGN,26 OCT 2002,ETH,4,,"Letzigrund, Zürich (SUI)",08 SEP 2022,1228
9,9:07.87,,Elizabeth BIRD,04 OCT 1994,GBR,3,,"Stade Louis II, Monaco (MON)",10 AUG 2022,1224
10,9:07.93,,Emma COBURN,19 OCT 1990,USA,4,,"Stade Louis II, Monaco (MON)",10 AUG 2022,1224
11,9:09.19,,Sembo ALMAYEW,24 JAN 2005,ETH,2,,"Stade Charléty, Paris (FRA)",18 JUN 2022,1221
12,9:09.29,,Olga VOVK,13 FEB 1993,RUS,1,,"Olympic Stadium, Cheboksary (RUS)",03 AUG 2022,1221
13,9:09.91,,Courtney WAYMENT,04 AUG 1998,USA,6,,"Stade Louis II, Monaco (MON)",10 AUG 2022,1219
14,9:10.04,,Luiza GEGA,05 NOV 1988,ALB,5,,"Hayward Field, Eugene, OR (USA)",20 JUL 2022,1219
15,9:10.17,,Celliphine Chepteek CHESPOL,23 MAR 1999,KEN,6,,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1218
16,9:10.59,,Courtney FRERICHS,18 JAN 1993,USA,6,,"Hayward Field, Eugene, OR (USA)",20 JUL 2022,1217
17,9:11.39,,Yekaterina IVONINA,14 JUN 1994,RUS,2,,"Olympic Stadium, Cheboksary (RUS)",03 AUG 2022,1215
18,9:12.14,,Marwa BOUZAYANI,26 MAR 1997,TUN,3h1,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1213
19,9:14.34,,Alice FINOT,09 FEB 1991,FRA,1h2,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1208
20,9:15.35,,Lea MEYER,16 SEP 1997,GER,2,,"Olympiastadion, München (GER)",20 AUG 2022,1205
21,9:15.64,,Aimee PRATT,03 OCT 1997,GBR,7,,"Hayward Field, Eugene, OR (USA)",20 JUL 2022,1204
22,9:15.77,,Daisy JEPKEMEI,13 FEB 1996,KAZ,1,,"Olympiastadion, Stockholm (SWE)",30 JUN 2022,1204
23,9:17.14,,Maruša MIŠMAŠ ZRIMŠEK,24 OCT 1994,SLO,2h3,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1201
24,9:20.28,,Chiara SCHERRER,24 JAN 1996,SUI,5,,"Stade Charléty, Paris (FRA)",18 JUN 2022,1193
25,9:21.02,,Gesa Felicitas KRAUSE,03 AUG 1992,GER,7h2,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1191
26,9:21.46,,Amy CASHIN,28 JUL 1994,AUS,8h2,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1190
27,9:23.94,,Irene SÁNCHEZ-ESCRIBANO,25 AUG 1992,ESP,10h2,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1184
28,9:24.38,,Tatiane Raquel DA SILVA,10 JUN 1990,BRA,1,,"Woodside Stadium, Watford (GBR)",11 JUN 2022,1183
29,9:24.54,,Nataliya STREBKOVA,06 MAR 1995,UKR,4,,"Olympiastadion, Stockholm (SWE)",30 JUN 2022,1182
30,9:24.73,,Beatrice CHEPKOECH,06 JUL 1991,KEN,11,,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022,1182
31,9:25.05,,Gabrielle JENNINGS,15 SEP 1998,USA,4,,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1181
32,9:25.08,,Kayley DELAY,07 JUN 1999,USA,2,,"Hayward Field, Eugene, OR (USA)",11 JUN 2022,1181
33,9:25.15,,Alicja KONIECZEK,02 NOV 1994,POL,4,,"Olympiastadion, München (GER)",20 AUG 2022,1181
34,9:25.48,,Annie RODENFELS,24 JUL 1996,USA,1,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",29 APR 2022,1180
35,9:25.58,,Tuğba GÜVENÇ,09 JUL 1994,TUR,5,,"Olympiastadion, München (GER)",20 AUG 2022,1180
36,9:26.88,,Purity KIRUI,13 AUG 1991,KEN,11h2,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1176
37,9:26.89,,Lomi MULETA,29 NOV 2001,ETH,6,,"FBK Stadium, Hengelo (NED)",06 JUN 2022,1176
38,9:28.24,,Carolina ROBLES,04 DEC 1991,ESP,9h3,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1173
39,9:29.05,,Belén CASETTA,26 SEP 1994,ARG,7h1,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1171
40,9:29.77,,Katie RAINSBERGER,18 AUG 1998,USA,5,,"Hayward Field, Eugene, OR (USA)",26 JUN 2022,1169
41,9:30.42,,Caren CHEBET,24 MAY 2000,KEN,6,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",07 MAY 2022,1167
42,9:30.46,,Asimarech NAGA,08 JUN 1999,ETH,3,,"Estadio Iberoamericano, Huelva (ESP)",25 MAY 2022,1167
43,9:30.69,,Ceili MCCABE,17 SEP 2001,CAN,1,,"McLeod Stadium, Langley (CAN)",24 JUN 2022,1167
44,9:31.20,,Valerie CONSTIEN,21 MAR 1996,USA,2,,"Hilmer Lodge Stadium, Walnut, CA (USA)",14 APR 2022,1166
45,9:31.77,,Regan YEE,04 JUL 1995,CAN,2,,"McLeod Stadium, Langley (CAN)",24 JUN 2022,1164
46,9:32.42,,Elise THORNER,16 MAR 2001,GBR,2,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",29 APR 2022,1162
47,9:32.67,,Rosefline CHEPNGETICH,17 JUN 1997,KEN,7,,"Stade Charléty, Paris (FRA)",18 JUN 2022,1162
48,9:32.81,,Alex TEUBEL,16 JUN 1993,USA,2,,"Icahn Stadium, New York, NY (USA)",20 MAY 2022,1162
49,9:32.87,,Ikram OUAAZIZ,06 JUL 1999,MAR,3,,"Stade Complexe Olympique, Oran (ALG)",01 JUL 2022,1161
50,9:32.96,,Brielle ERBACHER,28 FEB 1999,AUS,3,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",29 APR 2022,1161
51,9:33.02,,Madie BOREMAN,10 JUL 1998,USA,4,,"Hayward Field, Eugene, OR (USA)",11 JUN 2022,1161
52,9:33.34,,Meseret YESHANEH,12 MAY 2005,ETH,7,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",07 MAY 2022,1160
53,9:33.41,,Claudia PRISECARU,02 SEP 1997,ROU,4,,"Estadio Iberoamericano, Huelva (ESP)",25 MAY 2022,1160
54,9:34.32,,Jessica FURLAN,15 MAR 1990,CAN,3,,"Hilmer Lodge Stadium, Walnut, CA (USA)",19 MAY 2022,1158
55,9:34.59,,Kaylee MITCHELL,22 OCT 1999,USA,6,,"Hayward Field, Eugene, OR (USA)",11 JUN 2022,1157
56,9:34.61,,Fancy CHERONO,02 AUG 2001,KEN,6,,"Olympiastadion, Stockholm (SWE)",30 JUN 2022,1157
57,9:34.76,,Logan JOLLY,07 JUL 1998,USA,7,,"Hayward Field, Eugene, OR (USA)",11 JUN 2022,1157
58,9:35.60,,Adva COHEN,24 MAR 1996,ISR,8,,"Hayward Field, Eugene, OR (USA)",11 JUN 2022,1155
59,9:35.80,,Olivia MARKEZICH,10 AUG 2000,USA,9,,"Hayward Field, Eugene, OR (USA)",11 JUN 2022,1154
60,9:36.26,,Colleen QUIGLEY,20 NOV 1992,USA,3h1,,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1153
61,9:36.59,,Flavie RENOUARD,10 SEP 2000,FRA,3,,"Manchester Regional Arena, Manchester (GBR)",03 JUN 2022,1152
62,9:36.63,,Kinga KRÓLIK,26 SEP 1999,POL,9,,"FBK Stadium, Hengelo (NED)",06 JUN 2022,1152
63,9:36.68,,Edna CHEROTICH,31 MAY 1998,KEN,4,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",28 APR 2022,1152
64,9:37.18,,Amina BETTICHE,14 DEC 1987,ALG,4,,"Stade Complexe Olympique, Oran (ALG)",01 JUL 2022,1151
65,9:37.56,,Grace FETHERSTONHAUGH,13 OCT 2000,CAN,10,,"Hayward Field, Eugene, OR (USA)",11 JUN 2022,1150
66,9:37.73,,Carmen GRAVES,27 JAN 1991,USA,3,,"Icahn Stadium, New York, NY (USA)",20 MAY 2022,1149
67,9:38.09,,Parul CHAUDHARY,15 APR 1995,IND,12h2,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1148
68,9:38.19,,Yuno YAMANAKA,25 DEC 2000,JPN,1,,"Yanmar Stadium Nagai, Osaka (JPN)",11 JUN 2022,1148
69,9:38.55,,Virginia NYAMBURA,20 JUL 1993,KEN,4,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",25 JUN 2022,1147
70,9:38.84,,Martina MERLO,19 FEB 1993,ITA,5,,"Stade Complexe Olympique, Oran (ALG)",01 JUL 2022,1147
71,9:38.95,,Yuzu NISHIDE,25 JAN 2000,JPN,2,,"Yanmar Stadium Nagai, Osaka (JPN)",11 JUN 2022,1146
72,9:39.17,,Shuangshuang XU,06 APR 1996,CHN,10h1,,"Hayward Field, Eugene, OR (USA)",16 JUL 2022,1146
73,9:39.28,,Manami NISHIYAMA,09 DEC 1999,JPN,3,,"Yanmar Stadium Nagai, Osaka (JPN)",11 JUN 2022,1146
74,9:39.63,,Elena BURKARD,10 FEB 1992,GER,12,,"Olympiastadion, München (GER)",20 AUG 2022,1145
75,9:39.72,,Anna TROPINA,03 NOV 1998,ANA,3,,"Yelena Yelesina Stadium, Chelyabinsk (RUS)",26 AUG 2022,1144
76,9:39.86,,Reimi YOSHIMURA,22 APR 2000,JPN,4,,"Yanmar Stadium Nagai, Osaka (JPN)",11 JUN 2022,1144
77,9:39.96,,Alissa NIGGEMANN,1997,USA,11,,"Hayward Field, Eugene, OR (USA)",11 JUN 2022,1144
78,9:40.24,,Nilani RATHNAYAKA,08 AUG 1990,SRI,1,,Diyagama (SRI),09 APR 2022,1143
79,9:40.66,,Cara FEAIN-RYAN,05 FEB 1999,AUS,3,,"SOPAC, Sydney (AUS)",31 MAR 2022,1142
80,9:41.15,,Joyce KIMELI,,KEN,1,,"Hutsell-Rosen Track, Auburn, AL (USA)",15 APR 2022,1141
81,9:41.33,,Agrie WOLE,20 JAN 1999,ETH,13,,"FBK Stadium, Hengelo (NED)",06 JUN 2022,1140
82,9:41.52,,Georgia WINKCUP,09 MAY 1997,AUS,2,,"Lakeside Stadium, Melbourne (AUS)",19 MAR 2022,1140
83,9:41.72,,Ruth JEBET,17 NOV 1996,BRN,2,,Kuwait (KUW),17 MAY 2022,1140
84,9:42.80,,Michelle FINN,16 DEC 1989,IRL,1,,"Sportcentrum, Pápa (HUN)",06 SEP 2022,1137
85,9:42.88,,Carolina LOZANO,27 FEB 1996,ARG,8,,"Estadio Iberoamericano, Huelva (ESP)",25 MAY 2022,1137
86,9:43.28,,Blanca FERNÁNDEZ,01 APR 1992,ESP,1,,"Estadi Joan Serrahima, Barcelona (ESP)",05 JUL 2022,1136
87,9:44.21,,Edna CHEPKEMOI,11 MAY 1996,KEN,4,,"Cote d'Or National Sports Complex, St Pierre (MRI)",12 JUN 2022,1133
88,9:44.24,,Clara VIÑARAS,08 SEP 1993,ESP,9,,"Estadio Iberoamericano, Huelva (ESP)",25 MAY 2022,1133
89,9:44.25,,Linn SÖDERHOLM,05 MAY 1996,SWE,1,,"Norrköpings Friidrottsarena, Norrköping (SWE)",05 AUG 2022,1133
90,9:44.35,,Stella RADFORD,25 JUN 1995,AUS,2,,"Woodside Stadium, Watford (GBR)",11 JUN 2022,1133
91,9:44.49,,Judi JONES,28 MAR 1997,USA,5,,"Icahn Stadium, New York, NY (USA)",20 MAY 2022,1133
92,9:44.72,,Aneta KONIECZEK,08 JUN 1997,POL,1,,"Hayward Field, Eugene, OR (USA)",23 APR 2022,1132
93,9:44.83,,June ARBEO,04 FEB 1999,ESP,10,,"Estadio Iberoamericano, Huelva (ESP)",25 MAY 2022,1132
94,9:45.11,,Simone FERRAZ,12 MAR 1990,BRA,4,,La Nucia (ESP),21 MAY 2022,1131
95,9:45.21,,Patrycja KAPAŁA,26 MAR 1997,POL,9,,"Olympiastadion, Stockholm (SWE)",30 JUN 2022,1131
96,9:45.47,,Diana CHEPKEMOI,25 JAN 2007,KEN,2,,"Nyayo National Stadium, Nairobi (KEN)",02 JUL 2022,1130
97,9:46.29,,Alexa LEMITRE,10 APR 1998,FRA,1,,"Stedelijke Atletiekpiste, Ninove (BEL)",16 JUL 2022,1128
98,9:46.50,,Eline DALEMANS,25 FEB 1991,BEL,2,,"Estadi Joan Serrahima, Barcelona (ESP)",05 JUL 2022,1128
99,9:46.91,,Carmen RIAÑO,08 NOV 2001,ESP,3h3,,"Billy Hayes T& F Complex, Bloomington, IN (USA)",28 MAY 2022,1127
100,9:46.97,,Emilia LILLEMO,05 JAN 2000,SWE,10,,"Olympiastadion, Stockholm (SWE)",30 JUN 2022,1127
101,9:47.36,,Kayla WINDEMULLER,01 AUG 2000,USA,7sf2,,"Hayward Field, Eugene, OR (USA)",09 JUN 2022,1126
102,9:47.37,,Veerle BAKKER,29 SEP 1997,NED,2,,"Sportcentrum, Pápa (HUN)",06 SEP 2022,1126
103,9:47.65,,Abby KOHUT-JACKSON,24 JUN 1998,USA,7h2,,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1125
104,9:47.73,,Julia HOWLEY,08 AUG 1996,CAN,4,,"McLeod Stadium, Langley (CAN)",24 JUN 2022,1125
105,9:47.76,,Olivia GÜRTH,31 MAY 2002,GER,2,,"Stedelijke Atletiekpiste, Ninove (BEL)",16 JUL 2022,1125
106,9:47.86,,Komal JAGADALE,26 JAN 1999,IND,1,,"CH Muhammed Koya Stadium, Thenhipalam (IND)",04 APR 2022,1125
107,9:48.14,,Weynshet ANSA,09 APR 1996,ETH,11,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",07 MAY 2022,1124
108,9:48.20,,Emily COLE,14 DEC 2000,USA,2,,"Morris Williams T&F Stadium, Durham, NC (USA)",13 MAY 2022,1124
109,9:48.64,,Marta SERRANO,05 APR 2003,ESP,3,,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",25 JUN 2022,1123
110,9:49.61,,Jessy LACOURSE,05 FEB 1997,CAN,6,,"Icahn Stadium, New York, NY (USA)",20 MAY 2022,1120
111,9:49.74,,Eleonora CURTABBI,27 MAR 1997,ITA,1,,"Stade Raymond Troussier, Decines (FRA)",11 JUN 2022,1120
112,9:49.85,,Lena MILLONIG,25 MAR 1998,AUT,3,,"Sportcentrum, Pápa (HUN)",06 SEP 2022,1120
113,9:50.26,,Greta KARINAUSKAITĖ,11 FEB 2001,LTU,1,,"Centrinis Stadionas, Šiauliai (LTU)",25 JUN 2022,1119
114,9:51.48,,Ruken TEK,01 MAY 2001,TUR,3,,"Stadionul de atletism ""Nicolae Mărășescu"", Craiova (ROU)",18 JUN 2022,1116
115,9:51.64,,Doris Lengole CHEROP,05 FEB 2002,KEN,7,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",28 APR 2022,1115
116,9:52.0h,,Berhan GEBREGIWRGS,23 MAR 2004,ETH,1,,Assela (ETH),12 MAR 2022,1114
117,9:52.00,,Perri BOCKRATH,,USA,3h2,,"Billy Hayes T& F Complex, Bloomington, IN (USA)",28 MAY 2022,1114
118,9:52.12,,Victoria GERLACH,02 JUN 1994,USA,7,,"Hilmer Lodge Stadium, Walnut, CA (USA)",19 MAY 2022,1114
119,9:52.44,,Thi Oanh NGUYEN,15 AUG 1995,VIE,1,,"My Dinh National Stadium, Hanoi (VIE)",15 MAY 2022,1113
120,9:52.49,,Amelie SVENSSON,28 AUG 1996,SWE,3,,"Norrköpings Friidrottsarena, Norrköping (SWE)",05 AUG 2022,1113
121,9:52.81,,Mia NAHOM,27 FEB 1999,USA,1,,"George J. Sherman Family Sports Complex, Storrs, CT (USA)",13 MAY 2022,1112
122,9:53.35,,Özlem KAYA ALICI,20 APR 1990,TUR,2,,"Atıcılar Atletizm Sahası, Bursa (TUR)",26 AUG 2022,1111
123,9:53.91,,Derya KUNUR,01 SEP 1999,TUR,1,,"Atıcılar Atletizm Sahası, Bursa (TUR)",25 JUN 2022,1110
124,9:54.06,,Yukari ISHIZAWA,16 APR 1988,JPN,2,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2022,1109
125,9:54.07,,Anne-Sophie VITTET,24 DEC 1988,FRA,2,,"Stade Raymond Troussier, Decines (FRA)",11 JUN 2022,1109
126,9:54.20,,Pamela KOSGEI,05 JUL 2004,KEN,3,,"Nyayo National Stadium, Nairobi (KEN)",02 JUL 2022,1109
127,9:54.33,,Floriane QUESADA,12 DEC 2000,FRA,3,,"Stade Raymond Troussier, Decines (FRA)",11 JUN 2022,1109
128,9:54.5h,,Alemnet WALE,,ETH,7,,Hawassa (ETH),31 MAR 2022,1108
129,9:54.81,,Sabah ES-SEQALLY,21 AUG 1997,MAR,8,,"Stade Complexe Olympique, Oran (ALG)",01 JUL 2022,1108
130,9:54.94,,Julia SAMUELSSON,22 MAR 1999,SWE,1,,"Bislett Stadion, Oslo (NOR)",30 JUN 2022,1107
131,9:55.3h,,Mestawot AMARE,,ETH,8,,Hawassa (ETH),31 MAR 2022,1106
132,9:55.35,,Teresah CHEROTICH,01 AUG 2004,KEN,4,,"Nyayo National Stadium, Nairobi (KEN)",02 JUL 2022,1106
133,9:55.46,,Marion KIBOR,27 SEP 1994,KEN,1,,"Ulinzi Sports Complex, Langata, Nairobi (KEN)",22 APR 2022,1106
134,9:55.65,,Lexy HALLADAY,23 JUL 2001,USA,5,,"Hilmer Lodge Stadium, Walnut, CA (USA)",14 APR 2022,1106
135,9:55.76,,Karawan HALABI,18 JAN 1995,ISR,1,,"Sportpark Drogenbrood, Beernem (BEL)",23 JUL 2022,1105
136,9:55.92,,Joana SOARES,08 SEP 1993,POR,1,,Leiria (POR),30 JUL 2022,1105
137,9:55.96,,Kate SEARY,13 NOV 1996,GBR,1f3,,"Paul Derr TF Facility, Raleigh, NC (USA)",25 MAR 2022,1105
138,9:56.06,,Joyline CHEMUTAI,31 DEC 1994,KEN,2,,"Ulinzi Sports Complex, Langata, Nairobi (KEN)",22 APR 2022,1105
139,9:56.10,,Catherine BEAUCHEMIN,31 AUG 1998,CAN,7,,"Icahn Stadium, New York, NY (USA)",20 MAY 2022,1104
140,9:56.2h,,Frehiwot GESESE,01 JAN 2006,ETH,9,,Hawassa (ETH),31 MAR 2022,1104
141,9:56.28,,Annie BOOS,21 AUG 1999,USA,3,,"Morris Williams T&F Stadium, Durham, NC (USA)",13 MAY 2022,1104
142,9:56.29,,Mirelle LEITE,11 MAR 2002,BRA,3,,Rio de Janeiro (BRA),23 JUN 2022,1104
143,9:56.98,,Caroline AUSTIN,04 JUL 1991,USA,8,,"Icahn Stadium, New York, NY (USA)",20 MAY 2022,1102
144,9:57.07,,Laura DALLA MONTÀ,06 OCT 1993,ITA,1,,"Harjun stadion, Jyväskylä (FIN)",26 JUL 2022,1102
145,9:57.18,,Eilish FLANAGAN,02 MAY 1997,GBR,6,,"Alexander Stadium, Birmingham (GBR)",05 AUG 2022,1102
146,9:57.44,,Khadija ENNASRI,07 AUG 2003,MAR,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",26 JUN 2022,1101
147,9:57.83,,Rihab DHAHRI,09 SEP 2003,TUN,2,,"Stadio Adriatico, Pescara (ITA)",10 SEP 2022,1100
148,9:58.13,,Anna Mark HELWIGH,12 MAR 2000,DEN,2,,"George J. Sherman Family Sports Complex, Storrs, CT (USA)",13 MAY 2022,1100
149,9:58.24,,Kayla SCHIERA,24 MAR 2000,USA,1,,"Drake Stadium, Des Moines, IA (USA)",14 MAY 2022,1099
150,9:58.50,,Laura TABORDA,01 JAN 1999,POR,4h3,,"Billy Hayes T& F Complex, Bloomington, IN (USA)",28 MAY 2022,1099
151,9:58.6h,,Asmarech NEGA,,ETH,10,,Hawassa (ETH),31 MAR 2022,1098
152,9:58.60,,Celestine Jepkosgei BIWOT,24 DEC 2003,KEN,8,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",28 APR 2022,1098
153,9:58.64,,Erin TESCHUK,25 OCT 1994,CAN,3,,"Swangard Stadium, Burnaby (CAN)",14 JUN 2022,1098
154,9:59.78,,Natalya ARISTARKHOVA,31 OCT 1989,RUS,3,,"Stadium Desna, Bryansk (RUS)",02 JUL 2022,1096
