Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,9:08.33,,Gulnara SAMITOVA,09 JUL 1978,RUS,1,,Tula (RUS),10 AUG 2003,1223
2,9:20.28,,Alesia TURAVA,06 DEC 1979,BLR,1,,Ostrava (CZE),12 JUN 2003,1193
3,9:24.78,,Lyubov KHARLAMOVA,02 MAR 1981,RUS,2,,Tula (RUS),10 AUG 2003,1182
4,9:32.31,,Yekaterina VOLKOVA,16 FEB 1978,RUS,3,,Tula (RUS),10 AUG 2003,1163
5,9:39.51,,Dorcus INZIKURU,02 FEB 1982,UGA,2,,Ostrava (CZE),12 JUN 2003,1145
6,9:40.49,,Cristina CASANDRA,01 FEB 1977,ROU,1,,Bucureşti (ROU),10 AUG 2003,1143
7,9:42.01,,Michaela MANNOVÁ,11 JAN 1982,CZE,2,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",19 JUL 2003,1139
8,9:42.04,,Sigrid VANDEN BEMPT,10 FEB 1981,BEL,3,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",19 JUL 2003,1139
9,9:44.71,,Briana SHOOK,06 JAN 1981,USA,1,,"Palo Alto, CA (USA)",21 JUN 2003,1132
10,9:44.95,,Kassi ANDERSEN,25 JUN 1983,USA,1,,"Sacramento, CA (USA)",13 JUN 2003,1132
11,9:46.30,,Lisa AGUILERA,30 NOV 1979,USA,1,,"Palo Alto, CA (USA)",31 MAY 2003,1128
12,9:46.74,,Ida NILSSON,08 FEB 1981,SWE,2,,"Sacramento, CA (USA)",13 JUN 2003,1127
13,9:46.76,,Alina PROCA,24 OCT 1983,ROU,3,,Pyrgos (GRE),27 JUL 2003,1127
14,9:49.14,,Lisa KARNOPP-NYE,17 NOV 1968,USA,3,,"Palo Alto, CA (USA)",21 JUN 2003,1121
15,9:49.40,,Jana BIOLKOVÁ,18 MAY 1974,CZE,1,,Olomouc (CZE),12 JUL 2003,1121
16,9:49.51,,Malika ASAHSSAH,24 SEP 1982,MAR,1,,Rabat (MAR),06 JUL 2003,1120
17,9:49.62,,Anália ROSA,28 FEB 1976,POR,3,,Ostrava (CZE),12 JUN 2003,1120
18,9:50.12,,Róisín MCGETTIGAN,23 AUG 1980,IRL,3,,"Sacramento, CA (USA)",13 JUN 2003,1119
19,9:50.29,,Natalya CHEREPANOVA,09 MAR 1967,RUS,4,,Tula (RUS),10 AUG 2003,1119
20,9:50.88,,Xiaofang CHEN,28 OCT 1981,CHN,1,,Shanghai (CHN),13 SEP 2003,1117
21,9:52.13,,Patrycja WŁODARCZYK,09 JUN 1980,POL,5,,Ostrava (CZE),12 JUN 2003,1114
22,9:52.53,,Élodie OLIVARÈS,22 MAY 1976,FRA,6,,Ostrava (CZE),12 JUN 2003,1113
23,9:52.98,,Letiwe MARAKURWA,02 JUN 1978,ZIM,4,,"Sacramento, CA (USA)",13 JUN 2003,1112
24,9:52.99,,Irene LIMIKA,28 AUG 1979,KEN,7,,Ostrava (CZE),12 JUN 2003,1112
25,9:54.01,,Yinglan JU,10 OCT 1984,CHN,2,,Shanghai (CHN),13 SEP 2003,1110
26,9:54.36,,Alina CUCERZAN,28 JUL 1974,ROU,4,,Trikala (GRE),24 JUN 2003,1109
27,9:54.43,,Bouchra CHAABI,22 SEP 1980,MAR,1,,Rabat (MAR),14 JUN 2003,1109
28,9:54.91,,Hanne LYNGSTAD,05 DEC 1975,NOR,1,,Fredrikstad (NOR),09 AUG 2003,1107
29,9:55.44,,Johanna RISKU-LEHTINEN,21 FEB 1979,FIN,1,,Karlstad (SWE),24 JUL 2003,1106
30,9:55.71,,Céline RAJOT,22 MAR 1975,FRA,1,,Pezenas (FRA),31 MAY 2003,1105
31,9:57.67,,Galina YEGOROVA,05 AUG 1983,RUS,1,,Tula (RUS),31 MAY 2003,1101
32,9:57.97,,Susanne WIGENE,12 FEB 1978,NOR,2,,Karlstad (SWE),24 JUL 2003,1100
33,9:59.30,,Dawn CLEARY-CROMER,24 NOV 1979,USA,5,,"Palo Alto, CA (USA)",21 JUN 2003,1097
34,10:00.44,,Korene HINDS,18 JAN 1976,JAM,9,,Ostrava (CZE),12 JUN 2003,1094
35,10:00.73,,Valentyna HORPYNYCH,12 MAR 1983,UKR,1,,Kyiv (UKR),04 JUL 2003,1093
36,10:00.93,,Lívia TÓTH,07 JAN 1980,HUN,5,,Lappeenranta (FIN),21 JUN 2003,1093
37,10:01.70,,Rosa María MORATÓ,19 JUN 1979,ESP,1,,Barcelona (ESP),31 MAY 2003,1091
38,10:01.75,,Lydia KURGAT,1976,KEN,1,,Königs Wusterhausen (GER),06 AUG 2003,1091
39,10:02.22,,Julia BUDNIAK,04 MAR 1981,POL,8,,Trikala (GRE),24 JUN 2003,1090
40,10:03.20,,Miranda BOONSTRA,29 AUG 1972,NED,2,,Königs Wusterhausen (GER),06 AUG 2003,1087
41,10:03.44,,Carol HENRY,20 JUN 1982,CAN,7,,"Sacramento, CA (USA)",13 JUN 2003,1087
42,10:03.62,,Analidia TORRE,10 OCT 1976,POR,1,,Seia (POR),02 AUG 2003,1086
43,10:04.14,,Brianna DAHM,13 MAR 1982,USA,8,,"Sacramento, CA (USA)",13 JUN 2003,1085
44,10:04.52,,Jennifer DONOVAN,04 MAY 1982,USA,9,,"Sacramento, CA (USA)",13 JUN 2003,1084
45,10:05.19,,Yamina BOUCHAOUANTE,31 JUL 1980,FRA,2,,Narbonne (FRA),24 JUL 2003,1083
46,10:05.53,,Janet TRUJILLO,07 AUG 1975,USA,1,,"Palo Alto, CA (USA)",09 MAY 2003,1082
47,10:05.70,,Tatyana PETROVA,08 APR 1983,RUS,2,,Cheboksary (RUS),28 JUN 2003,1081
48,10:07.15,,Andrea ETTER,21 JAN 1975,SUI,1,,Århus (DEN),21 JUN 2003,1078
49,10:07.59,,Marzena MICHALSKA,20 OCT 1975,ITA,1,,Ancona (ITA),05 JUL 2003,1077
50,10:07.78,,Molly LANDRETH,27 NOV 1982,USA,3h2,,"Sacramento, CA (USA)",11 JUN 2003,1076
51,10:09.34,,Svetlana IVANOVA,18 AUG 1983,RUS,2,,Moskva (RUS),15 JUL 2003,1073
52,10:09.42,,Tamara SANFABIO,14 MAR 1978,ESP,2,,Jerez (ESP),03 AUG 2003,1073
53,10:09.52,,Valeriya MARA,22 FEB 1983,UKR,6,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",19 JUL 2003,1072
54,10:09.69,,Emma QUAGLIA,15 AUG 1980,ITA,2,,Ancona (ITA),05 JUL 2003,1072
55,10:10.29,,Tatyana VILISOVA,27 NOV 1979,RUS,5,,Tula (RUS),10 AUG 2003,1070
56,10:10.39,,Sarai SARMIENTO,06 DEC 1978,ESP,3,,Jerez (ESP),03 AUG 2003,1070
57,10:10.61,,Andrea KREMER,1982,USA,10,,"Sacramento, CA (USA)",13 JUN 2003,1070
58,10:11.29,,Anzhelika AVERKOVA,13 MAR 1969,UKR,2,,Kyiv (UKR),04 JUL 2003,1068
59,10:11.52,,Urszula NĘCKA,28 JUN 1984,POL,1,,Czestochowa (POL),30 AUG 2003,1068
60,10:12.1h,,Barbora KUNCOVÁ,26 APR 1982,CZE,2,,Praha (CZE),31 MAY 2003,1066
61,10:13.03,,Edyta LEWANDOWSKA,22 NOV 1980,POL,3,,Bielsko-Biala (POL),06 JUL 2003,1064
62,10:13.59,,Clarisse CRUZ,09 JUL 1978,POR,1,,Maia (POR),28 MAY 2003,1063
63,10:13.69,,Barbara PARKER,08 NOV 1982,GBR,3,,Königs Wusterhausen (GER),06 AUG 2003,1062
64,10:13.98,,Gwendoline DESPRES,27 NOV 1983,FRA,8,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",19 JUL 2003,1062
65,10:14.19,,Audrey GIESLER,13 FEB 1983,USA,1,,"Minneapolis, MN (USA)",16 MAY 2003,1061
66,10:14.37,,Lisa ANTONELLI-PRATT,12 MAR 1982,USA,12,,"Sacramento, CA (USA)",13 JUN 2003,1061
67,10:14.38,,Katie SABINO,23 JAN 1979,USA,3,,"Walnut, CA (USA)",17 APR 2003,1061
68,10:14.46,,Haingo RAKOTOMALALA,13 AUG 1981,MAD,3,,Narbonne (FRA),24 JUL 2003,1061
69,10:14.80,,Cătălina OPREA,11 APR 1986,ROU,3,,Bucureşti (ROU),10 AUG 2003,1060
70,10:15.31,,Samira RAIF,04 APR 1974,MAR,2,,Radés (TUN),25 JUN 2003,1059
71,10:15.64,,Kelly MACDONALD-STRONG,27 SEP 1978,USA,1,,"Palo Alto, CA (USA)",02 MAY 2003,1058
72,10:16.41,,Siri Merete ALFHEIM,06 JUL 1976,NOR,4,,Karlstad (SWE),24 JUL 2003,1056
73,10:16.91,,Tracey BRAUKSIECK,24 APR 1984,USA,6h2,,"Sacramento, CA (USA)",11 JUN 2003,1055
74,10:17.28,,Rumyana PANOVSKA,13 MAY 1966,BUL,3,,Velenje (SLO),22 JUN 2003,1054
75,10:17.37,,Sarah PEPERA,1981,USA,3,,"Minneapolis, MN (USA)",16 MAY 2003,1054
76,10:17.55,,Victoria MITCHELL,25 APR 1982,AUS,1,,Melbourne (AUS),09 MAR 2003,1053
77,10:17.68,,Christin JOHANSSON,26 JAN 1978,SWE,2,,Helsinki (FIN),06 SEP 2003,1053
78,10:17.76,,Sophie DUARTE,31 JUL 1981,FRA,9,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",19 JUL 2003,1053
79,10:18.10,,Mollie DEFRANCESCO,17 FEB 1980,USA,2,,"Philadelphia, PA (USA)",25 APR 2003,1052
80,10:18.64,,Alba GARCÍA,23 NOV 1983,ESP,1,,Avila (ESP),26 JUL 2003,1051
81,10:19.22,,Yamilka GONZÁLEZ,23 JAN 1972,ESP,4,,Jerez (ESP),03 AUG 2003,1049
82,10:19.56,,Jolanda VERSTRATEN,26 JUN 1983,NED,4,,Königs Wusterhausen (GER),06 AUG 2003,1048
83,10:19.64,,Alicia FERNÁNDEZ,22 SEP 1978,ESP,5,,Jerez (ESP),03 AUG 2003,1048
84,10:19.88,,Rachel BENNION,1980,USA,8h2,,"Sacramento, CA (USA)",11 JUN 2003,1048
85,10:20.43,,María Isabel LORENZO,23 JUN 1981,ESP,1,,Arona (ESP),26 JUL 2003,1046
86,10:20.75,,Michelle BARRETO DA COSTA,23 JAN 1979,BRA,1,,Rio de Janeiro (BRA),23 MAY 2003,1046
87,10:21.03,,Jinny HANIFAN,06 MAY 1982,USA,7h1,,"Sacramento, CA (USA)",11 JUN 2003,1045
88,10:21.27,,Anna KADZIELA,21 FEB 1980,POL,4,,Bielsko-Biala (POL),06 JUL 2003,1044
89,10:21.35,,Tara KRZYWICKI,09 MAR 1974,GBR,5,,"Stadio Luigi Ridolfi, Firenze (ITA)",22 JUN 2003,1044
90,10:21.48,,Biljana JOVIĆ,02 MAR 1985,SCG,4,,Velenje (SLO),22 JUN 2003,1044
91,10:22.13,,Joanna ANKIER,05 AUG 1982,GBR,11,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",19 JUL 2003,1042
