Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,9:11.97,,Habiba GHRIBI,09 APR 1984,TUN,1,,"DS, Daegu (KOR)",30 AUG 2011,1214
2,9:12.89,,Milcah CHEMOS,24 FEB 1986,KEN,1,,"Stadio Olimpico, Roma (ITA)",26 MAY 2011,1211
3,9:15.04,,Sofia ASSEFA,14 NOV 1987,ETH,2,,"Stadio Olimpico, Roma (ITA)",26 MAY 2011,1206
4,9:16.94,,Mercy Wanjiku NJOROGE,10 JUN 1986,KEN,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011,1201
5,9:19.20,,Lydia Chebet ROTICH,08 AUG 1988,KEN,3,,"Suhaim bin Hamad Stadium, Doha (QAT)",06 MAY 2011,1196
6,9:20.37,,Birtukan ADAMU,29 APR 1992,ETH,4,,"Stadio Olimpico, Roma (ITA)",26 MAY 2011,1193
7,9:23.88,,Hiwot AYALEW,06 MAR 1990,ETH,2,,"Crystal Palace, London (GBR)",06 AUG 2011,1184
8,9:26.03,,Lyudmila REMESLOVA,13 AUG 1987,RUS,1f1,,Cheboksary (RUS),23 JUL 2011,1178
9,9:26.51,,Mekdes BEKELE,20 JAN 1987,ETH,6,,"Boudewijnstadion, Bruxelles (BEL)",16 SEP 2011,1177
10,9:28.27,,Birtukan Fente ALEMU,18 JUN 1989,ETH,6,,"Stade Olympique de la Pontaise, Lausanne (SUI)",30 JUN 2011,1173
11,9:29.75,,Gulnara GALKINA,09 JUL 1978,RUS,3,,"Icahn Stadium, New York, NY (USA)",11 JUN 2011,1169
12,9:30.23,,Almaz AYANA,21 NOV 1991,ETH,1,,Bottrop (GER),15 JUL 2011,1168
13,9:30.73,,Lidya CHEPKURUI,23 AUG 1984,KEN,2,,Barcelona (ESP),22 JUL 2011,1167
14,9:32.74,,Gesa Felicitas KRAUSE,03 AUG 1992,GER,6,,"DS, Daegu (KOR)",30 AUG 2011,1162
15,9:33.50,,Binnaz USLU,12 MAR 1985,TUR,1,,"National Stadium, Shenzhen (CHN)",19 AUG 2011,1160
16,9:34.12,,Christine Kambua MUYANGA,21 MAR 1991,KEN,2,,"Stadion Juliska, Praha (CZE)",13 JUN 2011,1158
17,9:35.11,,Sara MOREIRA,17 OCT 1985,POR,2,,"Olympiastadion, Stockholm (SWE)",18 JUN 2011,1156
18,9:35.46,,Barbara PARKER,08 NOV 1982,GBR,1,,Luzern (SUI),21 JUL 2011,1155
19,9:37.16,,Emma COBURN,19 OCT 1990,USA,8,,"Crystal Palace, London (GBR)",06 AUG 2011,1151
20,9:37.60,,Fionnula BRITTON,24 SEP 1984,IRL,5,,"Icahn Stadium, New York, NY (USA)",11 JUN 2011,1150
21,9:37.85,,Purity KIRUI,13 AUG 1991,KEN,3,,"Stadion Juliska, Praha (CZE)",13 JUN 2011,1149
22,9:37.95,,Hatti DEAN,02 FEB 1982,GBR,6,,"Stadio Olimpico, Roma (ITA)",26 MAY 2011,1149
23,9:38.07,,Korene HINDS,18 JAN 1976,JAM,1,,Gent (BEL),30 JUL 2011,1149
24,9:38.42,,Cristina CASANDRA,01 FEB 1977,ROU,1,,Bucureşti (ROU),09 AUG 2011,1148
25,9:38.92,,Bridget FRANEK,08 NOV 1987,USA,6,,"Icahn Stadium, New York, NY (USA)",11 JUN 2011,1146
26,9:39.21,,Giulia MARTINELLI,16 JUN 1991,ITA,8,,"Boudewijnstadion, Bruxelles (BEL)",16 SEP 2011,1146
27,9:39.48,,Sara HALL,15 APR 1983,USA,7,,"Stadio Olimpico, Roma (ITA)",26 MAY 2011,1145
28,9:39.83,,Gülcan MINGIR,21 MAY 1989,TUR,1,,Bursa (TUR),23 JUN 2011,1144
29,9:40.12,,Zhenzhu LI,13 DEC 1985,CHN,1,,Nice (FRA),18 SEP 2011,1143
30,9:40.28,,Diana MARTÍN,01 APR 1981,ESP,3,,Barcelona (ESP),22 JUL 2011,1143
