Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,8:53.65,,Norah JERUTO,02 OCT 1995,KEN,1,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1261
2,8:57.77,,Courtney FRERICHS,18 JAN 1993,USA,2,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1250
3,9:00.05,,Hyvin KIYENG,13 JAN 1992,KEN,3,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1244
4,9:01.45,,Peruth CHEMUTAI,10 JUL 1999,UGA,1,,"National Stadium, Tokyo (JPN)",04 AUG 2021,1241
5,9:02.52,,Mekides ABEBE,29 JAN 2001,ETH,2,,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1238
6,9:02.64,,Winfred Mutile YAVI,31 DEC 1999,BRN,3,,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1238
7,9:04.94,,Beatrice CHEPKOECH,06 JUL 1991,KEN,2,,"Stade Louis II, Monaco (MON)",09 JUL 2021,1232
8,9:07.07,,Celliphine Chepteek CHESPOL,23 MAR 1999,KEN,5,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1226
9,9:07.61,,Gesa Felicitas KRAUSE,03 AUG 1992,GER,6,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1225
10,9:08.22,,Emma COBURN,19 OCT 1990,USA,5,,"Suhaim bin Hamad Stadium, Doha (QAT)",28 MAY 2021,1223
11,9:13.76,,Yekaterina IVONINA,14 JUN 1994,RUS,1,,"Olympic Stadium, Cheboksary (RUS)",24 JUN 2021,1209
12,9:14.03,,Lomi MULETA,29 NOV 2001,ETH,2,,"FBK Stadium, Hengelo (NED)",08 JUN 2021,1209
13,9:14.84,,Maruša MIŠMAŠ ZRIMŠEK,24 OCT 1994,SLO,6,,"National Stadium, Tokyo (JPN)",04 AUG 2021,1207
14,9:16.41,,Zerfe WONDEMAGEGN,26 OCT 2002,ETH,8,,"National Stadium, Tokyo (JPN)",04 AUG 2021,1203
15,9:16.91,,Purity KIRUI,13 AUG 1991,KEN,4,,"Olympiastadion, Stockholm (SWE)",04 JUL 2021,1201
16,9:16.96,,Leah FALLAND,30 AUG 1992,USA,5,,"Olympiastadion, Stockholm (SWE)",04 JUL 2021,1201
17,9:17.81,,Genevieve GREGSON,04 AUG 1989,AUS,6,,"Stade Louis II, Monaco (MON)",09 JUL 2021,1199
18,9:18.34,,Valerie CONSTIEN,21 MAR 1996,USA,3,,"Hayward Field, Eugene, OR (USA)",24 JUN 2021,1198
19,9:19.68,,Elizabeth BIRD,04 OCT 1994,GBR,9,,"National Stadium, Tokyo (JPN)",04 AUG 2021,1194
20,9:20.32,,Xinyan ZHANG,09 FEB 1994,CHN,1,,Shaoxing (CHN),08 APR 2021,1193
21,9:21.67,,Rosefline CHEPNGETICH,17 JUN 1997,KEN,8,,"Letzigrund, Zürich (SUI)",09 SEP 2021,1189
22,9:22.40,,Geneviève LALONDE,05 SEP 1991,CAN,11,,"National Stadium, Tokyo (JPN)",04 AUG 2021,1187
23,9:22.69,,Marisa HOWARD,10 AUG 1992,USA,9,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1187
24,9:23.09,,Courtney WAYMENT,04 AUG 1998,USA,4,,"Hayward Field, Eugene, OR (USA)",24 JUN 2021,1186
