Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,9:01.59,,Gulnara SAMITOVA,09 JUL 1978,RUS,1,,Herakleion (GRE),04 JUL 2004,1240
2,9:28.02,,Lyubov KHARLAMOVA,02 MAR 1981,RUS,2,,Rieti (ITA),05 SEP 2004,1173
3,9:29.30,,Dorcus INZIKURU,02 FEB 1982,UGA,2,,Herakleion (GRE),04 JUL 2004,1170
4,9:29.32,,Briana SHOOK,06 JAN 1981,USA,1,,Heusden-Zolder (BEL),31 JUL 2004,1170
5,9:29.81,,Salome CHEPCHUMBA,29 SEP 1982,KEN,2,,Heusden-Zolder (BEL),31 JUL 2004,1169
6,9:30.35,,Bouchra CHAABI,22 SEP 1980,MAR,3,,Herakleion (GRE),04 JUL 2004,1168
7,9:31.96,,Cristina CASANDRA,01 FEB 1977,ROU,4,,Herakleion (GRE),04 JUL 2004,1164
8,9:35.28,,Sigrid VANDEN BEMPT,10 FEB 1981,BEL,3,,Heusden-Zolder (BEL),31 JUL 2004,1155
9,9:39.35,,Ann GAFFIGAN,05 OCT 1981,USA,1,,"Sacramento, CA (USA)",15 JUL 2004,1145
10,9:39.84,,Lívia TÓTH,07 JAN 1980,HUN,5,,Herakleion (GRE),04 JUL 2004,1144
11,9:41.81,,Élodie OLIVARÈS,22 MAY 1976,FRA,1,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2004,1139
12,9:43.00,,Anália ROSA,28 FEB 1976,POR,6,,Herakleion (GRE),04 JUL 2004,1136
13,9:43.25,,Ida NILSSON,08 FEB 1981,SWE,1,,"Northridge, CA (USA)",29 MAY 2004,1136
14,9:44.68,,Kassi ANDERSEN,25 JUN 1983,USA,2,,"Northridge, CA (USA)",29 MAY 2004,1132
15,9:45.21,,Susanne WIGENE,12 FEB 1978,NOR,1,,Königs Wusterhausen (GER),10 SEP 2004,1131
16,9:45.60,,Róisín MCGETTIGAN,23 AUG 1980,IRL,4,,Heusden-Zolder (BEL),31 JUL 2004,1130
17,9:47.26,,Gladys Jerotich KIPKEMOI,15 OCT 1986,KEN,1,,"Stadio Zecchini, Grosseto (ITA)",15 JUL 2004,1126
18,9:48.97,,Fatiha BAHI AZZOUHOUM,08 MAR 1983,ALG,8,,Herakleion (GRE),04 JUL 2004,1122
19,9:49.03,,Ancuţa BOBOCEL,03 OCT 1987,ROU,2,,"Stadio Zecchini, Grosseto (ITA)",15 JUL 2004,1122
20,9:49.24,,Svetlana IVANOVA,18 AUG 1983,RUS,1,,Kazan (RUS),09 JUL 2004,1121
20,9:49.24,,Alina PROCA,24 OCT 1983,ROU,2,,Bucureşti (ROU),08 AUG 2004,1121
22,9:49.40,,Carrie MESSNER-VICKERS,07 JUN 1977,USA,5,,Heusden-Zolder (BEL),31 JUL 2004,1121
23,9:49.43,,Irene LIMIKA,28 AUG 1979,KEN,6,,Heusden-Zolder (BEL),31 JUL 2004,1121
24,9:50.04,,Cătălina OPREA,11 APR 1986,ROU,3,,"Stadio Zecchini, Grosseto (ITA)",15 JUL 2004,1119
25,9:50.08,,Michaela MANNOVÁ,11 JAN 1982,CZE,3,,Plovdiv (BUL),19 JUN 2004,1119
26,9:50.14,,Tatyana VILISOVA,27 NOV 1979,RUS,2,,Tula (RUS),29 JUL 2004,1119
27,9:50.27,,Justyna BĄK,01 AUG 1974,POL,5,,Ostrava (CZE),08 JUN 2004,1119
28,9:50.64,,Korene HINDS,18 JAN 1976,JAM,6,,Ostrava (CZE),08 JUN 2004,1118
29,9:51.08,,Rosa María MORATÓ,19 JUN 1979,ESP,3,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2004,1117
30,9:51.17,,Miranda BOONSTRA,29 AUG 1972,NED,7,,Heusden-Zolder (BEL),31 JUL 2004,1116
31,9:52.11,,Elizabeth JACKSON,27 OCT 1977,USA,4,,"Sacramento, CA (USA)",15 JUL 2004,1114
32,9:52.25,,Mercy Wanjiku NJOROGE,10 JUN 1986,KEN,4,,"Stadio Zecchini, Grosseto (ITA)",15 JUL 2004,1114
33,9:52.96,,Yamina BOUCHAOUANTE,31 JUL 1980,FRA,7,,Ostrava (CZE),08 JUN 2004,1112
34,9:53.18,,Hanne LYNGSTAD,05 DEC 1975,NOR,10,,Herakleion (GRE),04 JUL 2004,1112
35,9:54.25,,Stephanie DE CROOCK,04 MAR 1979,BEL,9,,Heusden-Zolder (BEL),31 JUL 2004,1109
36,9:54.62,,Marzena MICHALSKA,20 OCT 1975,ITA,8,,Ostrava (CZE),08 JUN 2004,1108
37,9:55.24,,Clarisse CRUZ,09 JUL 1978,POR,2,,"Estadio Iberoamericano, Huelva (ESP)",06 AUG 2004,1107
38,9:55.75,,Lisa AGUILERA,30 NOV 1979,USA,1,,"Los Angeles, CA (USA)",27 JUN 2004,1105
39,9:55.82,,Johanna RISKU-LEHTINEN,21 FEB 1979,FIN,2,,Istanbul (TUR),19 JUN 2004,1105
40,9:56.22,,Yamilka GONZÁLEZ,23 JAN 1972,ESP,3,,"Estadio Iberoamericano, Huelva (ESP)",06 AUG 2004,1104
41,9:56.51,,Rasa MICHNIOVAITĖ-TROUP,01 MAR 1977,LTU,1,,"La Crosse, WI (USA)",21 MAY 2004,1103
42,9:56.60,,Kelly MACDONALD-STRONG,27 SEP 1978,USA,5,,"Sacramento, CA (USA)",15 JUL 2004,1103
43,9:56.92,,Valentyna HORPYNYCH,12 MAR 1983,UKR,1,,Kyiv (UKR),07 AUG 2004,1103
44,9:57.35,,Valeriya MARA,22 FEB 1983,UKR,1,,Kyiv (UKR),24 JUL 2004,1101
45,9:58.26,,Natalya IZMODENOVA,1981,RUS,3,,Kazan (RUS),09 JUL 2004,1099
46,9:58.67,,Zhenzhu LI,13 DEC 1985,CHN,1,,Hefei (CHN),25 SEP 2004,1098
47,9:59.33,,Verena DREIER,15 JAN 1985,GER,5,,"Stadio Zecchini, Grosseto (ITA)",15 JUL 2004,1097
48,10:00.07,,Dawn CLEARY-CROMER,24 NOV 1979,USA,2,,"Los Angeles, CA (USA)",27 JUN 2004,1095
49,10:00.32,,Yuliya MOCHALOVA,26 MAY 1987,RUS,1,,Cheboksary (RUS),28 JUN 2004,1094
50,10:00.89,,Tina BROWN,22 AUG 1976,GBR,2,,Königs Wusterhausen (GER),10 SEP 2004,1093
51,10:02.22,,Carol HENRY,20 JUN 1982,CAN,1,,"Chapel Hill, NC (USA)",15 APR 2004,1090
52,10:02.90,,Natalya CHEREPANOVA,09 MAR 1967,RUS,5,,Tula (RUS),29 JUL 2004,1088
53,10:03.56,,Michelle BARRETO DA COSTA,23 JAN 1979,BRA,1,,São Paulo (BRA),03 JUN 2004,1087
54,10:04.22,,Andrea ETTER,21 JAN 1975,SUI,10,,Heusden-Zolder (BEL),31 JUL 2004,1085
55,10:05.68,,Alina CUCERZAN,28 JUL 1974,ROU,5,,Doha (QAT),14 MAY 2004,1081
56,10:06.55,,Lydia KURGAT,1976,KEN,11,,Heusden-Zolder (BEL),31 JUL 2004,1079
57,10:06.7h,,Zeddy CHEBOI,,KEN,3,,Nairobi (KEN),16 JUN 2004,1079
58,10:06.96,,Biljana JOVIĆ,02 MAR 1985,SCG,6,,"Stadio Zecchini, Grosseto (ITA)",15 JUL 2004,1078
59,10:07.55,,Kathleen TROTTER,04 APR 1985,USA,4,,"Northridge, CA (USA)",29 MAY 2004,1077
60,10:07.79,,Xiaofang CHEN,28 OCT 1981,CHN,1,,Shijiazhuang (CHN),22 MAY 2004,1076
61,10:08.92,,Yekaterina CHEBOTARYOVA,06 NOV 1982,RUS,2,,Cheboksary (RUS),17 JUL 2004,1074
62,10:09.26,,Eszter ERDÉLYI,25 MAY 1982,HUN,1,,Budapest (HUN),06 JUN 2004,1073
63,10:09.48,,Joanna ANKIER,05 AUG 1982,GBR,12,,Heusden-Zolder (BEL),31 JUL 2004,1072
64,10:09.75,,Jane RUDKIN,15 MAY 1980,USA,3,,"Los Angeles, CA (USA)",27 JUN 2004,1072
65,10:09.90,,Helen HOFSTEDE,31 DEC 1980,NED,1,,"Gainesville, FL (USA)",29 MAY 2004,1071
66,10:10.50,,Konstantina KEFALA,09 AUG 1977,GRE,14,,Herakleion (GRE),04 JUL 2004,1070
67,10:10.66,,Zenaide VIEIRA,25 JUN 1985,BRA,2h1,,"Stadio Zecchini, Grosseto (ITA)",13 JUL 2004,1070
68,10:11.23,,Tamara SANFABIO,14 MAR 1978,ESP,2,,Gavá (ESP),13 JUN 2004,1068
69,10:11.42,,Naoual BAIBY,17 JAN 1984,MAR,2,,Brazzaville (CGO),16 JUL 2004,1068
70,10:11.81,,María Isabel LORENZO,23 JUN 1981,ESP,3,,Almería (ESP),01 AUG 2004,1067
71,10:11.98,,Monica AMBOYA,09 JUL 1982,ECU,5,,"Estadio Iberoamericano, Huelva (ESP)",06 AUG 2004,1066
72,10:12.06,,Urszula NĘCKA,28 JUN 1984,POL,3,,Königs Wusterhausen (GER),10 SEP 2004,1066
73,10:12.26,,Amber FERNER,18 JAN 1983,USA,1,,"West Lafayette, IN (USA)",15 MAY 2004,1066
74,10:12.30,,Xianfen JIN,13 JAN 1987,CHN,3,,Hefei (CHN),25 SEP 2004,1066
75,10:13.12,,Jinny HANIFAN,06 MAY 1982,USA,3,,"Walnut, CA (USA)",17 APR 2004,1064
75,10:13.12,,Letiwe MARAKURWA,02 JUN 1978,ZIM,3,,"Walnut, CA (USA)",17 APR 2004,1064
77,10:13.23,,Julia BUDNIAK,04 MAR 1981,POL,2,,Bydgoszcz (POL),04 JUL 2004,1063
78,10:13.31,,Victoria MITCHELL,25 APR 1982,AUS,2,,"Baton Rouge, LA (USA)",29 MAY 2004,1063
79,10:13.5h,,S. TOROTICH,,KEN,4,,Nairobi (KEN),16 JUN 2004,1063
80,10:13.68,,Lisa ANTONELLI-PRATT,12 MAR 1982,USA,5,,"Walnut, CA (USA)",17 APR 2004,1062
81,10:14.01,,María Elena MORENO,14 MAR 1979,ESP,1,,Santander (ESP),13 JUL 2004,1062
