Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
45,9:31.39,,Lexy HALLADAY,23 JUL 2001,USA,8,,"Hayward Field, Eugene, OR (USA)",08 JUL 2023,1165
46,9:31.84,,Kinga KRÓLIK,26 SEP 1999,POL,2,,"Stadion im.Lubuskich Olimpijczyków, Gorzów Wielkopolski (POL)",27 JUL 2023,1164
47,9:32.48,,Colleen QUIGLEY,20 NOV 1992,USA,1,,"Mt. Hood Community College, Gresham, OR (USA)",03 JUN 2023,1162
48,9:32.58,,Carmen GRAVES,27 JAN 1991,USA,9,,"Hayward Field, Eugene, OR (USA)",08 JUL 2023,1162
49,9:32.93,,Fancy CHERONO,02 AUG 2001,KEN,3,,"Campo Scuola Moreno Martini, Lucca (ITA)",04 JUN 2023,1161
50,9:33.25,,Emilia LILLEMO,05 JAN 2000,SWE,1,,"Olympiastadion, Stockholm (SWE)",03 SEP 2023,1160
51,9:33.40,,Juliane HVID,08 APR 1998,DEN,8,,"Olympic Stadium, London (GBR)",23 JUL 2023,1160
52,9:33.95,,Semra KARASLAN,18 JAN 1998,TUR,1,,"Atıcılar Atletizm Sahası, Bursa (TUR)",08 JUL 2023,1159
53,9:34.07,,Aude CLAVIER,10 JAN 1999,FRA,4,,"Estadi Joan Serrahima, Barcelona (ESP)",05 JUL 2023,1158
54,9:34.17,,Ikram OUAAZIZ,06 JUL 1999,MAR,4,,"Campo Scuola Moreno Martini, Lucca (ITA)",04 JUN 2023,1158
55,9:34.76,,Michelle FINN,16 DEC 1989,IRL,10,,"Olympic Stadium, London (GBR)",23 JUL 2023,1157
56,9:35.25,,Pamela KOSGEI,05 JUL 2004,KEN,1,,"Nyayo National Stadium, Nairobi (KEN)",24 JUN 2023,1155
57,9:35.68,,Caren CHEBET,24 MAY 2000,KEN,2,,"Nyayo National Stadium, Nairobi (KEN)",24 JUN 2023,1154
58,9:35.73,,Sümeyye EROL,15 JUN 1997,TUR,5,,"Campo Scuola Moreno Martini, Lucca (ITA)",04 JUN 2023,1154
59,9:35.85,,Doris Lengole CHEROP,05 FEB 2002,KEN,1,,"Nyayo National Stadium, Nairobi (KEN)",25 FEB 2023,1154
60,9:36.32,,Adva COHEN,24 MAR 1996,ISR,4,,"Forest Stadium, Sopot (POL)",30 AUG 2023,1153
61,9:36.54,,Simone FERRAZ,12 MAR 1990,BRA,5,,"Lantos Mihály Sportközpont, Budapest (HUN)",08 JUN 2023,1152
62,9:37.81,,Kayley DELAY,07 JUN 1999,USA,5,,"McLeod Stadium, Langley (CAN)",14 JUL 2023,1149
63,9:39.11,,Stella RADFORD,25 JUN 1995,AUS,2,,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",25 MAR 2023,1146
64,9:39.39,,Elise THORNER,16 MAR 2001,GBR,1f7,,"Cougar Athletic Stadium, Azusa, CA (USA)",13 APR 2023,1145
65,9:39.47,,Belén CASETTA,26 SEP 1994,ARG,1,,Santiago de Chile (CHI),04 NOV 2023,1145
66,9:39.57,,Diana CHEPKEMOI,25 JAN 2007,KEN,5,,"Nyayo National Stadium, Nairobi (KEN)",08 JUL 2023,1145
67,9:39.98,,Alycia BUTTERWORTH,01 OCT 1992,CAN,6,,"McLeod Stadium, Langley (CAN)",14 JUL 2023,1144
68,9:40.64,,Brielle ERBACHER,28 FEB 1999,AUS,3,,"Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)",25 MAR 2023,1142
69,9:40.65,,Nilani RATHNAYAKA,08 AUG 1990,SRI,1,,"Mahinda Rajapaksha Stadium, Diyagama (SRI)",20 MAR 2023,1142
70,9:40.88,,Leah JERUTO,12 MAY 2000,KEN,4,,"Nyayo National Stadium, Nairobi (KEN)",24 JUN 2023,1142
71,9:40.90,,Eleonora CURTABBI,27 MAR 1997,ITA,6,,"Estadi Joan Serrahima, Barcelona (ESP)",05 JUL 2023,1142
72,9:42.08,,Madeline STRANDEMO,12 JUL 1995,USA,3,,"Mt. Hood Community College, Gresham, OR (USA)",03 JUN 2023,1139
73,9:42.63,,Patrycja KAPAŁA,26 MAR 1997,POL,4,,"Stadion im.Lubuskich Olimpijczyków, Gorzów Wielkopolski (POL)",27 JUL 2023,1137
74,9:43.20,,Nataliya STREBKOVA,06 MAR 1995,UKR,14,,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023,1136
75,9:43.26,,Derya KUNUR,01 SEP 1999,TUR,3,,"Atıcılar Atletizm Sahası, Bursa (TUR)",08 JUL 2023,1136
76,9:43.27,,Xinyan ZHANG,09 FEB 1994,CHN,1,,"Sports Center, Quzhou (CHN)",22 JUL 2023,1136
77,9:43.29,,Purity KIRUI,13 AUG 1991,KEN,6,,"Nyayo National Stadium, Nairobi (KEN)",08 JUL 2023,1136
78,9:43.32,,. PRITI,18 DEC 1995,IND,3,,"HOC Stadium, Hangzhou (CHN)",02 OCT 2023,1136
79,9:43.50,,Stella RUTTO,12 DEC 1996,ROU,1,,"Stadionul Iolanda Balas Soter, Bucureşti (ROU)",20 MAY 2023,1135
80,9:43.71,,Tigest Getent MEKONEN,07 JUL 1997,BRN,4,,"HOC Stadium, Hangzhou (CHN)",02 OCT 2023,1135
81,9:43.88,,Blanca FERNÁNDEZ,01 APR 1992,ESP,8,,"Estadi Joan Serrahima, Barcelona (ESP)",05 JUL 2023,1134
82,9:43.95,,Rihab DHAHRI,09 SEP 2003,TUN,1,,"Stedelijke Atletiekpiste, Ninove (BEL)",22 JUL 2023,1134
83,9:44.11,,Katherine THRONSON,23 AUG 2000,USA,2,,"Paul Derr TF Facility, Raleigh, NC (USA)",12 MAY 2023,1134
84,9:44.54,,Shuangshuang XU,06 APR 1996,CHN,2,,"Supachalasai National Stadium, Bangkok (THA)",14 JUL 2023,1133
85,9:44.57,,Angelina ELLIS,09 AUG 1998,USA,2f7,,"Cougar Athletic Stadium, Azusa, CA (USA)",13 APR 2023,1133
86,9:44.85,,Pauline MEYER,13 JAN 1999,GER,3h1,,"Hornet Stadium - Sac St., Sacramento, CA (USA)",27 MAY 2023,1132
87,9:45.11,,Winnie JEMUTAI,04 OCT 2003,KEN,1,,"Ulinzi Sports Complex, Langata, Nairobi (KEN)",25 MAY 2023,1131
88,9:45.39,,Tatsiana SHABANAVA,20 MAR 1998,BLR,1,,"Znamenskikh Stadion, Moskva (RUS)",22 JUL 2023,1131
89,9:45.8h,,Abigael CHELAGAT,2002,KEN,2,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",26 MAY 2023,1130
90,9:46.23,,Daisy JEPKEMEI,13 FEB 1996,KAZ,12h2,,"Nemzeti Atlétikai Központ, Budapest (HUN)",23 AUG 2023,1128
91,9:46.27,,Georgia WINKCUP,09 MAY 1997,AUS,1,,"Municipal Stadium, Hiroshima (JPN)",29 APR 2023,1128
92,9:46.37,,Emma GEE,17 AUG 1997,USA,3,,"Los Angeles, CA (USA)",22 JUL 2023,1128
93,9:46.46,,Julia KORALEWSKA,17 FEB 2002,POL,5,,"Stadion im.Lubuskich Olimpijczyków, Gorzów Wielkopolski (POL)",27 JUL 2023,1128
