Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
45,9:32.95,,Elizabeth BIRD,04 OCT 1994,GBR,9,,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1161
46,9:33.17,,Aneta KONIECZEK,08 JUN 1997,POL,4,,"Stadion Śląski, Chorzów (POL)",18 MAY 2024,1161
47,9:35.21,,Blanca FERNÁNDEZ,01 APR 1992,ESP,2,,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",22 MAY 2024,1156
48,9:35.33,,Olivia MARKEZICH,10 AUG 2000,USA,1sf1,,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",25 MAY 2024,1155
49,9:35.57,,Adva COHEN,24 MAR 1996,ISR,12,,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1155
50,9:35.99,,Yekaterina IVONINA,14 JUN 1994,RUS,1,,"Slava Metreveli Stadium, Sochi (RUS)",22 MAY 2024,1154
51,9:36.22,,Sümeyye EROL,15 JUN 1997,TUR,2f2,,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",11 MAY 2024,1153
52,9:36.56,,Derya KUNUR,01 SEP 1999,TUR,3,,"Estadio Iberoamericano, Huelva (ESP)",30 APR 2024,1152
53,9:36.87,,Nataliya STREBKOVA,06 MAR 1995,UKR,1,,"Stadion, Lahti (FIN)",24 MAY 2024,1151
54,9:36.88,,Ilona MONONEN,18 DEC 2003,FIN,2,,"Stadion, Lahti (FIN)",24 MAY 2024,1151
55,9:37.07,,Ikram OUAAZIZ,06 JUL 1999,MAR,3,,"Paul-Greifzu-Stadion, Dessau (GER)",24 MAY 2024,1151
56,9:37.31,,Greta KARINAUSKAITĖ,11 FEB 2001,LTU,6f1,,"Cougar Athletic Stadium, Azusa, CA (USA)",11 APR 2024,1150
57,9:38.62,,Shuangshuang XU,06 APR 1996,CHN,13,,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1147
58,9:38.71,,Tuğba GÜVENÇ,09 JUL 1994,TUR,1,,"The TF Complex at Mylan Park, Morgantown, WV (USA)",27 APR 2024,1147
59,9:39.62,,Grace FETHERSTONHAUGH,13 OCT 2000,CAN,11,,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1145
60,9:39.91,,Ruken TEK,01 MAY 2001,TUR,4,,"Estadio Iberoamericano, Huelva (ESP)",30 APR 2024,1144
61,9:39.94,,Leah JERUTO,12 MAY 2000,KEN,2,,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1144
62,9:39.97,,Emilia LILLEMO,05 JAN 2000,SWE,5,,"Estadio Iberoamericano, Huelva (ESP)",30 APR 2024,1144
62,9:39.97,,Rihab DHAHRI,09 SEP 2003,TUN,4f1,,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1144
64,9:40.49,,Katherine THRONSON,23 AUG 2000,USA,5,,"Drake Stadium, Des Moines, IA (USA)",27 APR 2024,1143
65,9:41.00,,Judi JONES,28 MAR 1997,USA,5,,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1141
66,9:41.11,,Stella RADFORD,25 JUN 1995,AUS,6,,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1141
67,9:41.25,,Jessica FURLAN,15 MAR 1990,CAN,1f2,,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1141
68,9:41.70,,Juliane HVID,08 APR 1998,DEN,5f1,,"Boudewijnstadion, Bruxelles (BEL)",26 MAY 2024,1140
69,9:42.26,,Carmen GRAVES,27 JAN 1991,USA,1,,"Dean A. Hayes Track and Soccer Stadium, Murfreesboro, TN (USA)",31 MAY 2024,1138
70,9:43.05,,Caren CHEBET,24 MAY 2000,KEN,1,,"Nyayo National Stadium, Nairobi (KEN)",06 MAR 2024,1136
