Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,12:50.18,,Kenenisa BEKELE,13 JUN 1982,ETH,1,,"Letzigrund, Zürich (SUI)",29 AUG 2008,1246
2,12:50.55,,Moses Ndiema MASAI,01 JUN 1986,KEN,1,,"Olympiastadion, Berlin (GER)",01 JUN 2008,1244
3,12:52.45,,Tariku BEKELE,28 FEB 1987,ETH,2,,"Olympiastadion, Berlin (GER)",01 JUN 2008,1237
4,12:54.70,,Moses Ndiema KIPSIRO,02 SEP 1986,UGA,3,,"Olympiastadion, Berlin (GER)",01 JUN 2008,1229
5,12:57.56,,Abraham CHERKOS,23 SEP 1989,ETH,4,,"Olympiastadion, Berlin (GER)",01 JUN 2008,1219
6,12:58.41,,Sileshi SIHINE,29 JAN 1983,ETH,1,,Huelva (ESP),13 JUN 2008,1215
7,13:02.06,,Eliud KIPCHOGE,05 NOV 1984,KEN,1,,Ostrava (CZE),12 JUN 2008,1202
8,13:02.84,,Mourad MAROUFIT,26 JAN 1982,MAR,1f1,,Heusden-Zolder (BEL),20 JUL 2008,1199
9,13:02.86,,Silas KIPRUTO,26 SEP 1984,KEN,5,,"Olympiastadion, Berlin (GER)",01 JUN 2008,1199
10,13:03.04,,Levi Omari MATEBO,03 NOV 1989,KEN,2f1,,Heusden-Zolder (BEL),20 JUL 2008,1198
11,13:03.71,,Micah Kemboi KOGO,30 JUN 1986,KEN,2,,Barcelona (ESP),19 JUL 2008,1196
12,13:04.06,,Monder RIZKI,16 AUG 1979,BEL,3f1,,Heusden-Zolder (BEL),20 JUL 2008,1195
13,13:04.70,,James Kwalia C'KURUI,12 JUN 1984,QAT,4f1,,Heusden-Zolder (BEL),20 JUL 2008,1192
14,13:04.91,,Bekana DABA,29 JUL 1988,ETH,5f1,,Heusden-Zolder (BEL),20 JUL 2008,1192
15,13:05.27,,Mang'ata Kimai NDIWA,12 DEC 1987,KEN,6f1,,Heusden-Zolder (BEL),20 JUL 2008,1190
16,13:06.17,,Josphat Kiprono MENJO,20 AUG 1979,KEN,2,,Huelva (ESP),13 JUN 2008,1187
17,13:06.22,,Edwin Cheruiyot SOI,03 MAR 1986,KEN,3,,"National Stadium, Beijing (CHN)",23 AUG 2008,1187
18,13:06.25,,Isaac Kiprono SONGOK,25 APR 1984,KEN,3,,Ostrava (CZE),12 JUN 2008,1187
19,13:06.41,,Vincent Kiprop CHEPKOK,05 JUL 1988,KEN,7f1,,Heusden-Zolder (BEL),20 JUL 2008,1186
20,13:06.52,,Ali ABDOSH,25 AUG 1987,ETH,4,,Ostrava (CZE),12 JUN 2008,1186
21,13:06.60,,Mark Kosgei KIPTOO,21 JUN 1976,KEN,4,,"Stadio Olimpico, Roma (ITA)",11 JUL 2008,1186
22,13:06.61,,Joseph EBUYA,20 JUN 1987,KEN,5,,"Stadio Olimpico, Roma (ITA)",11 JUL 2008,1185
23,13:06.81,,Aziz Naji EL IDRISSI,08 DEC 1986,MAR,8f1,,Heusden-Zolder (BEL),20 JUL 2008,1185
24,13:07.57,,Sultan Khamis ZAMAN,23 JUL 1985,QAT,9f1,,Heusden-Zolder (BEL),20 JUL 2008,1182
25,13:07.88,,Abraham CHEBII,23 DEC 1979,KEN,7,,"Stadio Olimpico, Roma (ITA)",11 JUL 2008,1181
26,13:08.02,,Essa Ismail RASHED,14 DEC 1986,QAT,10f1,,Heusden-Zolder (BEL),20 JUL 2008,1180
27,13:08.11,,Mo FARAH,23 MAR 1983,GBR,4,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2008,1180
28,13:08.20,,Imane MERGA,15 OCT 1988,ETH,5,,Ostrava (CZE),12 JUN 2008,1180
29,13:08.22,,Markos GENETI,07 JUN 1984,ETH,6,,Ostrava (CZE),12 JUN 2008,1180
30,13:08.96,,Dejen GEBREMESKEL,24 NOV 1989,ETH,2,,"Carson, CA (USA)",18 MAY 2008,1177
31,13:09.75,,Augustine Kiprono CHOGE,21 JAN 1987,KEN,9,,Ostrava (CZE),12 JUN 2008,1174
32,13:09.84,,Kaan Kigen ÖZBILEN,15 JAN 1986,KEN,6,,"Boudewijnstadion, Bruxelles (BEL)",05 SEP 2008,1174
33,13:09.97,,Ahmad Hassan ABDULLAH,04 APR 1981,QAT,5,,"Letzigrund, Zürich (SUI)",29 AUG 2008,1173
34,13:10.19,,Adrian BLINCOE,04 NOV 1979,NZL,11f1,,Heusden-Zolder (BEL),20 JUL 2008,1173
35,13:10.72,,Rashid RAMZI,17 JUL 1980,BRN,1,,Tanger (MAR),13 JUL 2008,1171
36,13:11.24,,Anis SELMOUNI,15 MAR 1979,MAR,2,,Rabat (MAR),14 JUN 2008,1169
36,13:11.24,,Jonas CHERUIYOT,11 JAN 1984,KEN,3,,Barcelona (ESP),19 JUL 2008,1169
38,13:11.57,,Mathew Kipkoech KISORIO,16 MAY 1989,KEN,2,,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",13 JUL 2008,1168
39,13:11.69,,Dino SEFIR,28 MAY 1988,ETH,12,,Ostrava (CZE),12 JUN 2008,1167
40,13:11.81,,Gideon NGATUNYI,10 OCT 1986,KEN,1f21,,Yokohama (JPN),22 JUN 2008,1167
41,13:11.99,,Craig MOTTRAM,18 JUN 1980,AUS,1,,Melbourne (AUS),21 FEB 2008,1166
42,13:12.02,,Jonathan Kipkoech KOMEN,04 FEB 1982,KEN,2,,Milano (ITA),02 JUL 2008,1166
43,13:12.18,,Alex KORIO,20 NOV 1990,KEN,3,,Milano (ITA),02 JUL 2008,1165
44,13:12.22,,Abebe DINKESA,06 MAR 1984,ETH,4,,Milano (ITA),02 JUL 2008,1165
