Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
45,13:13.47,,Athanas KIOKO,26 FEB 1995,KEN,3,,"Hayward Field, Eugene, OR (USA)",11 JUN 2021,1161
46,13:13.67,,Morgan MCDONALD,23 APR 1996,AUS,1,,"Parc des Sports C. Ehrmann, Nice (FRA)",12 JUN 2021,1160
47,13:13.69,,Mike FOPPEN,29 NOV 1996,NED,2,,"Parc des Sports C. Ehrmann, Nice (FRA)",12 JUN 2021,1160
48,13:14.10,,Justus SOGET,22 OCT 1999,KEN,1f13,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",06 JUN 2021,1158
49,13:14.21,,Stanley Waithaka MBURU,09 APR 2000,KEN,2f20,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",03 OCT 2021,1158
50,13:14.39,,Gemechu DIDA,12 SEP 1999,ETH,1f1,,"Stadion De Veen, Heusden-Zolder (BEL)",03 JUL 2021,1157
51,13:14.47,,Abdelaati IGUIDER,25 MAR 1987,MAR,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",27 APR 2021,1157
52,13:14.74,,Wesley KIPTOO,1999,KEN,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",04 DEC 2021,1207
53,13:15.15,,Vincent Kibet YEGON,05 DEC 2000,KEN,1f10,,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",09 MAY 2021,1155
54,13:15.91,,Jonas RAESS,08 MAR 1994,SUI,4,,"Parc des Sports C. Ehrmann, Nice (FRA)",12 JUN 2021,1152
55,13:16.40,,Hyuga ENDO,05 AUG 1998,JPN,2,,"Takebishi Stadium, Kyoto (JPN)",10 DEC 2021,1150
56,13:16.53,,Kazuya SHIOJIRI,08 NOV 1996,JPN,3,,"Takebishi Stadium, Kyoto (JPN)",10 DEC 2021,1150
