Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:51.48,Asbel KIPROP,30 JUN 1989,KEN,1,,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1182
2,3:51.54,Asbel KIPROP,30 JUN 1989,KEN,1,,"Hayward Field, Eugene, OR (USA)",28 MAY 2016,1181
3,3:51.96,Abdelaati IGUIDER,25 MAR 1987,MAR,2,,"Hayward Field, Eugene, OR (USA)",28 MAY 2016,1175
4,3:52.04,Elijah Motonei MANANGOI,05 JAN 1993,KEN,2,,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1174
5,3:52.24,Taoufik MAKHLOUFI,29 APR 1988,ALG,3,,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1172
6,3:52.26,Nick WILLIS,25 APR 1983,NZL,4,,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1172
7,3:52.39,Elijah Motonei MANANGOI,05 JAN 1993,KEN,3,,"Hayward Field, Eugene, OR (USA)",28 MAY 2016,1170
8,3:52.59,Ryan GREGSON,26 APR 1990,AUS,5,,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1167
9,3:52.64,Charlie DA'VALL GRICE,07 NOV 1993,GBR,1,,"Hayward Field, Eugene, OR (USA)",28 MAY 2016,1167
10,3:52.71,Vincent KIBET,06 MAY 1991,KEN,4,,"Hayward Field, Eugene, OR (USA)",28 MAY 2016,1166
11,3:52.85,Charlie DA'VALL GRICE,07 NOV 1993,GBR,6,,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1164
12,3:52.95,Taoufik MAKHLOUFI,29 APR 1988,ALG,5,,"Hayward Field, Eugene, OR (USA)",28 MAY 2016,1163
13,3:53.04,Silas KIPLAGAT,20 AUG 1989,KEN,1,,"Olympic Stadium, London (GBR)",22 JUL 2016,1162
14,3:53.17,Timothy CHERUIYOT,20 NOV 1995,KEN,2,,"Olympic Stadium, London (GBR)",22 JUL 2016,1160
15,3:53.19,Henrik INGEBRIGTSEN,24 FEB 1991,NOR,7,,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1160
15,3:53.19,Vincent KIBET,06 MAY 1991,KEN,3,,"Olympic Stadium, London (GBR)",22 JUL 2016,1160
17,3:53.23,Aman WOTE,18 APR 1984,ETH,6,,"Hayward Field, Eugene, OR (USA)",28 MAY 2016,1159
18,3:53.83,Ben BLANKENSHIP,15 DEC 1988,USA,7,,"Hayward Field, Eugene, OR (USA)",28 MAY 2016,1152
19,3:54.20,Jake WIGHTMAN,11 JUL 1994,GBR,4,,"Olympic Stadium, London (GBR)",22 JUL 2016,1147
20,3:54.21,Evan JAGER,08 MAR 1989,USA,8,,"Hayward Field, Eugene, OR (USA)",28 MAY 2016,1147
21,3:54.57,Kyle MERBER,19 NOV 1990,USA,1,,"Raleigh, NC (USA)",05 AUG 2016,1142
22,3:54.94,Colby ALEXANDER,13 JUN 1991,USA,2,,"Raleigh, NC (USA)",05 AUG 2016,1137
23,3:54.99,David TORRENCE,26 NOV 1985,PER,1,,"South Huntington, NY (USA)",31 AUG 2016,1137
24,3:55.01,Johan ROGESTEDT,27 JAN 1993,SWE,5,,"Olympic Stadium, London (GBR)",22 JUL 2016,1137
25,3:55.02,Filip INGEBRIGTSEN,20 APR 1993,NOR,8,,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1136
26,3:55.25,Charles PHILIBERT-THIBOUTOT,31 DEC 1990,CAN,2,,"South Huntington, NY (USA)",31 AUG 2016,1134
27,3:55.27,John GREGOREK,07 DEC 1991,USA,3,,"Raleigh, NC (USA)",05 AUG 2016,1133
28,3:55.31,Nathan BRANNEN,08 SEP 1982,CAN,6,,"Olympic Stadium, London (GBR)",22 JUL 2016,1133
29,3:55.43,Lee EMANUEL,24 JAN 1985,GBR,7,,"Olympic Stadium, London (GBR)",22 JUL 2016,1131
30,3:55.46,Andrew BAYER,03 FEB 1990,USA,8,,"Olympic Stadium, London (GBR)",22 JUL 2016,1131
31,3:55.56,Nick WILLIS,25 APR 1983,NZL,1,,Wanganui (NZL),19 JAN 2016,1130
32,3:55.57,John GREGOREK,07 DEC 1991,USA,1,,Dublin (IRL),22 JUL 2016,1130
33,3:55.60,Ford PALMER,06 OCT 1990,USA,3,,"South Huntington, NY (USA)",31 AUG 2016,1129
34,3:55.62,Robert BIWOTT,28 JAN 1996,KEN,9,,"Bislett Stadion, Oslo (NOR)",09 JUN 2016,1129
35,3:55.79,Kyle MERBER,19 NOV 1990,USA,2,,Dublin (IRL),22 JUL 2016,1127
36,3:55.80,Dawit WOLDE,19 MAY 1991,ETH,2,,"Hayward Field, Eugene, OR (USA)",28 MAY 2016,1127
37,3:55.93,Colby ALEXANDER,13 JUN 1991,USA,3,,Dublin (IRL),22 JUL 2016,1125
38,3:56.05,Graham CRAWFORD,29 DEC 1992,USA,4,,"Raleigh, NC (USA)",05 AUG 2016,1124
39,3:56.11,Colby ALEXANDER,13 JUN 1991,USA,4,,"South Huntington, NY (USA)",31 AUG 2016,1123
40,3:56.14,Peter CALLAHAN,01 JUN 1991,BEL,4,,Dublin (IRL),22 JUL 2016,1122
41,3:56.19,Kyle MERBER,19 NOV 1990,USA,1f2,,"West Chester, PA (USA)",11 AUG 2016,1122
42,3:56.28,Graham CRAWFORD,29 DEC 1992,USA,2f2,,"West Chester, PA (USA)",11 AUG 2016,1121
43,3:56.39,Jordan MCNAMARA,07 MAR 1987,USA,1,,St. Louis (USA),02 JUN 2016,1119
44,3:56.44,Thomas LANCASHIRE,02 JUL 1985,GBR,9,,"Olympic Stadium, London (GBR)",22 JUL 2016,1119
45,3:56.50,Eric AVILA,03 OCT 1989,USA,5,,"South Huntington, NY (USA)",31 AUG 2016,1118
46,3:56.58,Ford PALMER,06 OCT 1990,USA,5,,"Raleigh, NC (USA)",05 AUG 2016,1117
47,3:56.60,Silas KIPLAGAT,20 AUG 1989,KEN,9,,"Hayward Field, Eugene, OR (USA)",28 MAY 2016,1117
48,3:56.62,Jerry MOTSAU,12 MAR 1990,RSA,5,,Dublin (IRL),22 JUL 2016,1116
49,3:56.67,Ford PALMER,06 OCT 1990,USA,3f2,,"West Chester, PA (USA)",11 AUG 2016,1116
50,3:56.7h,Luke MATHEWS,21 JUN 1995,AUS,1f1,,Melbourne (AUS),23 FEB 2016,1115
50,3:56.70,John GREGOREK,07 DEC 1991,USA,4f2,,"West Chester, PA (USA)",11 AUG 2016,1115
52,3:56.72,Hamish CARSON,01 NOV 1988,NZL,2,,Wanganui (NZL),19 JAN 2016,1115
53,3:56.73,Daniel WINN,30 JUL 1991,USA,6,,Dublin (IRL),22 JUL 2016,1115
54,3:56.89,James Kiplagat MAGUT,20 JUL 1990,KEN,10,,"Hayward Field, Eugene, OR (USA)",28 MAY 2016,1113
55,3:56.91,Jordan MCNAMARA,07 MAR 1987,USA,7,,Dublin (IRL),22 JUL 2016,1113
56,3:57.15,Andrew HUNTER,05 SEP 1997,USA,6,,"Raleigh, NC (USA)",05 AUG 2016,1110
57,3:57.24,Frezer LEGESSE,04 JUN 1990,USA,2,,St. Louis (USA),02 JUN 2016,1109
58,3:57.30,Eric SPEAKMAN,29 AUG 1990,NZL,3,,Wanganui (NZL),19 JAN 2016,1108
59,3:57.39,Cristian SORATOS,26 SEP 1992,USA,3,,St. Louis (USA),02 JUN 2016,1107
60,3:57.58,Mike BRANNIGAN,12 NOV 1996,USA,7,,"Raleigh, NC (USA)",05 AUG 2016,1104
61,3:57.60,Richard DOUMA,17 APR 1993,NED,10,,"Olympic Stadium, London (GBR)",22 JUL 2016,1104
62,3:57.80,Sam PENZENSTADLER,11 SEP 1992,USA,1f1,,"Concord, MA (USA)",02 JUN 2016,1102
63,3:57.97,Ford PALMER,06 OCT 1990,USA,8,,Dublin (IRL),22 JUL 2016,1100
64,3:58.04,Peter CALLAHAN,01 JUN 1991,BEL,6,,"South Huntington, NY (USA)",31 AUG 2016,1099
65,3:58.14,Kyle MERBER,19 NOV 1990,USA,1,,"Falmouth, MA (USA)",20 AUG 2016,1097
66,3:58.15,Colby ALEXANDER,13 JUN 1991,USA,2,,"Falmouth, MA (USA)",20 AUG 2016,1097
67,3:58.20,Kyle MERBER,19 NOV 1990,USA,7,,"South Huntington, NY (USA)",31 AUG 2016,1097
68,3:58.23,Eric AVILA,03 OCT 1989,USA,2f1,,"Concord, MA (USA)",02 JUN 2016,1096
69,3:58.28,Jordan MCNAMARA,07 MAR 1987,USA,3,,"Hayward Field, Eugene, OR (USA)",28 MAY 2016,1096
