Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:46.46,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,,"Bislett Stadion, Oslo (NOR)",16 JUN 2022,1247
2,3:47.48,Oliver HOARE,29 JAN 1997,AUS,2,,"Bislett Stadion, Oslo (NOR)",16 JUN 2022,1234
3,3:49.76,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1204
4,3:50.30,Jake WIGHTMAN,11 JUL 1994,GBR,3,,"Bislett Stadion, Oslo (NOR)",16 JUN 2022,1197
5,3:50.65,Oliver HOARE,29 JAN 1997,AUS,2,,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1192
6,3:50.77,Timothy CHERUIYOT,20 NOV 1995,KEN,3,,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1191
7,3:50.87,Abel KIPSANG,22 NOV 1996,KEN,4,,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1190
8,3:50.97,Cole HOCKER,06 JUN 2001,USA,5,,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1188
9,3:51.70,Cooper TEARE,18 AUG 1999,USA,6,,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1179
10,3:51.99,Jake HEYWARD,26 APR 1999,GBR,7,,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1175
11,3:52.41,Paul RYAN,29 MAY 1997,USA,1,,"Mater Dei Prep, Middletown Township, NJ (USA)",01 SEP 2022,1170
12,3:52.42,William PAULSON,17 NOV 1994,CAN,8,,"Hayward Field, Eugene, OR (USA)",28 MAY 2022,1170
13,3:52.91,Neil GOURLEY,07 FEB 1995,GBR,4,,"Bislett Stadion, Oslo (NOR)",16 JUN 2022,1163
14,3:53.20,Charles GRETHEN,02 JUN 1992,LUX,5,,"Bislett Stadion, Oslo (NOR)",16 JUN 2022,1160
15,3:53.25,Jake HEYWARD,26 APR 1999,GBR,1f6,,"Dempsey Indoor, Seattle, WA (USA)",29 JAN 2022,1159
16,3:53.34,Yared NUGUSE,01 JUN 1999,USA,1,,"Cardinal Gibbons High School, Raleigh, NC (USA)",05 AUG 2022,1158
