Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:47.32,Ayanleh SOULEIMAN,03 DEC 1992,DJI,1f1,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1236
2,3:47.88,Silas KIPLAGAT,20 AUG 1989,KEN,2f1,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1228
3,3:48.60,Aman WOTE,18 APR 1984,ETH,3f1,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1219
4,3:49.09,Abdelaati IGUIDER,25 MAR 1987,MAR,4f1,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1213
5,3:49.43,James Kiplagat MAGUT,20 JUL 1990,KEN,5f1,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1208
6,3:49.49,Ayanleh SOULEIMAN,03 DEC 1992,DJI,1,,"Bislett Stadion, Oslo (NOR)",11 JUN 2014,1207
7,3:49.56,Collins CHEBOI,25 SEP 1987,KEN,6f1,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1207
8,3:49.83,Nick WILLIS,25 APR 1983,NZL,2,,"Bislett Stadion, Oslo (NOR)",11 JUN 2014,1203
9,3:49.86,Homiyu TESFAYE,23 JUN 1993,GER,3,,"Bislett Stadion, Oslo (NOR)",11 JUN 2014,1203
10,3:50.26,Asbel KIPROP,30 JUN 1989,KEN,7f1,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1197
11,3:50.53,Matthew CENTROWITZ,18 OCT 1989,USA,8f1,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1194
12,3:50.70,Johan CRONJE,13 APR 1982,RSA,9f1,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1192
13,3:50.72,Henrik INGEBRIGTSEN,24 FEB 1991,NOR,4,,"Bislett Stadion, Oslo (NOR)",11 JUN 2014,1191
14,3:51.12,Bethwell BIRGEN,06 AUG 1988,KEN,10f1,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1186
15,3:51.55,Mahiedine MEKHISSI,15 MAR 1985,FRA,5,,"Bislett Stadion, Oslo (NOR)",11 JUN 2014,1181
16,3:51.59,Mekonnen GEBREMEDHIN,11 OCT 1988,ETH,6,,"Bislett Stadion, Oslo (NOR)",11 JUN 2014,1180
17,3:51.71,Ilham Tanui ÖZBILEN,05 MAR 1990,TUR,7,,"Bislett Stadion, Oslo (NOR)",11 JUN 2014,1179
18,3:51.82,Will LEER,15 APR 1985,USA,1,,Dublin (IRL),11 JUL 2014,1177
19,3:51.89,Asbel KIPROP,30 JUN 1989,KEN,1,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1176
20,3:52.07,Ayanleh SOULEIMAN,03 DEC 1992,DJI,2,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1174
21,3:52.15,Vincent KIBET,06 MAY 1991,KEN,3,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2014,1173
