Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:51.10,Ayanleh SOULEIMAN,03 DEC 1992,DJI,1f1,,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1187
2,3:51.20,Matthew CENTROWITZ,18 OCT 1989,USA,2f1,,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1185
3,3:51.25,Asbel KIPROP,30 JUN 1989,KEN,3f1,,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1185
4,3:51.45,Asbel KIPROP,30 JUN 1989,KEN,1,,"Bislett Stadion, Oslo (NOR)",11 JUN 2015,1182
5,3:51.72,Silas KIPLAGAT,20 AUG 1989,KEN,2,,"Bislett Stadion, Oslo (NOR)",11 JUN 2015,1179
6,3:51.84,Pieter-Jan HANNES,30 OCT 1992,BEL,3,,"Bislett Stadion, Oslo (NOR)",11 JUN 2015,1177
7,3:51.92,Silas KIPLAGAT,20 AUG 1989,KEN,4f1,,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1176
8,3:52.33,James Kiplagat MAGUT,20 JUL 1990,KEN,5f1,,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1171
9,3:52.57,Ronald KWEMOI,19 SEP 1995,KEN,6f1,,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1168
10,3:52.63,Collins CHEBOI,25 SEP 1987,KEN,7f1,,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1167
11,3:52.69,Ayanleh SOULEIMAN,03 DEC 1992,DJI,4,,"Bislett Stadion, Oslo (NOR)",11 JUN 2015,1166
12,3:53.02,Johan CRONJE,13 APR 1982,RSA,8f1,,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1162
13,3:53.07,Ronald KWEMOI,19 SEP 1995,KEN,5,,"Bislett Stadion, Oslo (NOR)",11 JUN 2015,1161
14,3:53.21,Abdelaati IGUIDER,25 MAR 1987,MAR,9f1,,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1159
15,3:53.43,Henrik INGEBRIGTSEN,24 FEB 1991,NOR,10f1,,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1157
16,3:53.46,Jakub HOLUŠA,20 FEB 1988,CZE,6,,"Bislett Stadion, Oslo (NOR)",11 JUN 2015,1156
17,3:53.55,Leonel MANZANO,12 SEP 1984,USA,11f1,,"Hayward Field, Eugene, OR (USA)",30 MAY 2015,1155
18,3:53.91,David TORRENCE,26 NOV 1985,USA,1f1,,"Huntington, NY (USA)",09 SEP 2015,1151
19,3:54.44,Henrik INGEBRIGTSEN,24 FEB 1991,NOR,7,,"Bislett Stadion, Oslo (NOR)",11 JUN 2015,1144
20,3:54.51,Garrett HEATH,03 NOV 1985,USA,2f1,,"Huntington, NY (USA)",09 SEP 2015,1143
21,3:54.52,Charles PHILIBERT-THIBOUTOT,31 DEC 1990,CAN,8,,"Bislett Stadion, Oslo (NOR)",11 JUN 2015,1143
22,3:54.87,Asbel KIPROP,30 JUN 1989,KEN,1,,"Olympic Stadium, London (GBR)",25 JUL 2015,1138
