Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:47.24,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1237
2,3:48.37,Stewart MCSWEYN,01 JUN 1995,AUS,1,,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1222
3,3:48.40,Stewart MCSWEYN,01 JUN 1995,AUS,2,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1222
4,3:49.11,Marcin LEWANDOWSKI,13 JUN 1987,POL,2,,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1212
5,3:49.26,Matthew CENTROWITZ,18 OCT 1989,USA,1,,"Jesuit High School Track, Portland, OR (USA)",24 JUL 2021,1210
6,3:49.27,Jye EDWARDS,06 MAR 1998,AUS,3,,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1210
7,3:49.40,Charles Cheboi SIMOTWO,05 JUN 1995,KEN,4,,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1209
8,3:51.17,Timothy CHERUIYOT,20 NOV 1995,KEN,3,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1186
9,3:51.31,Ronald KWEMOI,19 SEP 1995,KEN,4,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1184
10,3:51.63,Oliver HOARE,29 JAN 1997,AUS,5,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1180
11,3:52.15,Jake HEYWARD,26 APR 1999,GBR,6,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1173
12,3:52.20,Abel KIPSANG,22 NOV 1996,KEN,7,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1172
13,3:52.49,Elliot GILES,26 MAY 1994,GBR,1,,"International Stadium, Gateshead (GBR)",13 JUL 2021,1169
14,3:52.50,Jake HEYWARD,26 APR 1999,GBR,2,,"International Stadium, Gateshead (GBR)",13 JUL 2021,1169
15,3:52.70,Ismael DEBJANI,25 SEP 1990,BEL,5,,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1166
16,3:52.97,Charles PHILIBERT-THIBOUTOT,31 DEC 1990,CAN,1,,"Falmouth HS James Kalperis Track, Falmouth, MA (USA)",14 AUG 2021,1163
16,3:52.97,Filip INGEBRIGTSEN,20 APR 1993,NOR,8,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1163
18,3:53.04,Ronald MUSAGALA,16 DEC 1992,UGA,6,,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1162
19,3:53.15,Adam Ali MUSAB,17 APR 1995,QAT,7,,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1160
20,3:53.32,Matthew CENTROWITZ,18 OCT 1989,USA,9,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1158
21,3:53.42,Ferdinand Kvan EDMAN,12 FEB 1993,NOR,8,,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1157
22,3:53.87,Mohammed AHMED,05 JAN 1991,CAN,10,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1151
23,3:53.97,Craig ENGELS,01 MAY 1994,USA,2,,"Falmouth HS James Kalperis Track, Falmouth, MA (USA)",14 AUG 2021,1150
23,3:53.97,Matthew RAMSDEN,23 JUL 1997,AUS,11,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1150
25,3:54.01,John GREGOREK,07 DEC 1991,USA,3,,"Falmouth HS James Kalperis Track, Falmouth, MA (USA)",14 AUG 2021,1149
26,3:54.27,Archie DAVIS,16 OCT 1998,GBR,3,,"International Stadium, Gateshead (GBR)",13 JUL 2021,1146
27,3:54.86,George BEAMISH,24 OCT 1996,NZL,1,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1139
28,3:54.92,George BEAMISH,24 OCT 1996,NZL,1,,"Cardinal Gibbons High School, Raleigh, NC (USA)",06 AUG 2021,1138
29,3:54.97,Samuel TANNER,24 AUG 2000,NZL,1,,"Cooks Gardens, Wanganui (NZL)",30 JAN 2021,1137
29,3:54.97,Charlie DA'VALL GRICE,07 NOV 1993,GBR,9,,"Bislett Stadion, Oslo (NOR)",01 JUL 2021,1137
31,3:55.28,Vincent CIATTEI,21 JAN 1995,USA,2,,"Cardinal Gibbons High School, Raleigh, NC (USA)",06 AUG 2021,1133
32,3:55.33,Samuel PRAKEL,29 OCT 1994,USA,3,,"Cardinal Gibbons High School, Raleigh, NC (USA)",06 AUG 2021,1133
33,3:55.35,Charles PHILIBERT-THIBOUTOT,31 DEC 1990,CAN,1,,"Icahn Stadium, New York, NY (USA)",09 JUL 2021,1132
34,3:55.41,Craig ENGELS,01 MAY 1994,USA,2,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1132
35,3:55.48,Charles PHILIBERT-THIBOUTOT,31 DEC 1990,CAN,3,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1131
36,3:55.52,Charles PHILIBERT-THIBOUTOT,31 DEC 1990,CAN,4,,"Cardinal Gibbons High School, Raleigh, NC (USA)",06 AUG 2021,1130
37,3:55.59,Andrew COSCORAN,18 JUN 1996,IRL,1f2,,"Arena Civica, Milano (ITA)",04 SEP 2021,1129
38,3:55.78,Jake WIGHTMAN,11 JUL 1994,GBR,4,,"International Stadium, Gateshead (GBR)",13 JUL 2021,1127
38,3:55.78,Matthew RAMSDEN,23 JUL 1997,AUS,1f11,,"Wimbledon Park Athletics Track, London (GBR)",28 JUL 2021,1127
40,3:55.99,Samuel PRAKEL,29 OCT 1994,USA,4,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1124
41,3:56.00,Craig ENGELS,01 MAY 1994,USA,5,,"Cardinal Gibbons High School, Raleigh, NC (USA)",06 AUG 2021,1124
42,3:56.03,Stijn BAETEN,03 JUN 1994,BEL,2f2,,"Arena Civica, Milano (ITA)",04 SEP 2021,1124
43,3:56.06,Osama ZOGHLAMI,19 JUN 1994,ITA,3f2,,"Arena Civica, Milano (ITA)",04 SEP 2021,1123
44,3:56.13,Piers COPELAND,26 NOV 1998,GBR,5,,"International Stadium, Gateshead (GBR)",13 JUL 2021,1123
45,3:56.18,Brett MEYER,,USA,4,,"Falmouth HS James Kalperis Track, Falmouth, MA (USA)",14 AUG 2021,1122
46,3:56.22,Jack SALISBURY,05 JAN 1998,USA,1f3,,"UVA Lanningan Field, Charlottesville, VA (USA)",01 MAY 2021,1121
47,3:56.31,Joshua LAY,11 APR 2000,GBR,6,,"International Stadium, Gateshead (GBR)",13 JUL 2021,1120
48,3:56.66,Eric SPEAKMAN,29 AUG 1990,NZL,2,,"Cooks Gardens, Wanganui (NZL)",30 JAN 2021,1116
49,3:56.68,Eric HOLT,12 MAY 1995,USA,2,,"Icahn Stadium, New York, NY (USA)",09 JUL 2021,1116
50,3:56.71,Brett MEYER,,USA,1,,"Saint Louis University High School, Saint Louis, MO (USA)",03 JUN 2021,1115
51,3:56.78,Waleed SULIMAN,22 SEP 1998,USA,6,,"Cardinal Gibbons High School, Raleigh, NC (USA)",06 AUG 2021,1114
52,3:56.80,Pietro ARESE,08 OCT 1999,ITA,4f2,,"Arena Civica, Milano (ITA)",04 SEP 2021,1114
53,3:56.89,Andrew COSCORAN,18 JUN 1996,IRL,7,,"International Stadium, Gateshead (GBR)",13 JUL 2021,1113
54,3:56.93,Luke MCCANN,12 MAR 1998,IRL,8,,"International Stadium, Gateshead (GBR)",13 JUL 2021,1112
55,3:57.00,Archie DAVIS,16 OCT 1998,GBR,5,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1112
56,3:57.18,Mohad ABDIKADAR SHEIK ALI,12 JUN 1993,ITA,5f2,,"Arena Civica, Milano (ITA)",04 SEP 2021,1109
57,3:57.19,Yassin BOUIH,24 NOV 1996,ITA,6f2,,"Arena Civica, Milano (ITA)",04 SEP 2021,1109
58,3:57.35,Cameron PROCEVIAT,20 SEP 1993,CAN,1,,"Swangard Stadium, Burnaby (CAN)",10 JUL 2021,1107
59,3:57.39,Jonathan DAVIS,10 OCT 1997,USA,2,,"Saint Louis University High School, Saint Louis, MO (USA)",03 JUN 2021,1107
59,3:57.39,Rorey HUNTER,02 FEB 1993,AUS,9,,"International Stadium, Gateshead (GBR)",13 JUL 2021,1107
61,3:57.40,Daniel HERRERA,,MEX,1f2,,"Trabuco Hills HS, Mission Viejo, CA (USA)",18 JUL 2021,1107
62,3:57.41,Kieran LUMB,02 AUG 1998,CAN,2,,"Swangard Stadium, Burnaby (CAN)",10 JUL 2021,1106
63,3:57.43,Henry WYNNE,18 APR 1995,USA,6,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1106
64,3:57.49,Garrett HEATH,03 NOV 1985,USA,2f2,,"Trabuco Hills HS, Mission Viejo, CA (USA)",18 JUL 2021,1105
64,3:57.49,Peter CALLAHAN,01 JUN 1991,BEL,7,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1105
66,3:57.51,Paul RYAN,29 MAY 1997,USA,3,,"Icahn Stadium, New York, NY (USA)",09 JUL 2021,1105
67,3:57.61,Bryce RICHARDS,12 OCT 1996,USA,3,,"Saint Louis University High School, Saint Louis, MO (USA)",03 JUN 2021,1104
68,3:57.62,Nick WILLIS,25 APR 1983,NZL,4,,"Saint Louis University High School, Saint Louis, MO (USA)",03 JUN 2021,1104
69,3:57.70,Eric HOLT,12 MAY 1995,USA,7,,"Cardinal Gibbons High School, Raleigh, NC (USA)",06 AUG 2021,1103
69,3:57.70,Ala ZOGHLAMI,19 JUN 1994,ITA,7f2,,"Arena Civica, Milano (ITA)",04 SEP 2021,1103
71,3:57.72,Tai DINGER,,USA,8,,"Cardinal Gibbons High School, Raleigh, NC (USA)",06 AUG 2021,1103
72,3:57.84,Andrew RAFLA,15 APR 1996,USA,3f2,,"Trabuco Hills HS, Mission Viejo, CA (USA)",18 JUL 2021,1101
73,3:57.86,Kevin KELLY,11 AUG 1995,IRL,4,,"Icahn Stadium, New York, NY (USA)",09 JUL 2021,1101
74,3:57.91,Alex GEORGE,06 FEB 1996,GBR,8f2,,"Arena Civica, Milano (ITA)",04 SEP 2021,1100
75,3:57.92,Samuel PRAKEL,29 OCT 1994,USA,2,,"Jesuit High School Track, Portland, OR (USA)",24 JUL 2021,1100
76,3:57.95,Tripp HURT,30 OCT 1992,USA,3,,"Jesuit High School Track, Portland, OR (USA)",24 JUL 2021,1100
77,3:57.97,Craig NOWAK,20 APR 1994,USA,4f2,,"Trabuco Hills HS, Mission Viejo, CA (USA)",18 JUL 2021,1100
78,3:58.02,Julian OAKLEY,23 JUN 1993,NZL,5,,"Saint Louis University High School, Saint Louis, MO (USA)",03 JUN 2021,1099
79,3:58.03,Shane STREICH,19 SEP 1996,USA,1,,"Wisconsin Lutheran HS, Milwaukee, WI (USA)",01 JUL 2021,1099
80,3:58.05,Mason FERLIC,05 AUG 1993,USA,1,,"National Training Center, Clermont, FL (USA)",19 JAN 2021,1099
81,3:58.12,Jeff THIES,25 FEB 1995,USA,5f2,,"Trabuco Hills HS, Mission Viejo, CA (USA)",18 JUL 2021,1098
82,3:58.13,Mason FERLIC,05 AUG 1993,USA,5,,"Falmouth HS James Kalperis Track, Falmouth, MA (USA)",14 AUG 2021,1098
83,3:58.14,John GAY,07 NOV 1996,CAN,3,,"Swangard Stadium, Burnaby (CAN)",10 JUL 2021,1097
84,3:58.15,Tripp HURT,30 OCT 1992,USA,8,,"Hayward Field, Eugene, OR (USA)",20 AUG 2021,1097
85,3:58.17,Jack ANSTEY,08 APR 1997,AUS,6,,"Saint Louis University High School, Saint Louis, MO (USA)",03 JUN 2021,1097
86,3:58.18,James MCMURRAY,18 JAN 1995,GBR,10,,"International Stadium, Gateshead (GBR)",13 JUL 2021,1097
87,3:58.20,Darragh MCELHINNEY,09 NOV 2000,IRL,2f11,,"Wimbledon Park Athletics Track, London (GBR)",28 JUL 2021,1097
88,3:58.26,Isaac UPDIKE,21 MAR 1992,USA,1,,"Trabuco Hills HS, Mission Viejo, CA (USA)",18 JUL 2021,1096
89,3:58.30,Isaiah HARRIS,18 OCT 1996,USA,9,,"Cardinal Gibbons High School, Raleigh, NC (USA)",06 AUG 2021,1095
90,3:58.44,Daniel SCHAFFER,05 FEB 1998,USA,1,,"University of Toledo T&F Outdoor Facility, Toledo, OH (USA)",15 MAY 2021,1094
