Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:49.48,Silas KIPLAGAT,20 AUG 1989,KEN,1,,"Hayward Field, Eugene, OR (USA)",01 JUN 2013,1208
2,3:49.53,Asbel KIPROP,30 JUN 1989,KEN,2,,"Hayward Field, Eugene, OR (USA)",01 JUN 2013,1207
3,3:49.88,Aman WOTE,18 APR 1984,ETH,3,,"Hayward Field, Eugene, OR (USA)",01 JUN 2013,1202
4,3:50.01,Augustine Kiprono CHOGE,21 JAN 1987,KEN,1,,"Olympic Stadium, London (GBR)",27 JUL 2013,1201
5,3:50.07,Ayanleh SOULEIMAN,03 DEC 1992,DJI,2,,"Olympic Stadium, London (GBR)",27 JUL 2013,1200
6,3:50.40,Ayanleh SOULEIMAN,03 DEC 1992,DJI,4,,"Hayward Field, Eugene, OR (USA)",01 JUN 2013,1196
7,3:50.42,Bethwell BIRGEN,06 AUG 1988,KEN,5,,"Hayward Field, Eugene, OR (USA)",01 JUN 2013,1195
8,3:50.46,Caleb Mwangangi NDIKU,09 OCT 1992,KEN,6,,"Hayward Field, Eugene, OR (USA)",01 JUN 2013,1195
9,3:50.53,Ayanleh SOULEIMAN,03 DEC 1992,DJI,1,,"Bislett Stadion, Oslo (NOR)",13 JUN 2013,1194
10,3:50.93,James Kiplagat MAGUT,20 JUL 1990,KEN,3,,"Olympic Stadium, London (GBR)",27 JUL 2013,1189
11,3:50.95,Nixon Kiplimo CHEPSEBA,12 DEC 1990,KEN,2,,"Bislett Stadion, Oslo (NOR)",13 JUN 2013,1188
12,3:51.11,James Kiplagat MAGUT,20 JUL 1990,KEN,3,,"Bislett Stadion, Oslo (NOR)",13 JUN 2013,1186
13,3:51.28,Daniel Kipchirchir KOMEN,27 NOV 1984,KEN,4,,"Olympic Stadium, London (GBR)",27 JUL 2013,1184
14,3:51.37,Nixon Kiplimo CHEPSEBA,12 DEC 1990,KEN,7,,"Hayward Field, Eugene, OR (USA)",01 JUN 2013,1183
15,3:51.44,Collins CHEBOI,25 SEP 1987,KEN,8,,"Hayward Field, Eugene, OR (USA)",01 JUN 2013,1182
16,3:51.45,Lopez LOMONG,01 JAN 1985,USA,9,,"Hayward Field, Eugene, OR (USA)",01 JUN 2013,1182
17,3:51.79,Matthew CENTROWITZ,18 OCT 1989,USA,10,,"Hayward Field, Eugene, OR (USA)",01 JUN 2013,1178
18,3:52.11,Galen RUPP,08 MAY 1986,USA,5,,"Olympic Stadium, London (GBR)",27 JUL 2013,1174
19,3:52.30,Ilham Tanui ÖZBILEN,05 MAR 1990,TUR,4,,"Bislett Stadion, Oslo (NOR)",13 JUN 2013,1171
20,3:52.42,Mohamed MOUSTAOUI,02 APR 1985,MAR,6,,"Olympic Stadium, London (GBR)",27 JUL 2013,1170
20,3:52.42,Jordan MCNAMARA,07 MAR 1987,USA,7,,"Olympic Stadium, London (GBR)",27 JUL 2013,1170
22,3:52.70,Collins CHEBOI,25 SEP 1987,KEN,5,,"Bislett Stadion, Oslo (NOR)",13 JUN 2013,1166
23,3:52.74,David TORRENCE,26 NOV 1985,USA,8,,"Olympic Stadium, London (GBR)",27 JUL 2013,1165
24,3:52.90,Andrew BAYER,03 FEB 1990,USA,9,,"Olympic Stadium, London (GBR)",27 JUL 2013,1163
25,3:52.94,Taoufik MAKHLOUFI,29 APR 1988,ALG,11,,"Hayward Field, Eugene, OR (USA)",01 JUN 2013,1163
26,3:53.15,Garrett HEATH,03 NOV 1985,USA,10,,"Olympic Stadium, London (GBR)",27 JUL 2013,1160
27,3:53.40,David BUSTOS,25 AUG 1990,ESP,6,,"Bislett Stadion, Oslo (NOR)",13 JUN 2013,1157
28,3:53.46,Bethwell BIRGEN,06 AUG 1988,KEN,7,,"Bislett Stadion, Oslo (NOR)",13 JUN 2013,1156
29,3:53.48,Collins CHEBOI,25 SEP 1987,KEN,11,,"Olympic Stadium, London (GBR)",27 JUL 2013,1156
30,3:53.95,Andreas VOJTA,09 JUN 1989,AUT,8,,"Bislett Stadion, Oslo (NOR)",13 JUN 2013,1150
