Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:49.45,Samuel TEFERA,23 OCT 1999,ETH,1,,"Olympic Stadium, London (GBR)",21 JUL 2019,1208
2,3:49.60,Filip INGEBRIGTSEN,20 APR 1993,NOR,2,,"Olympic Stadium, London (GBR)",21 JUL 2019,1206
3,3:50.49,Timothy CHERUIYOT,20 NOV 1995,KEN,1,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1194
4,3:51.22,Ayanleh SOULEIMAN,03 DEC 1992,DJI,2,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1185
5,3:51.28,Filip INGEBRIGTSEN,20 APR 1993,NOR,3,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1184
6,3:51.30,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,4,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1184
7,3:51.60,Craig ENGELS,01 MAY 1994,USA,5,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1180
8,3:52.02,Jake WIGHTMAN,11 JUL 1994,GBR,3,,"Olympic Stadium, London (GBR)",21 JUL 2019,1175
9,3:52.26,Matthew CENTROWITZ,18 OCT 1989,USA,6,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1172
10,3:52.34,Marcin LEWANDOWSKI,13 JUN 1987,POL,1,,"Bislett Stadion, Oslo (NOR)",13 JUN 2019,1171
11,3:52.38,Vincent KIBET,06 MAY 1991,KEN,2,,"Bislett Stadion, Oslo (NOR)",13 JUN 2019,1170
12,3:52.51,Ben BLANKENSHIP,15 DEC 1988,USA,7,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1168
13,3:52.66,Ayanleh SOULEIMAN,03 DEC 1992,DJI,3,,"Bislett Stadion, Oslo (NOR)",13 JUN 2019,1167
14,3:52.94,John GREGOREK,07 DEC 1991,USA,4,,"Bislett Stadion, Oslo (NOR)",13 JUN 2019,1163
15,3:52.97,Clayton MURPHY,26 FEB 1995,USA,5,,"Bislett Stadion, Oslo (NOR)",13 JUN 2019,1163
16,3:53.04,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,6,,"Bislett Stadion, Oslo (NOR)",13 JUN 2019,1162
17,3:53.31,Charles Cheboi SIMOTWO,05 JUN 1995,KEN,4,,"Olympic Stadium, London (GBR)",21 JUL 2019,1158
18,3:53.32,Matthew RAMSDEN,23 JUL 1997,AUS,5,,"Olympic Stadium, London (GBR)",21 JUL 2019,1158
19,3:53.33,Amos BARTELSMEYER,25 JUL 1994,GER,6,,"Olympic Stadium, London (GBR)",21 JUL 2019,1158
20,3:53.35,Chris O'HARE,23 NOV 1990,GBR,7,,"Olympic Stadium, London (GBR)",21 JUL 2019,1158
21,3:53.50,Samuel TEFERA,23 OCT 1999,ETH,8,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1156
22,3:53.51,Ryan GREGSON,26 APR 1990,AUS,7,,"Bislett Stadion, Oslo (NOR)",13 JUN 2019,1156
23,3:53.83,Kalle BERGLUND,11 MAR 1996,SWE,8,,"Bislett Stadion, Oslo (NOR)",13 JUN 2019,1152
24,3:53.88,Josh KERR,08 OCT 1997,GBR,8,,"Olympic Stadium, London (GBR)",21 JUL 2019,1151
