Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,14:31.42,,Paula RADCLIFFE,17 DEC 1973,GBR,1,,Manchester (GBR),28 JUL 2002,1219
2,14:33.65,,Berhane ADERE,23 NOV 1973,ETH,1,,London (GBR),23 AUG 2002,1215
3,14:34.29,,Gabriela SZABO,14 NOV 1975,ROU,2,,London (GBR),23 AUG 2002,1213
4,14:40.41,,Yingjie SUN,19 JAN 1979,CHN,1,,Busan (KOR),12 OCT 2002,1201
5,14:43.53,,Werknesh KIDANE,07 JAN 1981,ETH,2,,"Olympiastadion, Berlin (GER)",06 SEP 2002,1195
6,14:46.97,,Sonia O'SULLIVAN,28 NOV 1969,IRL,3,,London (GBR),23 AUG 2002,1188
7,14:47.60,,Benita WILLIS-JOHNSON,06 MAY 1979,AUS,3,,"Olympiastadion, Berlin (GER)",06 SEP 2002,1187
8,14:47.85,,Tatyana TOMASHOVA,01 JUL 1975,RUS,3,,Oslo (NOR),28 JUN 2002,1187
9,14:48.14,,Edith MASAI,04 APR 1967,KEN,4,,Oslo (NOR),28 JUN 2002,1186
10,14:48.29,,Olga YEGOROVA,28 MAR 1972,RUS,5,,Oslo (NOR),28 JUN 2002,1186
11,14:48.66,,Joanne PAVEY,20 SEP 1973,GBR,4,,"Olympiastadion, Berlin (GER)",06 SEP 2002,1185
12,14:48.99,,Ayelech WORKU,12 JUN 1979,ETH,5,,"Olympiastadion, Berlin (GER)",06 SEP 2002,1184
13,14:49.90,,Tirunesh DIBABA,01 OCT 1985,ETH,6,,"Olympiastadion, Berlin (GER)",06 SEP 2002,1183
14,14:51.71,,Asmae LEGHZAOUI,30 AUG 1976,MAR,1,,Heusden-Zolder (BEL),20 JUL 2002,1179
15,14:53.99,,Sentayehu EJIGU,28 JUN 1985,ETH,7,,"Olympiastadion, Berlin (GER)",06 SEP 2002,1175
16,14:55.19,,Kayoko FUKUSHI,25 MAR 1982,JPN,2,,Busan (KOR),12 OCT 2002,1172
17,15:00.05,,Susan CHEPKEMEI,25 JUN 1975,KEN,7,,Oslo (NOR),28 JUN 2002,1163
18,15:00.45,,Ebru KAVAKLIOGLU,14 MAR 1970,TUR,9,,"Olympiastadion, Berlin (GER)",06 SEP 2002,1162
19,15:00.49,,Elvan ABEYLEGESSE,11 SEP 1982,TUR,1,,"FBK Stadium, Hengelo (NED)",02 JUN 2002,1162
20,15:00.88,,Leah MALOT,07 JUN 1972,KEN,4,,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1161
21,15:01.34,,Zhor EL KAMCH,15 MAR 1973,MAR,5,,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1160
22,15:01.42,,Isabella OCHICHI,28 OCT 1979,KEN,6,,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1160
23,15:02.00,,Katalin SZENTGYÖRGYI,01 JAN 1979,HUN,2,,"FBK Stadium, Hengelo (NED)",02 JUN 2002,1159
24,15:04.48,,Tegla LOROUPE,09 MAY 1973,KEN,9,,"Stadio Olimpico, Roma (ITA)",12 JUL 2002,1154
25,15:04.88,,Lidia CHOJECKA,25 JAN 1977,POL,11,,"Olympiastadion, Berlin (GER)",06 SEP 2002,1154
