Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,14:28.88,Genzebe DIBABA,08 FEB 1991,ETH,1,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1224
2,14:29.19,Almaz AYANA,21 NOV 1991,ETH,2,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1224
3,14:33.73,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,3,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1215
4,14:34.99,Genzebe DIBABA,08 FEB 1991,ETH,1,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1212
5,14:37.16,Almaz AYANA,21 NOV 1991,ETH,2,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1208
6,14:37.18,Sally KIPYEGO,19 DEC 1985,KEN,4,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1208
7,14:39.49,Betsy SAINA,30 JUN 1988,KEN,5,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1203
8,14:40.05,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,3,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1202
9,14:42.64,Molly HUDDLE,31 AUG 1984,USA,6,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1197
10,14:43.11,Mercy CHERONO,07 MAY 1991,KEN,4,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1196
11,14:44.56,Mercy CHERONO,07 MAY 1991,KEN,7,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1193
12,14:48.68,Shannon ROWBURY,19 SEP 1984,USA,8,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1185
13,14:52.59,Janet KISA,05 DEC 1992,KEN,5,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1177
14,14:52.67,Alemitu HAROYE,09 MAY 1995,ETH,6,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1177
15,14:55.90,Molly HUDDLE,31 AUG 1984,USA,7,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1171
16,14:59.23,Sifan HASSAN,01 JAN 1993,NED,1f1,,"Palo Alto, CA (USA)",04 MAY 2014,1165
17,14:59.49,Meraf BAHTA,24 JUN 1989,SWE,2f1,,"Palo Alto, CA (USA)",04 MAY 2014,1164
18,14:59.69,Maryam Yusuf JAMAL,16 SEP 1984,BRN,1,,Incheon (KOR),02 OCT 2014,1164
19,14:59.93,Janet KISA,05 DEC 1992,KEN,9,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1163
20,15:00.19,Agnes Jebet TIROP,23 OCT 1995,KEN,8,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1163
21,15:00.87,Mimi BELETE,09 JUN 1988,BRN,2,,Incheon (KOR),02 OCT 2014,1161
22,15:01.56,Molly HUDDLE,31 AUG 1984,USA,1,,"Sacramento, CA (USA)",27 JUN 2014,1160
23,15:01.71,Shannon ROWBURY,19 SEP 1984,USA,2,,"Sacramento, CA (USA)",27 JUN 2014,1160
24,15:01.73,Irene JELAGAT,10 DEC 1988,KEN,9,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1160
25,15:04.07,Mercy CHERONO,07 MAY 1991,KEN,1,,Sydney (AUS),15 MAR 2014,1155
26,15:04.74,Katie MACKEY,12 NOV 1987,USA,3f1,,"Palo Alto, CA (USA)",04 MAY 2014,1154
27,15:04.87,Joanne PAVEY,20 SEP 1973,GBR,10,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1154
28,15:04.98,Laura THWEATT,17 DEC 1988,USA,4f1,,"Palo Alto, CA (USA)",04 MAY 2014,1153
29,15:07.21,Mercy CHERONO,07 MAY 1991,KEN,1,,"Hampden Park, Glasgow (GBR)",02 AUG 2014,1149
30,15:07.45,Emelia GORECKA,29 JAN 1994,GBR,5f1,,"Palo Alto, CA (USA)",04 MAY 2014,1149
31,15:07.58,Clémence CALVIN,17 MAY 1990,FRA,,,Le Mans (FRA),23 MAY 2014,1148
32,15:08.05,Sifan HASSAN,01 JAN 1993,NED,10,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1147
33,15:08.31,Selly Chepyego KAPTICH,03 OCT 1985,KEN,1f2,,Nagasaki (JPN),29 NOV 2014,1147
34,15:08.61,Kim CONLEY,14 MAR 1986,USA,11,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1146
35,15:08.90,Janet KISA,05 DEC 1992,KEN,2,,"Hampden Park, Glasgow (GBR)",02 AUG 2014,1146
36,15:08.96,Joanne PAVEY,20 SEP 1973,GBR,3,,"Hampden Park, Glasgow (GBR)",02 AUG 2014,1146
37,15:09.64,Hiwot AYALEW,06 MAR 1990,ETH,12,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1144
38,15:10.08,Alemitu HAROYE,09 MAY 1995,ETH,1,,"Hayward Field, Eugene, OR (USA)",23 JUL 2014,1144
39,15:10.38,Margaret Wangari MURIUKI,21 MAR 1986,KEN,4,,"Hampden Park, Glasgow (GBR)",02 AUG 2014,1143
40,15:10.46,Alemitu HAWI,14 NOV 1996,ETH,2,,"Hayward Field, Eugene, OR (USA)",23 JUL 2014,1143
41,15:11.13,Aisling CUFFE,12 SEP 1993,USA,6f1,,"Palo Alto, CA (USA)",04 MAY 2014,1142
42,15:11.42,Etagegne WOLDU,10 MAY 1996,ETH,13,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1141
43,15:11.52,Joanne PAVEY,20 SEP 1973,GBR,1,,Watford (GBR),17 MAY 2014,1141
44,15:11.60,Mimi BELETE,09 JUN 1988,BRN,11,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1141
45,15:11.68,Julia BLEASDALE,09 SEP 1981,GBR,14,,"Stadio Olimpico, Roma (ITA)",05 JUN 2014,1140
46,15:12.51,Changqin DING,27 NOV 1991,CHN,3,,Incheon (KOR),02 OCT 2014,1139
47,15:12.79,Marielle HALL,28 JAN 1992,USA,3,,"Sacramento, CA (USA)",27 JUN 2014,1138
48,15:12.83,Clémence CALVIN,17 MAY 1990,FRA,12,,"Stade Louis II, Monaco (MON)",18 JUL 2014,1138
49,15:13.15,Aisling CUFFE,12 SEP 1993,USA,4,,"Sacramento, CA (USA)",27 JUN 2014,1138
50,15:13.21,Jessica O'CONNELL,10 FEB 1989,CAN,7f1,,"Palo Alto, CA (USA)",04 MAY 2014,1138
51,15:14.45,Selly Chepyego KAPTICH,03 OCT 1985,KEN,1f2,,Yamaguchi (JPN),12 OCT 2014,1135
52,15:14.67,Yelena KOROBKINA,25 NOV 1990,RUS,1,,Sochi (RUS),30 MAY 2014,1135
53,15:14.96,Ayuko SUZUKI,08 OCT 1991,JPN,2f2,,Yamaguchi (JPN),12 OCT 2014,1134
54,15:14.99,Eloise WELLINGS,09 NOV 1982,AUS,5,,"Hampden Park, Glasgow (GBR)",02 AUG 2014,1134
55,15:15.14,Stacey Chepkemboi NDIWA,06 DEC 1992,KEN,1,,Luzern (SUI),15 JUL 2014,1134
56,15:15.74,Tejitu DABA,20 AUG 1991,BRN,1,,Nijmegen (NED),11 JUN 2014,1133
57,15:15.80,Selly Chepyego KAPTICH,03 OCT 1985,KEN,1,,Hiroshima (JPN),29 APR 2014,1133
58,15:16.50,Perine NENGAMPI,1989,KEN,1,,Liège (BEL),16 JUL 2014,1131
59,15:16.83,Buze DIRIBA,09 FEB 1994,ETH,2,,Liège (BEL),16 JUL 2014,1131
60,15:17.02,Eloise WELLINGS,09 NOV 1982,AUS,3,,Liège (BEL),16 JUL 2014,1130
61,15:17.30,Janet KISA,05 DEC 1992,KEN,1,,Huelva (ESP),12 JUN 2014,1130
62,15:17.76,Irine Chepet CHEPTAI,04 FEB 1992,KEN,4,,Liège (BEL),16 JUL 2014,1129
63,15:18.17,Jessica TEBO,08 APR 1988,USA,8f1,,"Palo Alto, CA (USA)",04 MAY 2014,1128
64,15:18.30,Jaisha ORCHATTERI,23 MAY 1983,IND,4,,Incheon (KOR),02 OCT 2014,1128
65,15:18.53,Sabrina MOCKENHAUPT,06 DEC 1980,GER,1f1,,Koblenz (GER),28 MAY 2014,1127
66,15:18.75,Renata PLIŚ,05 FEB 1985,POL,5,,Liège (BEL),16 JUL 2014,1127
67,15:18.95,Riko MATSUZAKI,24 DEC 1992,JPN,5,,Incheon (KOR),02 OCT 2014,1127
68,15:19.00,Rosemary WANJIRU,09 DEC 1994,KEN,,,Fukushima (JPN),08 JUN 2014,1126
69,15:19.26,Marielle HALL,28 JAN 1992,USA,1f1,,"Palo Alto, CA (USA)",04 APR 2014,1126
70,15:19.79,Alisha WILLIAMS,05 FEB 1982,USA,2f1,,"Palo Alto, CA (USA)",04 APR 2014,1125
71,15:19.93,Gladys CHESIR,20 FEB 1993,KEN,2,,Nijmegen (NED),11 JUN 2014,1125
72,15:20.01,Sara MOREIRA,17 OCT 1985,POR,2,,Huelva (ESP),12 JUN 2014,1125
73,15:20.91,Shannon ROWBURY,19 SEP 1984,USA,1,,"Los Angeles, CA (USA)",15 MAY 2014,1123
74,15:20.92,Laura WHITTLE,27 JUN 1985,GBR,2,,Luzern (SUI),15 JUL 2014,1123
75,15:20.93,Dolores CHECA,27 DEC 1982,ESP,3,,Huelva (ESP),12 JUN 2014,1123
76,15:20.98,Yelena KOROBKINA,25 NOV 1990,RUS,1,,Kazan (RUS),25 JUL 2014,1123
77,15:21.32,Dulce FÉLIX,23 OCT 1982,POR,1,,"Kadrioru staadion, Tallinn (EST)",22 JUN 2014,1122
78,15:21.93,Kellyn JOHNSON,22 JUL 1986,USA,9f1,,"Palo Alto, CA (USA)",04 MAY 2014,1121
79,15:22.67,Riko MATSUZAKI,24 DEC 1992,JPN,10f1,,"Palo Alto, CA (USA)",04 MAY 2014,1119
80,15:22.75,Buze DIRIBA,09 FEB 1994,ETH,2,,"Los Angeles, CA (USA)",15 MAY 2014,1119
80,15:22.75,Maren ORTH,22 JUN 1990,GER,2f1,,Koblenz (GER),28 MAY 2014,1119
82,15:22.95,Lucy OLIVER,18 NOV 1988,NZL,11f1,,"Palo Alto, CA (USA)",04 MAY 2014,1119
83,15:22.98,Amy VAN ALSTINE,11 NOV 1987,USA,12f1,,"Palo Alto, CA (USA)",04 MAY 2014,1119
84,15:23.37,Fionnula BRITTON,24 SEP 1984,IRL,2,,"Kadrioru staadion, Tallinn (EST)",22 JUN 2014,1118
85,15:23.43,Laura THWEATT,17 DEC 1988,USA,3f1,,"Palo Alto, CA (USA)",04 APR 2014,1118
86,15:24.40,Helen CLITHEROE,02 JAN 1974,GBR,1,,Manchester (GBR),31 MAY 2014,1116
87,15:24.56,Ayumi HAGIWARA,01 JUN 1992,JPN,3f2,,Yamaguchi (JPN),12 OCT 2014,1116
88,15:24.94,Alia SAEED MOHAMMED,18 MAY 1991,UAE,6,,Liège (BEL),16 JUL 2014,1115
89,15:24.96,Misaki ONISHI,24 FEB 1985,JPN,4f2,,Yamaguchi (JPN),12 OCT 2014,1115
90,15:25.58,Yuika MORI,25 JAN 1988,JPN,3,,Luzern (SUI),15 JUL 2014,1114
91,15:25.63,Kellyn JOHNSON,22 JUL 1986,USA,5,,"Sacramento, CA (USA)",27 JUN 2014,1114
92,15:25.85,Rochelle KANUHO,04 JUL 1990,USA,6,,"Sacramento, CA (USA)",27 JUN 2014,1113
93,15:25.88,Gemma BARRACHINA FERNANDEZ,10 APR 1986,ESP,7,,Liège (BEL),16 JUL 2014,1113
94,15:25.94,Amy CRAGG,21 JAN 1984,USA,1,,"Concord, MA (USA)",05 JUN 2014,1113
95,15:26.08,Erin FINN,19 NOV 1994,USA,13f1,,"Palo Alto, CA (USA)",04 MAY 2014,1113
96,15:26.12,Eloise WELLINGS,09 NOV 1982,AUS,1,,Sydney (AUS),06 MAR 2014,1113
97,15:26.66,Mercy CHERONO,07 MAY 1991,KEN,1,,Nairobi (KEN),07 JUN 2014,1112
98,15:26.71,Grace Mbuthye KIMANZI,01 MAR 1992,KEN,5f2,,Yamaguchi (JPN),12 OCT 2014,1112
99,15:27.12,Janet KISA,05 DEC 1992,KEN,2,,Nairobi (KEN),07 JUN 2014,1111
100,15:27.13,Dulce FÉLIX,23 OCT 1982,POR,4,,Luzern (SUI),15 JUL 2014,1111
101,15:27.26,Alla KULYATINA,09 JUN 1990,RUS,2,,Sochi (RUS),30 MAY 2014,1111
102,15:27.30,Jip VASTENBURG,21 MAR 1994,NED,3,,Nijmegen (NED),11 JUN 2014,1111
102,15:27.30,Christine BARDELLE,16 AUG 1974,FRA,1,,Carquefou (FRA),20 JUN 2014,1111
104,15:27.49,Yuka MIYAZAKI,21 AUG 1992,JPN,6f2,,Yamaguchi (JPN),12 OCT 2014,1110
105,15:27.75,Madeleine HEINER,15 MAY 1987,AUS,2,,Sydney (AUS),15 MAR 2014,1110
106,15:27.90,Kate AVERY,10 OCT 1991,GBR,4f1,,"Palo Alto, CA (USA)",04 APR 2014,1110
107,15:28.25,Misaki ONISHI,24 FEB 1985,JPN,1f1,,Abashiri (JPN),06 JUL 2014,1109
108,15:28.38,Alexi PAPPAS,28 MAR 1990,USA,7,,"Sacramento, CA (USA)",27 JUN 2014,1109
109,15:28.56,Jordan HASAY,21 SEP 1991,USA,1f1,,"Portland, OR (USA)",15 JUN 2014,1108
110,15:29.02,Kasumi NISHIHARA,01 MAR 1989,JPN,1,,Nagasaki (JPN),18 OCT 2014,1107
111,15:29.55,Pauline KAMULU,30 DEC 1994,KEN,1f1,,Nobeoka (JPN),10 MAY 2014,1106
112,15:29.63,Jordan HASAY,21 SEP 1991,USA,3,,"Los Angeles, CA (USA)",15 MAY 2014,1106
113,15:29.94,Katie BROUGH,27 APR 1982,GBR,5f1,,"Palo Alto, CA (USA)",04 APR 2014,1106
114,15:30.01,Yuika MORI,25 JAN 1988,JPN,14f1,,"Palo Alto, CA (USA)",04 MAY 2014,1106
115,15:30.18,Margaret Wangari MURIUKI,21 MAR 1986,KEN,3,,Nairobi (KEN),07 JUN 2014,1105
