Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,14:12.59,Almaz AYANA,21 NOV 1991,ETH,1,,"Stadio Olimpico, Roma (ITA)",02 JUN 2016,1257
2,14:16.31,Almaz AYANA,21 NOV 1991,ETH,1,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",22 MAY 2016,1249
3,14:18.89,Almaz AYANA,21 NOV 1991,ETH,1,,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016,1244
4,14:25.78,Hellen OBIRI,13 DEC 1989,KEN,2,,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016,1230
5,14:26.17,Vivian Jepkemoi CHERUIYOT,11 SEP 1983,KEN,1,,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1230
6,14:29.50,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,2,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",22 MAY 2016,1223
7,14:29.77,Hellen OBIRI,13 DEC 1989,KEN,2,,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1222
8,14:29.82,Senbere TEFERI,03 MAY 1995,ETH,3,,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016,1222
9,14:32.02,Hellen OBIRI,13 DEC 1989,KEN,1,,"Hayward Field, Eugene, OR (USA)",27 MAY 2016,1218
10,14:33.30,Etenesh DIRO,10 MAY 1991,ETH,4,,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016,1215
11,14:33.59,Almaz AYANA,21 NOV 1991,ETH,3,,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1215
12,14:33.95,Mercy CHERONO,07 MAY 1991,KEN,2,,"Stadio Olimpico, Roma (ITA)",02 JUN 2016,1214
13,14:34.39,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,3,,"Stadio Olimpico, Roma (ITA)",02 JUN 2016,1213
14,14:35.09,Senbere TEFERI,03 MAY 1995,ETH,3,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",22 MAY 2016,1212
15,14:35.13,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,2,,"Hayward Field, Eugene, OR (USA)",27 MAY 2016,1212
16,14:35.69,Vivian Jepkemoi CHERUIYOT,11 SEP 1983,KEN,3,,"Hayward Field, Eugene, OR (USA)",27 MAY 2016,1211
17,14:37.08,Mercy CHERONO,07 MAY 1991,KEN,4,,"Hayward Field, Eugene, OR (USA)",27 MAY 2016,1208
18,14:37.19,Senbere TEFERI,03 MAY 1995,ETH,4,,"Stadio Olimpico, Roma (ITA)",02 JUN 2016,1208
19,14:37.51,Etenesh DIRO,10 MAY 1991,ETH,5,,"Stadio Olimpico, Roma (ITA)",02 JUN 2016,1207
20,14:37.61,Yasemin CAN,11 DEC 1996,TUR,6,,"Stadio Olimpico, Roma (ITA)",02 JUN 2016,1207
21,14:38.70,Janet KISA,05 DEC 1992,KEN,4,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",22 MAY 2016,1205
22,14:38.92,Shannon ROWBURY,19 SEP 1984,USA,5,,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016,1204
23,14:39.56,Alice Aprot NAWOWUNA,02 JAN 1994,KEN,6,,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016,1203
24,14:41.58,Ababel YESHANEH,22 JUL 1991,ETH,5,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",22 MAY 2016,1199
25,14:41.73,Tirunesh DIBABA,01 OCT 1985,ETH,1,,Kortrijk (BEL),09 JUL 2016,1199
26,14:42.57,Belaynesh OLJIRA,26 JUN 1990,ETH,5,,"Hayward Field, Eugene, OR (USA)",27 MAY 2016,1197
27,14:42.61,Janet KISA,05 DEC 1992,KEN,7,,"Stadio Olimpico, Roma (ITA)",02 JUN 2016,1197
28,14:42.84,Dera DIDA,26 OCT 1996,ETH,8,,"Stadio Olimpico, Roma (ITA)",02 JUN 2016,1197
29,14:42.89,Mercy CHERONO,07 MAY 1991,KEN,4,,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1196
30,14:43.42,Irine Chepet CHEPTAI,04 FEB 1992,KEN,6,,"Hayward Field, Eugene, OR (USA)",27 MAY 2016,1195
31,14:43.58,Alemitu HAROYE,09 MAY 1995,ETH,6,,"Complexe Sportif Prince Moulay Abdellah, Rabat (MAR)",22 MAY 2016,1195
32,14:43.75,Senbere TEFERI,03 MAY 1995,ETH,5,,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016,1195
33,14:43.98,Sally KIPYEGO,19 DEC 1985,KEN,7,,"Hayward Field, Eugene, OR (USA)",27 MAY 2016,1194
34,14:44.09,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,7,,"Boudewijnstadion, Bruxelles (BEL)",09 SEP 2016,1194
