Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:50.39,Cooper TEARE,18 AUG 1999,USA,1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",12 FEB 2021,1257
2,3:50.55,Cole HOCKER,06 JUN 2001,USA,2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",12 FEB 2021,1255
3,3:53.49,Charlie HUNTER,20 JUL 1996,AUS,3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",12 FEB 2021,1215
4,3:53.71,Cole HOCKER,06 JUN 2001,USA,1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 MAR 2021,1212
5,3:54.54,Charlie HUNTER,20 JUL 1996,AUS,1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",30 JAN 2021,1201
6,3:55.93,Eliud KIPSANG,09 SEP 1996,KEN,2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 MAR 2021,1183
7,3:56.57,Cole HOCKER,06 JUN 2001,USA,1h1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",12 MAR 2021,1174
8,3:56.61,Reed BROWN,06 AUG 1998,USA,2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",30 JAN 2021,1174
9,3:56.79,Takieddine HEDEILLI,06 JUN 1996,ALG,1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",07 FEB 2021,1171
10,3:56.82,Nick WILLIS,25 APR 1983,NZL,2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",07 FEB 2021,1171
11,3:56.88,Eliud KIPSANG,09 SEP 1996,KEN,1f2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 FEB 2021,1170
12,3:57.00,Tom DODD,02 OCT 1998,GBR,2h1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",12 MAR 2021,1169
13,3:57.20,Sean DOLAN,,USA,3h1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",12 MAR 2021,1166
14,3:57.26,Waleed SULIMAN,22 SEP 1998,USA,3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 MAR 2021,1165
15,3:57.32,Adam FOGG,27 JAN 1999,AUS,4,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 MAR 2021,1164
16,3:57.50,Marco AROP,20 SEP 1998,CAN,1,,"CrossPlex Athletic Facility, Birmingham, AL (USA)",31 JAN 2021,1162
17,3:57.52,Diego ZARATE,03 SEP 1997,USA,1f1,,"Rector Fieldhouse, Blacksburg, VA (USA)",06 FEB 2021,1162
18,3:57.62,Reed BROWN,06 AUG 1998,USA,5,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 MAR 2021,1161
19,3:57.64,Waleed SULIMAN,22 SEP 1998,USA,4h1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",12 MAR 2021,1160
20,3:57.66,Hobbs KESSLER,15 MAR 2003,USA,3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",07 FEB 2021,1160
21,3:57.77,Brandon TUBBY,,USA,1,,"Clemson Indoor Track & Field Complex, Clemson, SC (USA)",27 FEB 2021,1159
22,3:57.78,Juan Diego CASTRO,17 MAY 2000,CRC,4,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",07 FEB 2021,1158
23,3:57.81,Yusuf BIZIMANA,06 SEP 2000,GBR,2f2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 FEB 2021,1158
24,3:57.83,Eliud KIPSANG,09 SEP 1996,KEN,1f1,,"South Carolina Indoor T&F Complex, Columbia, SC (USA)",06 FEB 2021,1158
25,3:57.91,Sean DOLAN,,USA,6,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 MAR 2021,1157
26,3:58.01,Reed BROWN,06 AUG 1998,USA,5h1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",12 MAR 2021,1155
27,3:58.24,George KUSCHE,06 AUG 1998,RSA,6h1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",12 MAR 2021,1152
28,3:58.26,Amon KEMBOI,,KEN,1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",22 JAN 2021,1152
29,3:58.28,Waleed SULIMAN,22 SEP 1998,USA,1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",27 FEB 2021,1152
30,3:58.34,Benjamin NIBBELINK,20 APR 2000,USA,7h1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",12 MAR 2021,1151
31,3:58.39,Brett MEYER,,USA,1f4,,"Washburn Indoor Athletic Facility, Topeka, KS (USA)",13 FEB 2021,1150
32,3:58.40,Davis BOVE,,USA,8h1,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",12 MAR 2021,1150
33,3:58.48,Ryan ADAMS,23 MAR 1997,USA,2,,"CrossPlex Athletic Facility, Birmingham, AL (USA)",31 JAN 2021,1149
34,3:58.56,Amon KEMBOI,,KEN,2,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",27 FEB 2021,1148
35,3:58.65,Tom DODD,02 OCT 1998,GBR,7,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 MAR 2021,1147
36,3:58.66,James RANDON,16 JUN 1994,USA,5,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",07 FEB 2021,1147
37,3:58.93,Everett SMULDERS,08 SEP 1998,USA,3,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",30 JAN 2021,1143
38,3:59.00,Bashir MOSAVEL-LO,01 APR 1999,USA,2f1,,"Rector Fieldhouse, Blacksburg, VA (USA)",06 FEB 2021,1143
39,3:59.01,Willy FINK,07 MAR 1994,USA,1,,"JDL Fast Track, Winston Salem, NC (USA)",20 FEB 2021,1142
40,3:59.04,Benjamin NIBBELINK,20 APR 2000,USA,3f1,,"Rector Fieldhouse, Blacksburg, VA (USA)",06 FEB 2021,1142
41,3:59.25,Jackson SHARP,21 AUG 2000,AUS,1,,"Iowa-Recreation Building, Iowa City, IA (USA)",12 FEB 2021,1139
42,3:59.26,Thomas RATCLIFFE,03 SEP 1997,USA,2,,"Clemson Indoor Track & Field Complex, Clemson, SC (USA)",27 FEB 2021,1139
43,3:59.34,Cameron PONDER,27 APR 2000,USA,1f1,,"CrossPlex Athletic Facility, Birmingham, AL (USA)",22 JAN 2021,1138
44,3:59.47,Benjamin FLEMING,12 APR 1999,USA,4f1,,"Rector Fieldhouse, Blacksburg, VA (USA)",06 FEB 2021,1136
45,3:59.55,Yusuf BIZIMANA,06 SEP 2000,GBR,8,,"Randal Tyson Indoor Center, Fayetteville, AR (USA)",13 MAR 2021,1135
46,3:59.60,Antonio LÓPEZ,15 APR 2000,ESP,5f1,,"Rector Fieldhouse, Blacksburg, VA (USA)",06 FEB 2021,1135
