Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:52.01,Edward CHESEREK,02 FEB 1994,KEN,1f4,,"Boston, MA (USA)",26 FEB 2017,1235
2,3:52.22,Kyle MERBER,19 NOV 1990,USA,2f4,,"Boston, MA (USA)",26 FEB 2017,1232
3,3:53.15,John GREGOREK,07 DEC 1991,USA,3f4,,"Boston, MA (USA)",26 FEB 2017,1220
4,3:53.23,Eric JENKINS,24 NOV 1991,USA,1f1,,"New York, NY (USA)",11 FEB 2017,1219
5,3:54.23,Andrew BUTCHART,14 OCT 1991,GBR,1,,"New York, NY (USA)",04 FEB 2017,1205
5,3:54.23,Cristian SORATOS,26 SEP 1992,USA,1f2,,"New York, NY (USA)",11 FEB 2017,1205
7,3:54.31,Clayton MURPHY,26 FEB 1995,USA,2f1,,"New York, NY (USA)",11 FEB 2017,1204
8,3:54.67,Kyle MERBER,19 NOV 1990,USA,3f1,,"New York, NY (USA)",11 FEB 2017,1199
9,3:54.92,Ford PALMER,06 OCT 1990,USA,4f4,,"Boston, MA (USA)",26 FEB 2017,1196
10,3:55.33,Charles PHILIBERT-THIBOUTOT,31 DEC 1990,CAN,4f1,,"New York, NY (USA)",11 FEB 2017,1191
11,3:55.78,Matthew CENTROWITZ,18 OCT 1989,USA,1,,"Reggie Lewis Center, Boston, MA (USA)",28 JAN 2017,1185
12,3:55.99,Colby ALEXANDER,13 JUN 1991,USA,5f1,,"New York, NY (USA)",11 FEB 2017,1182
13,3:56.00,John GREGOREK,07 DEC 1991,USA,6f1,,"New York, NY (USA)",11 FEB 2017,1182
14,3:56.09,Vincent KIBET,06 MAY 1991,KEN,2,,"Reggie Lewis Center, Boston, MA (USA)",28 JAN 2017,1181
15,3:56.49,Ryan GREGSON,26 APR 1990,AUS,1,,Athlone (IRL),15 FEB 2017,1175
16,3:56.80,Andrew HUNTER,05 SEP 1997,USA,7f1,,"New York, NY (USA)",11 FEB 2017,1171
17,3:57.04,Robby ANDREWS,29 MAR 1991,USA,8f1,,"New York, NY (USA)",11 FEB 2017,1168
18,3:57.24,Jake WIGHTMAN,11 JUL 1994,GBR,3,,"Reggie Lewis Center, Boston, MA (USA)",28 JAN 2017,1165
19,3:57.31,Ben TRUE,29 DEC 1985,USA,4,,"Reggie Lewis Center, Boston, MA (USA)",28 JAN 2017,1165
20,3:57.39,Adam PALAMAR,12 MAR 1994,CAN,1f1,,"Boston, MA (USA)",28 JAN 2017,1164
21,3:57.63,David TORRENCE,26 NOV 1985,PER,5,,"Reggie Lewis Center, Boston, MA (USA)",28 JAN 2017,1160
22,3:57.65,Cristian SORATOS,26 SEP 1992,USA,6,,"Reggie Lewis Center, Boston, MA (USA)",28 JAN 2017,1160
23,3:57.86,Cory LESLIE,24 OCT 1989,USA,9f1,,"New York, NY (USA)",11 FEB 2017,1157
24,3:57.99,Daniel HULING,16 JUL 1983,USA,5f4,,"Boston, MA (USA)",26 FEB 2017,1156
25,3:58.09,Ned WILLIG,08 FEB 1994,USA,2f1,,"Boston, MA (USA)",28 JAN 2017,1154
26,3:58.11,Johan ROGESTEDT,27 JAN 1993,SWE,2,,Athlone (IRL),15 FEB 2017,1154
27,3:58.19,Liam DEE,23 MAY 1996,GBR,6f4,,"Boston, MA (USA)",26 FEB 2017,1153
28,3:58.27,Julian OAKLEY,23 JUN 1993,NZL,7f4,,"Boston, MA (USA)",26 FEB 2017,1152
