Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:51.35,Matthew CENTROWITZ,18 OCT 1989,USA,1,,"New York, NY (USA)",14 FEB 2015,1244
2,3:51.46,Nick WILLIS,25 APR 1983,NZL,2,,"New York, NY (USA)",14 FEB 2015,1243
3,3:51.61,Nick WILLIS,25 APR 1983,NZL,1,,"Reggie Lewis Center, Boston, MA (USA)",07 FEB 2015,1241
4,3:53.13,Ben BLANKENSHIP,15 DEC 1988,USA,2,,"Reggie Lewis Center, Boston, MA (USA)",07 FEB 2015,1220
5,3:54.36,Patrick CASEY,23 MAY 1990,USA,3,,"New York, NY (USA)",14 FEB 2015,1204
6,3:54.41,Abdelaati IGUIDER,25 MAR 1987,MAR,3,,"Reggie Lewis Center, Boston, MA (USA)",07 FEB 2015,1203
7,3:54.74,Cameron LEVINS,28 MAR 1989,CAN,1,,"New York, NY (USA)",31 JAN 2015,1199
8,3:54.91,Bernard LAGAT,12 DEC 1974,USA,4,,"New York, NY (USA)",14 FEB 2015,1196
9,3:55.25,Evan JAGER,08 MAR 1989,USA,5,,"New York, NY (USA)",14 FEB 2015,1192
10,3:55.35,Chris O'HARE,23 NOV 1990,GBR,6,,"New York, NY (USA)",14 FEB 2015,1190
11,3:56.05,Leonel MANZANO,12 SEP 1984,USA,7,,"New York, NY (USA)",14 FEB 2015,1181
12,3:56.15,Riley MASTERS,05 APR 1990,USA,4,,"Reggie Lewis Center, Boston, MA (USA)",07 FEB 2015,1180
13,3:56.43,Edward CHESEREK,02 FEB 1994,KEN,8,,"New York, NY (USA)",14 FEB 2015,1176
14,3:56.75,Ben BLANKENSHIP,15 DEC 1988,USA,1,,Athlone (IRL),18 FEB 2015,1172
15,3:56.79,Ford PALMER,06 OCT 1990,USA,1f1,,"Boston, MA (USA)",14 FEB 2015,1171
16,3:56.86,Pablo SOLARES,22 DEC 1984,MEX,1,,"New York, NY (USA)",15 JAN 2015,1170
17,3:56.99,Cory LESLIE,24 OCT 1989,USA,1,,"Winston Salem, NC (USA)",31 JAN 2015,1169
17,3:56.99,Cory LESLIE,24 OCT 1989,USA,1,,"Winston Salem, NC (USA)",31 JAN 2015,1169
