Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:48.87,Josh KERR,08 OCT 1997,GBR,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",27 FEB 2022,1278
2,3:50.17,Cooper TEARE,18 AUG 1999,USA,1,,"Gately Indoor TF Center, Chicago, IL (USA)",11 FEB 2022,1260
3,3:50.35,Cole HOCKER,06 JUN 2001,USA,2,,"Gately Indoor TF Center, Chicago, IL (USA)",11 FEB 2022,1258
4,3:50.83,Oliver HOARE,29 JAN 1997,AUS,1,,"Armory Track&Field Center, New York, NY (USA)",29 JAN 2022,1251
5,3:52.03,Morgan BEADLESCOMB,,USA,3,,"Gately Indoor TF Center, Chicago, IL (USA)",11 FEB 2022,1235
6,3:52.27,Josh KERR,08 OCT 1997,GBR,2,,"Armory Track&Field Center, New York, NY (USA)",29 JAN 2022,1232
7,3:52.54,Cameron PROCEVIAT,20 SEP 1993,CAN,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",27 FEB 2022,1228
8,3:52.84,Colby ALEXANDER,13 JUN 1991,USA,3,,"Armory Track&Field Center, New York, NY (USA)",29 JAN 2022,1224
9,3:53.64,Andrew COSCORAN,18 JUN 1996,IRL,1,,"Ocean Breeze Athl. Complex, New York, NY (USA)",06 FEB 2022,1213
10,3:53.83,Colby ALEXANDER,13 JUN 1991,USA,2,,"Ocean Breeze Athl. Complex, New York, NY (USA)",06 FEB 2022,1211
11,3:53.87,Luke MCCANN,12 MAR 1998,IRL,3,,"Ocean Breeze Athl. Complex, New York, NY (USA)",06 FEB 2022,1210
12,3:54.31,Vincent CIATTEI,21 JAN 1995,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",30 JAN 2022,1204
13,3:54.54,Jack YEARIAN,,USA,3f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",27 FEB 2022,1201
14,3:54.66,Casey COMBER,04 NOV 1996,USA,2f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",30 JAN 2022,1200
15,3:54.77,Reed BROWN,06 AUG 1998,USA,4f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",27 FEB 2022,1198
16,3:54.91,Brannon KIDDER,18 NOV 1993,USA,5f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",27 FEB 2022,1196
17,3:55.14,George BEAMISH,24 OCT 1996,NZL,4,,"Ocean Breeze Athl. Complex, New York, NY (USA)",06 FEB 2022,1193
18,3:55.27,Saúl ORDÓÑEZ,10 APR 1994,ESP,5,,"Ocean Breeze Athl. Complex, New York, NY (USA)",06 FEB 2022,1191
19,3:55.53,Matthew PAYAMPS,,USA,1f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",05 FEB 2022,1188
20,3:55.70,Robert BRANDT,02 NOV 1996,USA,6f1,,"Boston Univ. Track & Tennis Center, Boston, MA (USA)",27 FEB 2022,1186
