Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:50.63,Matthew CENTROWITZ,18 OCT 1989,USA,1f1,,"New York, NY (USA)",20 FEB 2016,1254
2,3:51.06,Nick WILLIS,25 APR 1983,NZL,2f1,,"New York, NY (USA)",20 FEB 2016,1248
3,3:52.91,Chris O'HARE,23 NOV 1990,GBR,3f1,,"New York, NY (USA)",20 FEB 2016,1223
4,3:53.16,Robby ANDREWS,29 MAR 1991,USA,4f1,,"New York, NY (USA)",20 FEB 2016,1220
5,3:53.27,Nick WILLIS,25 APR 1983,NZL,1,,"Reggie Lewis Center, Boston, MA (USA)",14 FEB 2016,1218
6,3:53.87,Cory LESLIE,24 OCT 1989,USA,5f1,,"New York, NY (USA)",20 FEB 2016,1210
7,3:54.02,Matthew CENTROWITZ,18 OCT 1989,USA,1,,"Winston Salem, NC (USA)",30 JAN 2016,1208
7,3:54.02,Dawit WOLDE,19 MAY 1991,ETH,1,,Athlone (IRL),17 FEB 2016,1208
9,3:54.59,Chris O'HARE,23 NOV 1990,GBR,1,,"New York, NY (USA)",06 FEB 2016,1201
10,3:55.10,Garrett HEATH,03 NOV 1985,USA,6f1,,"New York, NY (USA)",20 FEB 2016,1194
11,3:55.41,Bethwell BIRGEN,06 AUG 1988,KEN,2,,"Reggie Lewis Center, Boston, MA (USA)",14 FEB 2016,1190
12,3:56.00,Chris O'HARE,23 NOV 1990,GBR,1f1,,"Boston, MA (USA)",30 JAN 2016,1182
13,3:56.05,Cristian SORATOS,26 SEP 1992,USA,7f1,,"New York, NY (USA)",20 FEB 2016,1181
14,3:56.25,Cory LESLIE,24 OCT 1989,USA,2,,"Winston Salem, NC (USA)",30 JAN 2016,1179
15,3:56.36,Blake HANEY,29 MAR 1996,USA,8f1,,"New York, NY (USA)",20 FEB 2016,1177
16,3:56.57,John GREGOREK,07 DEC 1991,USA,1f2,,"New York, NY (USA)",20 FEB 2016,1174
17,3:56.87,Justyn KNIGHT,19 JUL 1996,CAN,2f1,,"Boston, MA (USA)",30 JAN 2016,1170
18,3:56.91,Julian MATTHEWS,21 JUL 1988,NZL,2f2,,"New York, NY (USA)",20 FEB 2016,1170
19,3:57.03,Thomas AWAD,27 MAY 1994,USA,3f2,,"New York, NY (USA)",20 FEB 2016,1168
20,3:57.29,Sam PENZENSTADLER,11 SEP 1992,USA,2,,"New York, NY (USA)",06 FEB 2016,1165
