Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,8:07.54,Joshua CHEPTEGEI,12 SEP 1996,UGA,1,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1223
2,8:07.59,Paul CHELIMO,27 OCT 1990,USA,2,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1223
3,8:08.69,Selemon BAREGA,20 JAN 2000,ETH,3,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1217
4,8:15.76,Mohammed AHMED,05 JAN 1991,CAN,4,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1176
5,8:16.02,Davis KIPLANGAT,10 JUL 1998,KEN,5,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1174
6,8:16.28,Stewart MCSWEYN,01 JUN 1995,AUS,6,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1173
7,8:18.09,Richard YATOR,04 JUN 1998,KEN,7,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1162
8,8:18.88,Getaneh MOLLA,10 JAN 1994,ETH,8,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1158
9,8:19.75,Justyn KNIGHT,19 JUL 1996,CAN,9,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1153
10,8:20.56,Birhanu BALEW,27 FEB 1996,BRN,10,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1148
11,8:22.37,Eric JENKINS,24 NOV 1991,USA,11,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1138
12,8:25.14,Kirubel ERASSA,17 JUN 1993,USA,12,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1122
13,8:28.60,Paul Kipngetich TANUI,22 DEC 1990,KEN,13,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1103
14,8:33.00,Justus SOGET,22 OCT 1999,KEN,14,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1079
15,8:42.41,Ronald KWEMOI,19 SEP 1995,KEN,15,,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019,1027
16,8:46.41,Cole SPROUT,03 DEC 2001,USA,1,,"Seattle, WA (USA)",15 JUN 2019,1006
17,8:50.29,Evan HOLLAND,2001,USA,2,,"Seattle, WA (USA)",15 JUN 2019,986
18,8:50.52,Graydon MORRIS,17 DEC 2001,USA,3,,"Seattle, WA (USA)",15 JUN 2019,984
19,8:50.73,Drew BOSLEY,08 OCT 2000,USA,4,,"Seattle, WA (USA)",15 JUN 2019,983
20,8:51.00,Matt STRANGIO,,USA,5,,"Seattle, WA (USA)",15 JUN 2019,982
21,8:53.45,Carter CHEESEMAN,27 DEC 2000,USA,6,,"Seattle, WA (USA)",15 JUN 2019,969
22,8:55.53,Charles HICKS,25 JUL 2001,GBR,7,,"Seattle, WA (USA)",15 JUN 2019,958
23,8:55.75,Colin BAKER,,USA,8,,"Seattle, WA (USA)",15 JUN 2019,957
24,8:56.35,Bradley PELOQUIN,,USA,9,,"Seattle, WA (USA)",15 JUN 2019,954
25,8:56.74,Devin HART,,USA,10,,"Seattle, WA (USA)",15 JUN 2019,952
26,8:59.56,Camren FISCHER,,USA,11,,"Seattle, WA (USA)",15 JUN 2019,937
27,9:04.18,Caleb BROWN,,USA,1f3,,"Greensboro, NC (USA)",15 JUN 2019,914
28,9:05.21,Grant GARDNER,31 MAY 2000,USA,12,,"Seattle, WA (USA)",15 JUN 2019,909
29,9:06.29,James GEDRIS,,USA,2f3,,"Greensboro, NC (USA)",15 JUN 2019,903
30,9:07.86,Cole BULLOCK,,USA,13,,"Seattle, WA (USA)",15 JUN 2019,895
31,9:08.02,Rishabh PRAKASH,,USA,3f3,,"Greensboro, NC (USA)",15 JUN 2019,894
32,9:10.44,Jacob WINSLOW,,USA,4f3,,"Greensboro, NC (USA)",15 JUN 2019,882
33,9:11.07,Carlos Alberto VILCHES,29 OCT 2001,PUR,14,,"Seattle, WA (USA)",15 JUN 2019,879
34,9:12.10,Isaac BASTEN,,USA,1f2,,"Greensboro, NC (USA)",15 JUN 2019,874
35,9:12.80,John JENNINGS,,USA,5f3,,"Greensboro, NC (USA)",15 JUN 2019,871
36,9:13.93,Liam MURPHY,04 FEB 2002,USA,15,,"Seattle, WA (USA)",15 JUN 2019,865
37,9:14.73,Zachary KINNE,,USA,6f3,,"Greensboro, NC (USA)",15 JUN 2019,861
