Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,8:42.86,Bolota ASMEROM,12 OCT 1978,USA,1,,"Berkeley, CA (USA)",16 FEB 2013,1025
2,8:45.61,Sean MCGORTY,08 MAR 1995,USA,1,,"Greensboro, NC (USA)",15 JUN 2013,1010
3,8:49.06,Michael COE,04 DEC 1987,USA,2,,"Berkeley, CA (USA)",16 FEB 2013,992
4,8:52.56,James RANDON,16 JUN 1994,USA,2,,"Greensboro, NC (USA)",15 JUN 2013,974
5,8:57.19,Jake SCHMITT,27 MAR 1987,USA,3,,"Berkeley, CA (USA)",16 FEB 2013,950
6,9:00.10,Bernie MONTOYA,16 DEC 1994,USA,3,,"Greensboro, NC (USA)",15 JUN 2013,935
7,9:00.30,Mickey BURKE,1995,USA,4,,"Greensboro, NC (USA)",15 JUN 2013,934
8,9:00.43,Sam WHARTON,,USA,5,,"Greensboro, NC (USA)",15 JUN 2013,933
9,9:01.13,Addison DEHAVEN,,USA,1,,"Lisle, IL (USA)",08 JUN 2013,929
10,9:02.89,John DRESSEL,02 MAY 1997,USA,6,,"Greensboro, NC (USA)",15 JUN 2013,920
11,9:05.19,Eric HOLT,12 MAY 1995,USA,7,,"Greensboro, NC (USA)",15 JUN 2013,909
12,9:09.50,Vincent CIATTEI,21 JAN 1995,USA,8,,"Greensboro, NC (USA)",15 JUN 2013,887
13,9:09.54,Poli BALTAZAR,,USA,9,,"Greensboro, NC (USA)",15 JUN 2013,887
14,9:10.63,Jamison DALE,,USA,2,,"Lisle, IL (USA)",08 JUN 2013,881
15,9:11.44,Liam MULLETT,,USA,10,,"Greensboro, NC (USA)",15 JUN 2013,877
16,9:13.05,Josiah HANKO,,USA,11,,"Greensboro, NC (USA)",15 JUN 2013,869
17,9:13.23,John LAWSON,,USA,12,,"Greensboro, NC (USA)",15 JUN 2013,868
18,9:13.84,Nolan MCKENNA,,USA,3,,"Lisle, IL (USA)",08 JUN 2013,865
19,9:14.94,Tyler SPEAR,,USA,4,,"Lisle, IL (USA)",08 JUN 2013,860
19,9:14.94,TJ HORNBERGER,,USA,13,,"Greensboro, NC (USA)",15 JUN 2013,860
