Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,8:35.83,Hillary BOR,22 NOV 1989,USA,1,,"Nevin Platt Middle School, Boulder, CO (USA)",15 AUG 2020,1063
2,8:42.10,Emmanuel BOR,14 APR 1988,USA,2,,"Nevin Platt Middle School, Boulder, CO (USA)",15 AUG 2020,1029
3,8:52.00,Andrew HUNTER,05 SEP 1997,USA,3,,"Nevin Platt Middle School, Boulder, CO (USA)",15 AUG 2020,977
4,8:53.01,Sydney GIDABUDAY,21 AUG 1996,USA,4,,"Nevin Platt Middle School, Boulder, CO (USA)",15 AUG 2020,971
5,9:01.60,Jeff THIES,25 FEB 1995,USA,5,,"Nevin Platt Middle School, Boulder, CO (USA)",15 AUG 2020,927
6,9:07.00,Jacob RILEY,02 NOV 1988,USA,6,,"Nevin Platt Middle School, Boulder, CO (USA)",15 AUG 2020,899
7,9:07.15,Alex CRAIG,,USA,1,,"Cushman Park, Fairhaven, MA (USA)",18 OCT 2020,899
8,9:08.50,Nicholas BENDTSEN,,USA,1,,"Ellington, CT (USA)",29 JUN 2020,892
9,9:10.02,Myles LISS-RIORDAN,2002,USA,2,,"Cushman Park, Fairhaven, MA (USA)",18 OCT 2020,884
10,9:11.99,Stefen RASMUSON,,USA,1,,"Riverside City College, Riverside, CA (USA)",07 FEB 2020,875
11,9:12.07,Jack MCLOUGHLIN,,USA,3,,"Cushman Park, Fairhaven, MA (USA)",18 OCT 2020,874
12,9:13.52,Joseph THUMANN,,USA,4,,"Cushman Park, Fairhaven, MA (USA)",18 OCT 2020,867
