Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,8:35.79,Kanta SHIMIZU,03 MAY 1996,JPN,1,,"National Stadium, Tokyo (JPN)",22 APR 2023,1063
2,8:40.06,Shura SHIINO,16 JUN 1999,JPN,2,,"National Stadium, Tokyo (JPN)",22 APR 2023,1040
3,8:43.06,Shunsuke YOSHII,08 APR 2003,JPN,3,,"National Stadium, Tokyo (JPN)",22 APR 2023,1024
4,8:45.94,Ren YONEMITSU,27 FEB 1998,JPN,4,,"National Stadium, Tokyo (JPN)",22 APR 2023,1009
