Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,8:50.12,Andrew JORDAN,05 AUG 1997,USA,1,,"Renton, WA (USA)",18 JUN 2016,986
2,8:50.92,Ben VEATCH,01 JUN 1998,USA,2,,"Renton, WA (USA)",18 JUN 2016,982
3,8:51.68,Casey CLINGER,09 OCT 1998,USA,3,,"Renton, WA (USA)",18 JUN 2016,978
4,8:52.02,Noah AFFOLDER,11 FEB 1999,USA,4,,"Renton, WA (USA)",18 JUN 2016,976
5,8:52.85,Conor LUNDY,01 MAR 1998,USA,5,,"Renton, WA (USA)",18 JUN 2016,972
6,8:53.49,Eric VAN DER ELS,23 MAY 1998,USA,6,,"Renton, WA (USA)",18 JUN 2016,969
7,8:53.74,Cooper TEARE,18 AUG 1999,USA,7,,"Renton, WA (USA)",18 JUN 2016,967
8,8:53.94,Matthew BOUTHILETTE,05 JAN 1998,USA,8,,"Renton, WA (USA)",18 JUN 2016,966
9,8:53.98,Jack VAN,,USA,9,,"Renton, WA (USA)",18 JUN 2016,966
10,8:54.20,Aidan TOOKER,26 JUN 1998,USA,10,,"Renton, WA (USA)",18 JUN 2016,965
11,8:55.87,Callum BOLGER,,USA,11,,"Renton, WA (USA)",18 JUN 2016,956
12,8:58.09,Jake PERRIN,,USA,12,,"Renton, WA (USA)",18 JUN 2016,945
13,8:58.21,Joshua SCHUMACHER,,USA,13,,"Renton, WA (USA)",18 JUN 2016,944
14,9:02.04,Jackson MESTLER,27 DEC 1997,USA,14,,"Renton, WA (USA)",18 JUN 2016,925
15,9:10.23,Marcelo ROCHA,,USA,1,,"Somerville, MA (USA)",29 MAY 2016,883
16,9:10.43,Tristan SHELGREN,,USA,2,,"Somerville, MA (USA)",29 MAY 2016,882
