Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,8:45.95,Brodey HASTY,15 NOV 1999,USA,1,,"Seattle, WA (USA)",17 JUN 2017,1008
2,8:46.68,Luis GRIJALVA,10 APR 1999,GUA,2,,"Seattle, WA (USA)",17 JUN 2017,1005
3,8:46.94,Talon HULL,,USA,3,,"Seattle, WA (USA)",17 JUN 2017,1003
4,8:49.36,Michael VERNAU,,USA,4,,"Seattle, WA (USA)",17 JUN 2017,990
5,8:53.62,Joshua SCHUMACHER,,USA,5,,"Seattle, WA (USA)",17 JUN 2017,968
6,8:55.06,Connor LANE,30 APR 1999,USA,6,,"Seattle, WA (USA)",17 JUN 2017,961
7,8:55.28,Seth HIRSCH,,USA,7,,"Seattle, WA (USA)",17 JUN 2017,959
8,8:56.17,Evert SILVA,,USA,8,,"Seattle, WA (USA)",17 JUN 2017,955
9,8:56.21,Norman TANNER,,USA,9,,"Seattle, WA (USA)",17 JUN 2017,955
10,8:59.39,Garrett BARTON,,USA,10,,"Seattle, WA (USA)",17 JUN 2017,938
11,9:06.07,Finn GESSNER,,USA,11,,"Seattle, WA (USA)",17 JUN 2017,904
12,9:13.43,Matthew WATKINS,,USA,12,,"Seattle, WA (USA)",17 JUN 2017,867
