Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,8:09.55,Joshua CHEPTEGEI,12 SEP 1996,UGA,1,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1212
2,8:09.82,Selemon BAREGA,20 JAN 2000,ETH,2,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1210
3,8:09.83,Paul CHELIMO,27 OCT 1990,USA,3,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1210
4,8:10.16,Jacob KIPLIMO,14 NOV 2000,UGA,4,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1208
5,8:11.04,Berihu AREGAWI,28 FEB 2001,ETH,5,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1203
6,8:11.09,Grant FISHER,22 APR 1997,USA,6,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1203
7,8:11.55,Joe KLECKER,16 NOV 1996,USA,7,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1200
8,8:15.54,Mark Owon LOMUKET,10 JAN 1999,KEN,8,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1177
9,8:16.75,Nibret MELAK,09 OCT 1999,ETH,9,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1170
10,8:18.01,Michael KIBET,03 SEP 1999,KEN,10,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1163
11,8:19.67,Daniel Simiu EBENYO,18 SEP 1995,KEN,11,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1153
12,8:21.98,Luis GRIJALVA,10 APR 1999,GUA,12,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1140
13,8:31.90,Marc SCOTT,21 DEC 1993,GBR,13,,"Hayward Field, Eugene, OR (USA)",21 AUG 2021,1085
14,8:39.04,Hobbs KESSLER,15 MAR 2003,USA,1,,"Doug Shaw Memorial Stadium, Myrtle Beach, SC (USA)",25 MAR 2021,1046
15,8:42.16,Nathan MOUNTAIN,,USA,1,,"Renton Memorial Stadium, Seattle, WA (USA)",02 JUL 2021,1029
16,8:43.91,Parker WOLFE,27 JUL 2003,USA,2,,"Renton Memorial Stadium, Seattle, WA (USA)",02 JUL 2021,1019
17,8:46.32,Ajani SALCIDO,,USA,3,,"Renton Memorial Stadium, Seattle, WA (USA)",02 JUL 2021,1007
18,8:46.73,Larry JOSH,,USA,4,,"Renton Memorial Stadium, Seattle, WA (USA)",02 JUL 2021,1004
19,8:48.90,Ben SHEARER,,USA,2,,"Doug Shaw Memorial Stadium, Myrtle Beach, SC (USA)",25 MAR 2021,993
20,8:51.76,Ethan COLEMAN,,USA,5,,"Renton Memorial Stadium, Seattle, WA (USA)",02 JUL 2021,978
21,8:51.83,Nolan TOPPER,,USA,6,,"Renton Memorial Stadium, Seattle, WA (USA)",02 JUL 2021,977
22,8:53.15,Nicholas BENDTSEN,,USA,1,,"Randout Valley HS, Accord, NY (USA)",18 JUN 2021,971
23,8:54.14,Joshua TRUCHON,,USA,1f3,,"Hayward Field, Eugene, OR (USA)",03 JUL 2021,965
24,8:55.64,Larry-Josh EDWARDS,,USA,3,,"Doug Shaw Memorial Stadium, Myrtle Beach, SC (USA)",25 MAR 2021,958
25,8:55.66,Aidan PUFFER,,USA,4,,"Doug Shaw Memorial Stadium, Myrtle Beach, SC (USA)",25 MAR 2021,957
26,8:57.67,Gavin SHERRY,11 MAY 2004,USA,5,,"Doug Shaw Memorial Stadium, Myrtle Beach, SC (USA)",25 MAR 2021,947
27,9:00.86,Nicholas BENDTSEN,,USA,6,,"Doug Shaw Memorial Stadium, Myrtle Beach, SC (USA)",25 MAR 2021,931
28,9:00.91,Nicholas BENDTSEN,,USA,2f3,,"Hayward Field, Eugene, OR (USA)",03 JUL 2021,930
29,9:01.17,Aidan PUFFER,,USA,3f3,,"Hayward Field, Eugene, OR (USA)",03 JUL 2021,929
30,9:02.32,Zachary AYERS,,USA,4f3,,"Hayward Field, Eugene, OR (USA)",03 JUL 2021,923
