Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:56.68,Genzebe DIBABA,08 FEB 1991,ETH,1,,"Stadion Śląski, Chorzów (POL)",08 JUN 2018,1232
2,3:57.34,Shelby HOULIHAN,08 FEB 1993,USA,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,1227
3,3:57.41,Sifan HASSAN,01 JAN 1993,NED,,,"Olympic Stadium, London (GBR)",22 JUL 2018,1226
4,3:57.64,Gudaf TSEGAY,23 JUN 1997,ETH,1,,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1225
5,3:58.18,Laura MUIR,09 MAY 1993,GBR,2,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,1220
6,3:58.39,Sifan HASSAN,01 JAN 1993,NED,3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,1218
7,3:58.49,Laura MUIR,09 MAY 1993,GBR,1,,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1218
8,3:58.53,Laura MUIR,09 MAY 1993,GBR,2,,"Olympiastadion, Stockholm (SWE)",10 JUN 2018,1217
9,3:58.88,Hellen OBIRI,13 DEC 1989,KEN,,,"Olympic Stadium, London (GBR)",22 JUL 2018,1215
10,3:58.94,Shelby HOULIHAN,08 FEB 1993,USA,2,,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1214
11,3:59.06,Shelby HOULIHAN,08 FEB 1993,USA,1,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1213
12,3:59.07,Gudaf TSEGAY,23 JUN 1997,ETH,4,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,1213
13,3:59.09,Gudaf TSEGAY,23 JUN 1997,ETH,,,"Olympic Stadium, London (GBR)",22 JUL 2018,1213
14,3:59.15,Rababe ARAFI,12 JAN 1991,MAR,5,,"Stade Olympique de la Pontaise, Lausanne (SUI)",05 JUL 2018,1212
15,3:59.30,Laura MUIR,09 MAY 1993,GBR,2,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1211
16,3:59.37,Jenny SIMPSON,23 AUG 1986,USA,3,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1211
17,3:59.41,Sifan HASSAN,01 JAN 1993,NED,3,,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1210
18,3:59.51,Rababe ARAFI,12 JAN 1991,MAR,4,,"Hayward Field, Eugene, OR (USA)",26 MAY 2018,1209
19,3:59.60,Gudaf TSEGAY,23 JUN 1997,ETH,1f1,,"Moratalaz, Madrid (ESP)",22 JUN 2018,1209
20,3:59.68,Gudaf TSEGAY,23 JUN 1997,ETH,4,,"Boudewijnstadion, Bruxelles (BEL)",31 AUG 2018,1208
21,3:59.92,Caster SEMENYA,07 JAN 1991,RSA,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",04 MAY 2018,1206
22,4:00.01,Jenny SIMPSON,23 AUG 1986,USA,,,"Olympic Stadium, London (GBR)",22 JUL 2018,1205
