Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:56.79,,Maryam Yusuf JAMAL,16 SEP 1984,BRN,1,,Rieti (ITA),28 AUG 2005,1231
2,3:57.73,,Natalya YEVDOKIMOVA,17 MAR 1978,RUS,2,,Rieti (ITA),28 AUG 2005,1224
3,3:58.68,,Yuliya CHIZHENKO,30 AUG 1979,RUS,1,,Tula (RUS),13 JUL 2005,1216
4,3:59.05,,Tatyana TOMASHOVA,01 JUL 1975,RUS,3,,Rieti (ITA),28 AUG 2005,1213
5,3:59.47,,Olga YEGOROVA,28 MAR 1972,RUS,1,,Kazan (RUS),25 JUN 2005,1210
6,3:59.51,,Natalia RODRÍGUEZ,02 JUN 1979,ESP,4,,Rieti (ITA),28 AUG 2005,1209
7,3:59.60,,Gelete BURKA,23 JAN 1986,ETH,5,,Rieti (ITA),28 AUG 2005,1209
8,4:00.49,,Hind DEHIBA CHAHYD,17 MAR 1979,FRA,7,,Rieti (ITA),28 AUG 2005,1202
9,4:00.59,,Anna JAKUBCZAK,02 FEB 1973,POL,8,,Rieti (ITA),28 AUG 2005,1201
10,4:01.14,,Yelena SOBOLEVA,03 OCT 1982,RUS,3,,Tula (RUS),13 JUL 2005,1196
11,4:01.28,,Bouchra BENTHAMI-GHEZIELLE,19 MAY 1979,FRA,4,,"Stade Louis II, Monaco (MON)",09 SEP 2005,1195
12,4:02.21,,Alesia TURAVA,06 DEC 1979,BLR,3,,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1188
13,4:02.29,,Carmen DOUMA-HUSSAR,12 MAR 1977,CAN,10,,Rieti (ITA),28 AUG 2005,1187
14,4:02.31,,Nancy Jebet LANGAT,22 AUG 1981,KEN,4,,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1187
15,4:02.55,,Olesya CHUMAKOVA-MIKHEYEVA,23 JUL 1981,RUS,11,,Rieti (ITA),28 AUG 2005,1185
16,4:02.66,,Yelena KANALES,07 FEB 1976,RUS,4,,Tula (RUS),13 JUL 2005,1184
17,4:03.09,,Elena BUHĂIANU-ANTOCI,16 JAN 1975,ROU,1,,"Palacio de Deportes, Madrid (ESP) (i)",05 MAR 2005,1203
18,4:03.19,,Irina KRAKOVIAK,16 NOV 1977,LTU,5,,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1180
19,4:03.65,,Yelena ZADOROZHNAYA,03 DEC 1977,RUS,6,,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1176
20,4:03.68,,Wioletta FRANKIEWICZ,09 JUN 1977,POL,4,,"Stade de France, Paris-St-Denis (FRA)",01 JUL 2005,1176
21,4:03.73,,Nelya NEPORADNA,29 JUL 1985,UKR,7,,"Olympic Stadium, Athina (GRE)",14 JUN 2005,1176
22,4:04.00,,Qing LIU,28 APR 1986,CHN,1,,Nanjing (CHN),19 OCT 2005,1174
23,4:04.56,,Corina DUMBRĂVEAN,15 APR 1984,ROU,1,,Novi Sad (SRB),24 JUL 2005,1169
24,4:04.84,,Lidia CHOJECKA,25 JAN 1977,POL,1,,Karlsruhe (GER) (i),13 FEB 2005,1189
25,4:04.95,,Mestawet TADESSE,19 JUL 1985,ETH,1,,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1166
26,4:05.05,,Mayte MARTÍNEZ,17 MAY 1976,ESP,13,,Rieti (ITA),28 AUG 2005,1165
27,4:05.19,,Helen CLITHEROE,02 JAN 1974,GBR,10,,"Olympiastadion, Helsinki (FIN)",14 AUG 2005,1164
28,4:05.67,,Liliya OLSHANSKAYA,25 FEB 1984,RUS,7,,Tula (RUS),13 JUL 2005,1160
29,4:05.75,,Lindsey GALLO,29 NOV 1981,USA,14,,Rieti (ITA),28 AUG 2005,1160
30,4:05.76,,Olga KRAVTSOVA,25 JUL 1981,BLR,1,,Brest (BLR),03 JUL 2005,1160
31,4:05.77,,Treniere MOSER,27 OCT 1981,USA,6,,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1160
32,4:05.79,,Maria MARTINS,01 APR 1974,FRA,7,,"Stade de France, Paris-St-Denis (FRA)",01 JUL 2005,1159
33,4:06.24,,Jennifer TOOMEY,19 DEC 1971,USA,8,,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1156
34,4:06.37,,Tetyana KRIVOBOK-MEZENTSEVA,17 JAN 1972,UKR,1,,Kyiv (UKR),24 JUL 2005,1155
35,4:06.50,,Georgie CLARKE,17 JUN 1984,AUS,9,,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1154
36,4:06.52,,Kelly HOLMES,19 APR 1970,GBR,1,,Glasgow (GBR),05 JUN 2005,1154
37,4:06.80,,Sarah JAMIESON,24 MAR 1975,AUS,1,,Melbourne (AUS),17 FEB 2005,1151
38,4:06.85,,Johanna RISKU-LEHTINEN,21 FEB 1979,FIN,10,,"Stadio Olimpico, Roma (ITA)",08 JUL 2005,1151
39,4:07.03,,Liliya SHOBUKHOVA,13 NOV 1977,RUS,5,,Kazan (RUS),25 JUN 2005,1150
