Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,3:55.17,,Genzebe DIBABA,08 FEB 1991,ETH,1,,"Europahalle, Karlsruhe (GER) (i)",01 FEB 2014,1268
2,3:57.00,,Sifan HASSAN,01 JAN 1993,NED,1,,"Stade de France, Paris-St-Denis (FRA)",05 JUL 2014,1230
3,3:57.05,,Hellen OBIRI,13 DEC 1989,KEN,1,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1229
4,3:57.22,,Jenny SIMPSON,23 AUG 1986,USA,2,,"Stade de France, Paris-St-Denis (FRA)",05 JUL 2014,1228
5,3:57.57,,Abeba AREGAWI,05 JUL 1990,SWE,2,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1225
6,3:58.01,,Faith KIPYEGON,10 JAN 1994,KEN,3,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1222
7,3:59.49,,Shannon ROWBURY,19 SEP 1984,USA,5,,"Stade de France, Paris-St-Denis (FRA)",05 JUL 2014,1210
8,3:59.53,,Dawit SEYAUM,27 JUL 1996,ETH,1,,"Le Grand Stade, Marrakech (MAR)",08 JUN 2014,1209
9,4:00.07,,Laura MUIR,09 MAY 1993,GBR,6,,"Stade de France, Paris-St-Denis (FRA)",05 JUL 2014,1205
10,4:00.08,,Mimi BELETE,09 JUN 1988,BRN,7,,"Stade de France, Paris-St-Denis (FRA)",05 JUL 2014,1205
11,4:00.17,,Laura WEIGHTMAN,01 JUL 1991,GBR,8,,"Stade de France, Paris-St-Denis (FRA)",05 JUL 2014,1204
12,4:00.46,,Viola Jelagat KIBIWOT,22 DEC 1983,KEN,3,,"Letzigrund, Zürich (SUI)",28 AUG 2014,1202
13,4:01.34,,Meraf BAHTA,24 JUN 1989,SWE,5,,"Letzigrund, Zürich (SUI)",28 AUG 2014,1195
14,4:01.36,,Brenda MARTINEZ,08 SEP 1987,USA,6,,"Letzigrund, Zürich (SUI)",28 AUG 2014,1195
15,4:01.54,,Eunice Jepkoech SUM,10 APR 1988,KEN,6,,"Hayward Field, Eugene, OR (USA)",31 MAY 2014,1193
16,4:02.35,,Axumawit EMBAYE,18 OCT 1994,ETH,9,,"Stade de France, Paris-St-Denis (FRA)",05 JUL 2014,1187
17,4:02.71,,Rababe ARAFI,12 JAN 1991,MAR,1,,Beijing (CHN),21 MAY 2014,1184
18,4:02.83,,Gudaf TSEGAY,23 JAN 1997,ETH,2,,Beijing (CHN),21 MAY 2014,1183
