Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,4:27.02,Sheila REID,02 AUG 1989,CAN,1,,"New York, NY (USA)",16 FEB 2013,1170
2,4:28.25,Mary CAIN,03 MAY 1996,USA,2,,"New York, NY (USA)",16 FEB 2013,1161
3,4:28.79,Kate GRACE,24 OCT 1988,USA,3,,"New York, NY (USA)",16 FEB 2013,1157
4,4:29.86,Emma COBURN,19 OCT 1990,USA,4,,"New York, NY (USA)",16 FEB 2013,1149
5,4:29.91,Emma COBURN,19 OCT 1990,USA,1,,"Fayetteville, AR (USA)",09 MAR 2013,1149
6,4:30.03,Abbey COOPER,25 MAY 1992,USA,5,,"New York, NY (USA)",16 FEB 2013,1148
7,4:30.41,Sheila REID,02 AUG 1989,CAN,1,,"University Park, PA (USA)",26 JAN 2013,1145
8,4:30.50,Hilary STELLINGWERFF,07 AUG 1981,CAN,6,,"New York, NY (USA)",16 FEB 2013,1145
9,4:31.08,Amanda REGO,10 DEC 1990,USA,2,,"Fayetteville, AR (USA)",09 MAR 2013,1140
10,4:31.26,Sarah BROWN,15 OCT 1986,USA,7,,"New York, NY (USA)",16 FEB 2013,1139
11,4:31.50,Emily INFELD,21 MAR 1990,USA,8,,"New York, NY (USA)",16 FEB 2013,1137
12,4:31.61,Sarah BROWN,15 OCT 1986,USA,1,,"New York, NY (USA)",26 JAN 2013,1137
13,4:31.65,Nicole TULLY,30 OCT 1986,USA,2,,"New York, NY (USA)",26 JAN 2013,1136
14,4:32.42,Abbey COOPER,25 MAY 1992,USA,1,,"Cambridge, MA (USA)",24 FEB 2013,1131
15,4:32.78,Mary CAIN,03 MAY 1996,USA,3,,"New York, NY (USA)",26 JAN 2013,1128
16,4:33.22,Amanda REGO,10 DEC 1990,USA,1,,"Fayetteville, AR (USA)",26 JAN 2013,1125
17,4:33.88,Yelena SOBOLEVA,03 OCT 1982,RUS,1,,Orenburg (RUS),01 FEB 2013,1120
18,4:34.15,Abbey COOPER,25 MAY 1992,USA,1f1,,"Hanover, NH (USA)",12 JAN 2013,1118
19,4:34.19,Jillian KING,21 MAR 1990,USA,1,,"Boston, MA (USA)",14 FEB 2013,1118
20,4:34.30,Anna SHCHAGINA,07 DEC 1991,RUS,2,,Orenburg (RUS),01 FEB 2013,1117
21,4:34.59,Heather WILSON,13 JUN 1990,USA,4,,"New York, NY (USA)",26 JAN 2013,1115
22,4:34.81,Monica ADLER,14 MAR 1992,USA,2,,"Boston, MA (USA)",14 FEB 2013,1113
23,4:35.33,Cory Ann MCGEE,29 MAY 1992,USA,1,,"Fayetteville, AR (USA)",24 FEB 2013,1110
24,4:35.43,Ashley HIGGINSON,17 MAR 1989,USA,1f2,,"New York, NY (USA)",02 MAR 2013,1109
25,4:35.44,Grace HEYMSFIELD,24 MAR 1992,USA,2,,"Fayetteville, AR (USA)",26 JAN 2013,1109
26,4:35.99,Renee TOMLIN,21 NOV 1988,USA,9,,"New York, NY (USA)",16 FEB 2013,1105
27,4:36.02,Laura ROXBERG,20 NOV 1989,USA,2,,"Fayetteville, AR (USA)",24 FEB 2013,1105
28,4:36.21,Jordan HASAY,21 SEP 1991,USA,10,,"New York, NY (USA)",16 FEB 2013,1103
29,4:36.48,Amanda REGO,10 DEC 1990,USA,1h2,,"Fayetteville, AR (USA)",08 MAR 2013,1101
30,4:36.63,Ashley HIGGINSON,17 MAR 1989,USA,11,,"New York, NY (USA)",16 FEB 2013,1100
31,4:36.77,Kelly WILLIAMS,,USA,2f2,,"New York, NY (USA)",02 MAR 2013,1099
32,4:36.91,Agata STRAUSA,02 DEC 1989,LAT,3,,"Fayetteville, AR (USA)",09 MAR 2013,1098
33,4:37.08,Rachel SCHNEIDER,18 JUL 1991,USA,3f2,,"New York, NY (USA)",02 MAR 2013,1097
34,4:37.33,Carly HAMILTON,15 FEB 1993,USA,2h2,,"Fayetteville, AR (USA)",08 MAR 2013,1095
35,4:37.41,Lauren PENNEY,27 MAY 1990,USA,2,,"University Park, PA (USA)",26 JAN 2013,1095
36,4:37.47,Emma COBURN,19 OCT 1990,USA,1h1,,"Fayetteville, AR (USA)",08 MAR 2013,1094
37,4:37.55,Colleen QUIGLEY,20 NOV 1992,USA,3,,"Fayetteville, AR (USA)",26 JAN 2013,1094
