Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,4:18.75,Laura MUIR,09 MAY 1993,GBR,1,,"Arena Birmingham, Birmingham (GBR)",16 FEB 2019,1232
2,4:19.98,Konstanze KLOSTERHALFEN,18 FEB 1997,GER,1,,"New York, NY (USA)",09 FEB 2019,1222
3,4:22.86,Colleen QUIGLEY,20 NOV 1992,USA,2,,"New York, NY (USA)",09 FEB 2019,1201
4,4:24.27,Kate GRACE,24 OCT 1988,USA,3,,"New York, NY (USA)",09 FEB 2019,1190
5,4:24.80,Gabriela DEBUES-STAFFORD,13 SEP 1995,CAN,1,,"Reggie Lewis Center, Boston, MA (USA)",26 JAN 2019,1186
6,4:24.88,Ellinor PURRIER,20 FEB 1995,USA,2,,"Reggie Lewis Center, Boston, MA (USA)",26 JAN 2019,1186
7,4:25.71,Shannon OSIKA,15 JUN 1993,USA,4,,"New York, NY (USA)",09 FEB 2019,1180
8,4:26.39,Katie MACKEY,12 NOV 1987,USA,5,,"New York, NY (USA)",09 FEB 2019,1175
9,4:26.79,Cory Ann MCGEE,29 MAY 1992,USA,6,,"New York, NY (USA)",09 FEB 2019,1172
10,4:26.84,Dawit SEYAUM,27 JUL 1996,ETH,3,,"Reggie Lewis Center, Boston, MA (USA)",26 JAN 2019,1171
11,4:28.07,Cory Ann MCGEE,29 MAY 1992,USA,4,,"Reggie Lewis Center, Boston, MA (USA)",26 JAN 2019,1162
12,4:28.12,Ce'Aira BROWN,04 NOV 1993,USA,1,,"Boston, MA (USA)",03 MAR 2019,1162
13,4:28.30,Yolanda NGARAMBE,14 SEP 1991,SWE,5,,"Reggie Lewis Center, Boston, MA (USA)",26 JAN 2019,1161
14,4:28.31,Ciara MAGEEAN,12 MAR 1992,IRL,6,,"Reggie Lewis Center, Boston, MA (USA)",26 JAN 2019,1161
15,4:28.81,Helen SCHLACHTENHAUFEN,14 MAR 1995,USA,7,,"New York, NY (USA)",09 FEB 2019,1157
16,4:29.11,Brenda MARTINEZ,08 SEP 1987,USA,7,,"Reggie Lewis Center, Boston, MA (USA)",26 JAN 2019,1155
17,4:29.40,Winnie NANYONDO,23 AUG 1993,UGA,2,,"Arena Birmingham, Birmingham (GBR)",16 FEB 2019,1153
18,4:29.47,Danae RIVERS,03 FEB 1998,USA,8,,"New York, NY (USA)",09 FEB 2019,1152
18,4:29.47,Colleen QUIGLEY,20 NOV 1992,USA,1f2,,"New York, NY (USA)",23 FEB 2019,1152
20,4:29.54,Amanda ECCLESTON,18 JUN 1990,USA,9,,"New York, NY (USA)",09 FEB 2019,1152
21,4:29.74,Rababe ARAFI,12 JAN 1991,MAR,3,,"Arena Birmingham, Birmingham (GBR)",16 FEB 2019,1150
21,4:29.74,Heather MACLEAN,31 AUG 1995,USA,2,,"Boston, MA (USA)",03 MAR 2019,1150
23,4:29.92,Shelby HOULIHAN,08 FEB 1993,USA,2f2,,"New York, NY (USA)",23 FEB 2019,1149
24,4:30.14,Cory Ann MCGEE,29 MAY 1992,USA,3f2,,"New York, NY (USA)",23 FEB 2019,1147
25,4:31.03,Jessica HULL,22 OCT 1996,AUS,1,,"Fayetteville, AR (USA)",26 JAN 2019,1141
26,4:31.05,Shannon OSIKA,15 JUN 1993,USA,4f2,,"New York, NY (USA)",23 FEB 2019,1141
27,4:31.51,Svetlana APLACHKINA,28 NOV 1992,RUS,1,,Moskva (RUS),03 FEB 2019,1137
28,4:31.59,Yolanda NGARAMBE,14 SEP 1991,SWE,1f1,,"Clemson, SC (USA)",18 JAN 2019,1137
29,4:31.66,Danielle ARAGON,01 JUL 1994,USA,1f1,,"Boston, MA (USA)",08 FEB 2019,1136
30,4:31.69,Yekaterina STOROZHEVA,22 JAN 1993,RUS,2,,Moskva (RUS),03 FEB 2019,1136
