Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,2:34.68,,Sifan HASSAN,01 JAN 1993,NED,1,,"FBK Stadium, Hengelo (NED)",24 MAY 2015,1174
2,2:35.57,,Joanna JÓŹWIK,30 JAN 1991,POL,2,,"FBK Stadium, Hengelo (NED)",24 MAY 2015,1162
3,2:36.13,,Jennifer MEADOWS,17 APR 1981,GBR,3,,"FBK Stadium, Hengelo (NED)",24 MAY 2015,1154
4,2:36.50,,Angelika CICHOCKA,15 MAR 1988,POL,4,,"FBK Stadium, Hengelo (NED)",24 MAY 2015,1149
5,2:36.63,,Aníta HINRIKSDÓTTIR,13 JAN 1996,ISL,5,,"FBK Stadium, Hengelo (NED)",24 MAY 2015,1148
6,2:37.28,,Angela PETTY,16 AUG 1991,NZL,1,,Chiba (JPN),15 AUG 2015,1139
7,2:37.42,,Erin DONOHUE,08 MAY 1983,USA,1,,"Icahn Stadium, New York, NY (USA)",13 JUN 2015,1137
8,2:37.43,,Axumawit EMBAYE,18 OCT 1994,ETH,1,,Göteborg (SWE),05 SEP 2015,1137
9,2:37.53,,Treniere MOSER,27 OCT 1981,USA,2,,"Icahn Stadium, New York, NY (USA)",13 JUN 2015,1136
10,2:37.73,,Besu SADO,12 JAN 1996,ETH,6,,"FBK Stadium, Hengelo (NED)",24 MAY 2015,1133
11,2:37.89,,Dana MECKE,20 SEP 1987,USA,3,,"Icahn Stadium, New York, NY (USA)",13 JUN 2015,1131
12,2:38.25,,Mary CAIN,03 MAY 1996,USA,2,,"Reggie Lewis Center, Boston, MA (USA) (i)",07 FEB 2015,1152
13,2:38.82,,Susan KUIJKEN,08 JUL 1986,NED,7,,"FBK Stadium, Hengelo (NED)",24 MAY 2015,1119
14,2:39.16,,Molly LUDLOW,04 AUG 1987,USA,3,,"Reggie Lewis Center, Boston, MA (USA) (i)",07 FEB 2015,1140
15,2:39.52,,Jess JUDD,07 JAN 1995,GBR,8,,"FBK Stadium, Hengelo (NED)",24 MAY 2015,1110
16,2:39.64,,Stephanie BROWN,04 MAR 1991,USA,4,,"Reggie Lewis Center, Boston, MA (USA) (i)",07 FEB 2015,1134
17,2:39.66,,Sanne VERSTEGEN-WOLTERS,10 NOV 1985,NED,5,,"Reggie Lewis Center, Boston, MA (USA) (i)",07 FEB 2015,1134
18,2:39.69,,Florina PIERDEVARĂ,29 MAR 1990,ROU,1,,Bucureşti (ROU),09 MAY 2015,1108
19,2:39.70,,Sasha GOLLISH,27 DEC 1981,CAN,1f3,,"Geneva, OH (USA) (i)",13 FEB 2015,0
20,2:39.72,,Yevgeniya ZINUROVA,16 NOV 1982,RUS,1,,Chelyabinsk (RUS) (i),25 JAN 2015,1133
21,2:39.86,,Laura CROWE,05 SEP 1987,IRL,9,,"FBK Stadium, Hengelo (NED)",24 MAY 2015,1105
22,2:39.99,,Morgan UCENY,10 MAR 1985,USA,6,,"Reggie Lewis Center, Boston, MA (USA) (i)",07 FEB 2015,1130
23,2:40.00,,Svetlana ULOGA,23 NOV 1986,RUS,2,,Göteborg (SWE),05 SEP 2015,1103
24,2:40.17,,Lovisa LINDH,09 JUL 1991,SWE,3,,Göteborg (SWE),05 SEP 2015,1101
25,2:40.25,,Shannon ROWBURY,19 SEP 1984,USA,1f2,,"Seattle, WA (USA) (i)",17 JAN 2015,0
26,2:40.36,,Chanelle PRICE,22 AUG 1990,USA,1,,"Boston, MA (USA) (i)",01 MAR 2015,1125
27,2:40.42,,Lauren WALLACE,04 MAY 1990,USA,1,,"Boston, MA (USA) (i)",01 MAR 2015,1125
28,2:40.52,,Mihaela Roxana NUNU,10 MAY 1989,ROU,2,,Bucureşti (ROU),09 MAY 2015,1097
29,2:40.79,,Charlene LIPSEY,16 JUL 1991,USA,1h1,,"Boston, MA (USA) (i)",28 FEB 2015,1120
30,2:41.04,,Hannah ENGLAND,06 MAR 1987,GBR,5,,"Icahn Stadium, New York, NY (USA)",13 JUN 2015,1090
