Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,2:31.93,,Laura MUIR,09 MAY 1993,GBR,1,,"Barclaycard Arena, Birmingham (GBR) (i)",18 FEB 2017,1233
2,2:33.06,,Genzebe DIBABA,08 FEB 1991,ETH,1,,Madrid (ESP) (i),24 FEB 2017,1218
3,2:35.15,,Lovisa LINDH,09 JUL 1991,SWE,1,,Göteborg (SWE),11 JUL 2017,1167
4,2:36.51,,Angelika CICHOCKA,15 MAR 1988,POL,1,,Gliwice (POL),10 SEP 2017,1149
5,2:36.97,,Kate GRACE,24 OCT 1988,USA,2,,"Barclaycard Arena, Birmingham (GBR) (i)",18 FEB 2017,1168
6,2:37.97,,Charlene LIPSEY,16 JUL 1991,USA,1,,"Albuquerque, NM (USA) (i)",05 MAR 2017,1155
7,2:38.05,,Gudaf TSEGAY,23 JAN 1997,ETH,2,,Madrid (ESP) (i),24 FEB 2017,1154
8,2:38.13,,Hanna HERMANSSON,18 MAY 1989,SWE,2,,Göteborg (SWE),11 JUL 2017,1128
9,2:38.19,,Darya BARYSEVICH,06 APR 1990,BLR,3,,Madrid (ESP) (i),24 FEB 2017,1153
10,2:38.33,,Lauren JOHNSON,04 MAY 1987,USA,2,,"Albuquerque, NM (USA) (i)",05 MAR 2017,1151
11,2:38.49,,Sarah MCDONALD,02 AUG 1993,GBR,3,,Göteborg (SWE),11 JUL 2017,1123
12,2:38.55,,Axumawit EMBAYE,18 OCT 1994,ETH,4,,Madrid (ESP) (i),24 FEB 2017,1148
13,2:38.72,,Sanne VERSTEGEN-WOLTERS,10 NOV 1985,NED,3,,"Barclaycard Arena, Birmingham (GBR) (i)",18 FEB 2017,1146
14,2:39.47,,Zoe BUCKMAN,21 DEC 1988,AUS,4,,"Barclaycard Arena, Birmingham (GBR) (i)",18 FEB 2017,1136
15,2:39.76,,Aleksandra GULYAYEVA,30 APR 1994,RUS,1,,Yekaterinburg (RUS) (i),07 JAN 2017,1133
16,2:39.82,,Simona VRZALOVÁ,07 APR 1988,CZE,1,,Ostrava (CZE),31 JUL 2017,1106
17,2:40.14,,Mariah KELLY,19 AUG 1991,CAN,1,,"Seattle, WA (USA) (i)",12 FEB 2017,0
18,2:40.18,,Hannah FIELDS,04 FEB 1993,USA,3,,"Albuquerque, NM (USA) (i)",05 MAR 2017,1128
19,2:40.72,,Samantha WATSON,10 NOV 1999,USA,4,,"Albuquerque, NM (USA) (i)",05 MAR 2017,1121
20,2:40.79,,Kaela EDWARDS,08 DEC 1993,USA,1f2,,"Lincoln, NE (USA) (i)",13 JAN 2017,1120
21,2:40.99,,Sasha GOLLISH,27 DEC 1981,CAN,2f1,,"Boston, MA (USA) (i)",10 FEB 2017,1117
22,2:41.22,,Grace ANNEAR,20 DEC 1992,CAN,3,,"Seattle, WA (USA) (i)",12 FEB 2017,0
23,2:41.26,,Ayvika MALANOVA,28 NOV 1992,RUS,1f2,,Moskva (RUS) (i),10 JAN 2017,1114
24,2:41.31,,Liina TSERNOV,28 DEC 1987,EST,2,,Sopot (POL),16 AUG 2017,1087
25,2:41.42,,Megan KRUMPOCH,31 AUG 1992,USA,5,,"Albuquerque, NM (USA) (i)",05 MAR 2017,1112
