Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,2:34.91,,Tatyana TOMASHOVA,01 JUL 1975,RUS,1,,Linz (AUT),23 AUG 2005,1171
2,2:35.20,,Yuliya CHIZHENKO,30 AUG 1979,RUS,2,,Linz (AUT),23 AUG 2005,1167
3,2:35.34,,Larisa CHZHAO,04 FEB 1971,RUS,1,,Yekaterinburg (RUS) (i),07 JAN 2005,1189
4,2:35.39,,Kelly HOLMES,19 APR 1970,GBR,1,,"National Indoor Arena, Birmingham (GBR) (i)",18 FEB 2005,1188
5,2:36.26,,Carmen DOUMA-HUSSAR,12 MAR 1977,CAN,3,,Linz (AUT),23 AUG 2005,1153
6,2:36.33,,Jolanda ČEPLAK,12 SEP 1976,SLO,1,,Zagreb (CRO),11 JUL 2005,1152
7,2:36.34,,Nelya NEPORADNA,29 JUL 1985,UKR,2,,Zagreb (CRO),11 JUL 2005,1152
8,2:36.46,,Jennifer TOOMEY,19 DEC 1971,USA,3,,Zagreb (CRO),11 JUL 2005,1150
9,2:36.50,,Yelena SOBOLEVA,03 OCT 1982,RUS,4,,Linz (AUT),23 AUG 2005,1149
10,2:36.99,,Agnes SAMARIA,11 AUG 1972,NAM,2,,"National Indoor Arena, Birmingham (GBR) (i)",18 FEB 2005,1168
11,2:37.37,,Kenia SINCLAIR,14 JUL 1980,JAM,5,,Linz (AUT),23 AUG 2005,1138
12,2:37.57,,Lidia CHOJECKA,25 JAN 1977,POL,1,,Liévin (FRA) (i),26 FEB 2005,1160
13,2:37.63,,Diane CUMMINS,19 JAN 1974,CAN,6,,Linz (AUT),23 AUG 2005,1134
14,2:37.98,,Irina VASHENTSEVA,30 SEP 1980,RUS,2,,Yekaterinburg (RUS) (i),07 JAN 2005,1155
15,2:38.07,,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,1,,Madrid (ESP) (i),24 FEB 2005,1154
16,2:38.37,,Nahida TOUHAMI,10 FEB 1978,ALG,7,,Linz (AUT),23 AUG 2005,1125
17,2:38.68,,Svetlana CHERKASOVA,20 MAY 1978,RUS,3,,Yekaterinburg (RUS) (i),07 JAN 2005,1146
18,2:38.80,,Mayte MARTÍNEZ,17 MAY 1976,ESP,2,,Madrid (ESP) (i),24 FEB 2005,1145
19,2:38.91,,Maria CIONCAN,19 JUN 1977,ROU,1,,Bucureşti (ROU),25 JUN 2005,1118
19,2:38.91,,Anne SHADLE,01 DEC 1982,USA,4,,Zagreb (CRO),11 JUL 2005,1118
21,2:39.21,,Lindsey GALLO,29 NOV 1981,USA,8,,Linz (AUT),23 AUG 2005,1114
22,2:39.39,,Oksana ZBROZHEK,12 JAN 1978,RUS,4,,Yekaterinburg (RUS) (i),07 JAN 2005,1137
23,2:39.61,,Mina AIT HAMMOU,18 JUL 1978,MAR,3,,"National Indoor Arena, Birmingham (GBR) (i)",18 FEB 2005,1135
24,2:39.66,,Seltana AIT HAMMOU,21 MAY 1980,MAR,4,,"National Indoor Arena, Birmingham (GBR) (i)",18 FEB 2005,1134
25,2:39.68,,Sandra STALS,05 JUN 1975,BEL,2,,Liévin (FRA) (i),26 FEB 2005,1134
26,2:39.97,,Sandra MOYA,14 FEB 1974,PUR,5,,Zagreb (CRO),11 JUL 2005,1104
27,2:40.48,,Irina KRAKOVIAK,16 NOV 1977,LTU,1,,Ostrava (CZE),09 JUN 2005,1097
28,2:40.57,,Kathleen FRIEDRICH,13 JUL 1977,GER,1,,Potsdam (GER),11 MAY 2005,1096
29,2:40.61,,Liliana BARBULESCU-POPESCU,05 FEB 1982,ROU,2,,Ostrava (CZE),09 JUN 2005,1096
30,2:40.64,,Anna JAKUBCZAK,02 FEB 1973,POL,9,,Linz (AUT),23 AUG 2005,1095
31,2:40.67,,Virginie FOUQUET,09 SEP 1975,FRA,3,,Liévin (FRA) (i),26 FEB 2005,1121
32,2:41.04,,Esther DESVIAT,27 JAN 1982,ESP,5,,Madrid (ESP) (i),24 FEB 2005,1117
33,2:41.09,,Natalya TSYGANOVA,07 FEB 1971,RUS,5,,Yekaterinburg (RUS) (i),07 JAN 2005,1116
34,2:41.36,,Laetitia VALDONADO,04 AUG 1977,FRA,4,,Liévin (FRA) (i),26 FEB 2005,1113
35,2:41.55,,Nédia SEMEDO,14 NOV 1978,POR,6,,Madrid (ESP) (i),24 FEB 2005,1110
36,2:41.9h,,Natalya KUTKINA,04 FEB 1977,RUS,1,,Yekaterinburg (RUS) (i),25 DEC 2005,1106
37,2:42.04,,Sara PALMAS,07 JUL 1977,ITA,1,,Samassi (ITA),25 APR 2005,1077
38,2:42.49,,Margarita PLAKSINA,01 OCT 1977,RUS,1,,Moskva (RUS) (i),07 JAN 2005,1099
39,2:42.81,,Binnaz USLU,12 MAR 1985,TUR,1,,Istanbul (TUR),11 JUN 2005,1067
40,2:42.97,,Elena BUHĂIANU-ANTOCI,16 JAN 1975,ROU,5,,Ostrava (CZE),09 JUN 2005,1065
41,2:43.1h,,Lebo Dinah PHALULA,09 DEC 1983,RSA,1,,Johannesburg (RSA),28 OCT 2005,1064
42,2:43.18,,Yevgeniya ZOLOTOVA,28 APR 1983,RUS,3,,Moskva (RUS) (i),07 JAN 2005,1090
43,2:43.22,,Nuria FERNÁNDEZ,16 AUG 1976,ESP,5,,Liévin (FRA) (i),26 FEB 2005,1090
43,2:43.22,,Petra LOCHMANOVÁ,12 NOV 1980,CZE,6,,Ostrava (CZE),09 JUN 2005,1062
45,2:43.40,,Sarah BROWN,15 OCT 1986,USA,1,,"Blacksburg, VA (USA) (i)",26 FEB 2005,1088
45,2:43.40,,Wioletta FRANKIEWICZ,09 JUN 1977,POL,1,,Kraków (POL),07 MAY 2005,1060
47,2:43.68,,Yekaterina NOZKOVA-ROZENBERG,23 JAN 1980,RUS,4,,Moskva (RUS) (i),07 JAN 2005,1084
48,2:43.83,,Rachael THOMPSON,15 NOV 1985,GBR,1,,Glasgow (GBR),05 JUN 2005,1054
49,2:43.92,,Svetlana KLYUKA,27 DEC 1978,RUS,5,,Moskva (RUS) (i),07 JAN 2005,1081
50,2:43.96,,Caroline CHEPKWONY,24 JUL 1985,KEN,7,,Ostrava (CZE),09 JUN 2005,1053
51,2:44.00,,Tatyana KONONENKO,29 MAR 1981,RUS,6,,Moskva (RUS) (i),07 JAN 2005,1080
52,2:44.13,,Lisa DOBRISKEY,23 DEC 1983,GBR,1,,Birmingham (GBR) (i),10 FEB 2005,1079
53,2:44.6h,,Lebogang PHALULA,09 DEC 1983,RSA,2,,Johannesburg (RSA),28 OCT 2005,1045
54,2:44.65,,Marina ANISIMOVA,04 MAR 1973,RUS,7,,Moskva (RUS) (i),07 JAN 2005,1072
55,2:44.70,,Morag MACLARTY,10 FEB 1986,GBR,2,,Glasgow (GBR),05 JUN 2005,1043
56,2:45.03,,Miriam BRAVO,29 SEP 1974,ESP,3,,Rivas (ESP),14 JUN 2005,1039
57,2:45.04,,Leonor PIUZA,14 APR 1978,MOZ,1,,St-Denis-Réunion (FRA),30 APR 2005,1039
58,2:45.28,,Brigita LANGERHOLC,23 JUL 1976,SLO,6,,Zagreb (CRO),11 JUL 2005,1036
59,2:45.35,,Charlotte BEST,07 MAR 1985,GBR,3,,Glasgow (GBR),05 JUN 2005,1035
60,2:45.40,,Marina MUNĆAN,06 NOV 1982,SCG,1,,"University Park, PA (USA) (i)",29 JAN 2005,1063
61,2:45.74,,Marcela LUSTIGOVÁ,11 NOV 1982,CZE,8,,Ostrava (CZE),09 JUN 2005,1030
62,2:45.79,,Meaghan LEON,01 AUG 1983,USA,1,,"Boston, MA (USA) (i)",06 MAR 2005,1058
63,2:45.90,,Anita BRÄGGER,06 OCT 1972,SUI,6,,Liévin (FRA) (i),26 FEB 2005,1057
64,2:45.96,,Ashley PATTEN,15 JUL 1984,USA,1,,"Lincoln, NE (USA) (i)",26 FEB 2005,1056
65,2:46.01,,Olesya SYREVA,25 NOV 1983,RUS,7,,Yekaterinburg (RUS) (i),07 JAN 2005,1056
66,2:46.03,,Antje MÖLDNER-SCHMIDT,13 JUN 1984,GER,2,,Potsdam (GER),11 MAY 2005,1027
