Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,4:56.88,Charles PHILIBERT-THIBOUTOT,31 DEC 1990,CAN,1,,"PEPS de l'Université Laval, Québec (CAN)",13 AUG 2022,1165
2,5:06.85,Dino BOŠNJAK,21 JAN 1994,CRO,1,,"Stadion Branko Čavlović-Čavlek, Karlovac (CRO)",07 SEP 2022,1066
3,5:10.18,Vid BOTOLIN,15 AUG 2002,SLO,2,,"Stadion Branko Čavlović-Čavlek, Karlovac (CRO)",07 SEP 2022,1034
4,5:13.76,Samuel MEDOLAGO,14 AUG 1995,ITA,1f1,,"Campo Comunale, Brescia (ITA)",09 APR 2022,1001
5,5:22.78,Matteo SPANU,29 FEB 1996,ITA,1f1,,"Stadio Quercia, Rovereto (ITA)",10 APR 2022,918
6,5:22.91,Olavi ALLASE,28 MAY 1993,EST,1,,"Kohila staadion, Kohila (EST)",18 MAY 2022,917
7,5:23.88,Stefano BENZONI,01 JUN 2004,ITA,2f1,,"Campo Comunale, Brescia (ITA)",09 APR 2022,908
8,5:26.73,Karel HUSSAR,18 JUN 1995,EST,2,,"Kohila staadion, Kohila (EST)",18 MAY 2022,883
9,5:26.93,Tomislav NOVOSEL,21 SEP 1999,CRO,3,,"Stadion Branko Čavlović-Čavlek, Karlovac (CRO)",07 SEP 2022,881
