Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,5:24.41,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1,,Lillestrøm (NOR),13 SEP 2015,904
2,5:26.88,Jennen MORTIER,15 SEP 1997,BEL,1f1,,Oudenaarde (BEL),14 JUL 2015,882
