Rank,Mark,Competitor,DOB,Nat,Pos,,Venue,Date,ResultScore
1,5:15.96,Tim VAN DE VELDE,01 FEB 2000,BEL,1f1,,Mol (BEL),11 AUG 2018,980
2,5:26.40,Allar LAMP,28 MAR 1991,EST,1,,Viljandi (EST),18 JUL 2018,886
3,5:27.08,Olavi ALLASE,28 MAY 1993,EST,2,,Viljandi (EST),18 JUL 2018,880
4,5:27.52,Mark ABNER,01 SEP 1998,EST,3,,Viljandi (EST),18 JUL 2018,876
